location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Les Diablerets,46.355131,7.118014,1100,1967,1967-05-15,135,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1985,1985-06-01,152,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1986,1986-05-15,135,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1987,1987-05-30,150,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1988,1988-05-15,136,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1989,1989-05-09,129,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1990,1990-05-09,129,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1991,1991-06-09,160,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1992,1992-05-19,140,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1993,1993-05-12,132,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1994,1994-05-09,129,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1997,1997-05-28,148,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1998,1998-05-12,132,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,1999,1999-05-20,140,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2000,2000-05-15,136,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2001,2001-05-14,134,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2002,2002-05-18,138,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2003,2003-05-20,140,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2004,2004-05-30,151,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2005,2005-05-14,134,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2006,2006-05-30,150,,,,
Switzerland/Les Diablerets,46.355131,7.118014,1100,2007,2007-04-23,113,,,,
