location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1957,1957-05-15,135,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1959,1959-05-15,135,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1967,1967-05-15,135,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1971,1971-05-15,135,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1972,1972-05-15,136,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1973,1973-05-25,145,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1976,1976-05-15,136,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1977,1977-05-10,130,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1978,1978-05-22,142,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1979,1979-05-24,144,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1980,1980-06-01,153,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1981,1981-05-07,127,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1982,1982-05-15,135,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1983,1983-05-10,130,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1985,1985-05-18,138,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1987,1987-05-25,145,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1989,1989-05-08,128,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1990,1990-05-03,123,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1991,1991-05-13,133,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1992,1992-05-09,130,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1993,1993-05-01,121,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1994,1994-04-30,120,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1995,1995-05-06,126,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,1996,1996-05-14,135,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2002,2002-05-17,137,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2003,2003-04-30,120,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2004,2004-05-01,122,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2006,2006-05-07,127,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2008,2008-05-10,131,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2009,2009-05-22,142,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2011,2011-04-24,114,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2012,2012-04-29,120,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2013,2013-05-12,132,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2014,2014-05-09,129,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2015,2015-05-08,128,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2016,2016-05-11,132,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2017,2017-05-01,121,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2018,2018-04-29,119,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2019,2019-05-11,131,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2020,2020-04-23,114,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2021,2021-05-04,124,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2022,2022-04-30,120,,,,
Switzerland/Les Plans-sur-Bex,46.256639,7.092033,1100,2023,2023-05-06,126,,,,
