location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Les Rangiers,47.381992,7.215775,865,1978,1978-06-10,161,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1979,1979-06-12,163,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1982,1982-06-12,163,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1983,1983-05-10,130,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1984,1984-05-12,133,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1985,1985-05-10,130,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1986,1986-05-10,130,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1987,1987-05-05,125,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1988,1988-05-06,127,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1989,1989-05-03,123,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1990,1990-04-20,110,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1991,1991-04-18,108,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1992,1992-04-26,117,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1993,1993-04-25,115,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1994,1994-04-25,115,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1995,1995-05-01,121,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1998,1998-05-01,121,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,1999,1999-05-02,122,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2000,2000-04-28,119,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2001,2001-05-05,125,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2002,2002-04-30,120,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2003,2003-04-25,115,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2004,2004-04-20,111,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2005,2005-05-03,123,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2006,2006-05-05,125,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2007,2007-04-17,107,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2008,2008-04-25,116,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2009,2009-04-20,110,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2010,2010-04-30,120,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2011,2011-04-11,101,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2012,2012-04-30,121,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2013,2013-05-10,130,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2014,2014-04-18,108,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2015,2015-04-30,120,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2016,2016-05-08,129,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2018,2018-04-22,112,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2019,2019-04-20,110,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2020,2020-04-12,103,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2022,2022-04-21,111,,,,
Switzerland/Les Rangiers,47.381992,7.215775,865,2023,2023-04-23,113,,,,
