location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Leysin,46.340108,7.009622,1250,1967,1967-05-20,140,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1968,1968-05-01,122,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1970,1970-05-30,150,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1971,1971-05-10,130,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1972,1972-05-27,148,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1973,1973-06-01,152,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1974,1974-05-20,140,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1975,1975-05-29,149,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1976,1976-05-24,145,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1977,1977-05-20,140,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1978,1978-06-02,153,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1979,1979-06-04,155,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1980,1980-06-10,162,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1981,1981-05-30,150,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1982,1982-05-25,145,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1983,1983-05-24,144,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1984,1984-06-04,156,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1985,1985-05-26,146,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1986,1986-05-20,140,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1987,1987-06-05,156,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1988,1988-05-12,133,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1989,1989-05-07,127,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1990,1990-05-05,125,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1991,1991-05-26,146,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1992,1992-05-12,133,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1993,1993-05-09,129,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1994,1994-05-04,124,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1995,1995-05-07,127,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1996,1996-05-14,135,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1997,1997-05-02,122,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1998,1998-05-14,134,,,,
Switzerland/Leysin,46.340108,7.009622,1250,1999,1999-05-11,131,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2000,2000-05-08,129,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2001,2001-05-14,134,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2002,2002-05-18,138,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2003,2003-04-30,120,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2004,2004-05-04,125,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2005,2005-05-10,130,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2006,2006-05-17,137,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2007,2007-04-26,116,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2008,2008-05-14,135,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2009,2009-05-08,128,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2010,2010-05-08,128,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2011,2011-04-22,112,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2012,2012-05-06,127,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2013,2013-05-24,144,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2014,2014-04-26,116,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2015,2015-05-06,126,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2016,2016-05-14,135,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2018,2018-04-29,119,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2019,2019-04-30,120,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2020,2020-04-22,113,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2021,2021-05-24,144,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2022,2022-05-04,124,,,,
Switzerland/Leysin,46.340108,7.009622,1250,2023,2023-05-06,126,,,,
