location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Leytron,46.18625,7.21845,480,1976,1976-04-02,93,,,,
Switzerland/Leytron,46.18625,7.21845,480,1977,1977-03-26,85,,,,
Switzerland/Leytron,46.18625,7.21845,480,1978,1978-04-10,100,,,,
Switzerland/Leytron,46.18625,7.21845,480,1979,1979-03-26,85,,,,
Switzerland/Leytron,46.18625,7.21845,480,1980,1980-04-15,106,,,,
Switzerland/Leytron,46.18625,7.21845,480,1981,1981-04-06,96,,,,
Switzerland/Leytron,46.18625,7.21845,480,1982,1982-04-15,105,,,,
Switzerland/Leytron,46.18625,7.21845,480,1983,1983-04-15,105,,,,
Switzerland/Leytron,46.18625,7.21845,480,1984,1984-04-20,111,,,,
Switzerland/Leytron,46.18625,7.21845,480,1985,1985-04-20,110,,,,
Switzerland/Leytron,46.18625,7.21845,480,1986,1986-04-25,115,,,,
Switzerland/Leytron,46.18625,7.21845,480,1987,1987-04-19,109,,,,
Switzerland/Leytron,46.18625,7.21845,480,1988,1988-04-17,108,,,,
Switzerland/Leytron,46.18625,7.21845,480,1989,1989-03-30,89,,,,
Switzerland/Leytron,46.18625,7.21845,480,1990,1990-03-31,90,,,,
Switzerland/Leytron,46.18625,7.21845,480,1991,1991-04-08,98,,,,
Switzerland/Leytron,46.18625,7.21845,480,1992,1992-04-09,100,,,,
Switzerland/Leytron,46.18625,7.21845,480,1993,1993-04-12,102,,,,
Switzerland/Leytron,46.18625,7.21845,480,1994,1994-03-25,84,,,,
Switzerland/Leytron,46.18625,7.21845,480,1995,1995-04-13,103,,,,
Switzerland/Leytron,46.18625,7.21845,480,1996,1996-04-15,106,,,,
Switzerland/Leytron,46.18625,7.21845,480,1997,1997-03-24,83,,,,
Switzerland/Leytron,46.18625,7.21845,480,1998,1998-04-01,91,,,,
Switzerland/Leytron,46.18625,7.21845,480,1999,1999-04-12,102,,,,
Switzerland/Leytron,46.18625,7.21845,480,2000,2000-04-05,96,,,,
Switzerland/Leytron,46.18625,7.21845,480,2001,2001-04-06,96,,,,
Switzerland/Leytron,46.18625,7.21845,480,2002,2002-03-29,88,,,,
Switzerland/Leytron,46.18625,7.21845,480,2003,2003-03-31,90,,,,
Switzerland/Leytron,46.18625,7.21845,480,2004,2004-04-08,99,,,,
Switzerland/Leytron,46.18625,7.21845,480,2005,2005-04-06,96,,,,
Switzerland/Leytron,46.18625,7.21845,480,2006,2006-04-20,110,,,,
Switzerland/Leytron,46.18625,7.21845,480,2007,2007-04-07,97,,,,
Switzerland/Leytron,46.18625,7.21845,480,2008,2008-04-04,95,,,,
Switzerland/Leytron,46.18625,7.21845,480,2009,2009-04-09,99,,,,
Switzerland/Leytron,46.18625,7.21845,480,2010,2010-04-12,102,,,,
Switzerland/Leytron,46.18625,7.21845,480,2011,2011-04-04,94,,,,
Switzerland/Leytron,46.18625,7.21845,480,2012,2012-03-25,85,,,,
Switzerland/Leytron,46.18625,7.21845,480,2021,2021-03-30,89,,,,
Switzerland/Leytron,46.18625,7.21845,480,2022,2022-03-29,88,,,,
Switzerland/Leytron,46.18625,7.21845,480,2023,2023-04-04,94,,,,
