location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Liddes,45.988267,7.180528,1350,1951,1951-05-22,142,-3.85,0.9,90.0,452.8
Switzerland/Liddes,45.988267,7.180528,1350,1952,1952-05-05,126,-4.74,0.0,90.0,453.4
Switzerland/Liddes,45.988267,7.180528,1350,1953,1953-05-03,123,-5.16,0.2,90.0,140.1
Switzerland/Liddes,45.988267,7.180528,1350,1954,1954-05-15,135,-5.0,0.0,90.0,248.3
Switzerland/Liddes,45.988267,7.180528,1350,1955,1955-05-13,133,-3.41,11.7,90.0,599.4
Switzerland/Liddes,45.988267,7.180528,1350,1956,1956-05-21,142,-6.43,0.0,90.0,220.3
Switzerland/Liddes,45.988267,7.180528,1350,1958,1958-05-12,132,-4.44,0.7,90.0,579.7
Switzerland/Liddes,45.988267,7.180528,1350,1959,1959-04-30,120,-2.35,0.9,90.0,296.8
Switzerland/Liddes,45.988267,7.180528,1350,1960,1960-05-12,133,-2.73,2.8,90.0,375.4
Switzerland/Liddes,45.988267,7.180528,1350,1961,1961-04-19,109,-2.1,0.3,90.0,363.9
Switzerland/Liddes,45.988267,7.180528,1350,1964,1964-05-13,134,-3.68,0.0,90.0,251.6
Switzerland/Liddes,45.988267,7.180528,1350,1996,1996-05-10,131,-4.26,3.6,90.0,244.0
Switzerland/Liddes,45.988267,7.180528,1350,1997,1997-04-22,112,-1.81,0.5,90.0,294.9
Switzerland/Liddes,45.988267,7.180528,1350,1998,1998-04-25,115,-2.61,4.1,90.0,272.2
Switzerland/Liddes,45.988267,7.180528,1350,1999,1999-05-05,125,-3.71,0.0,90.0,558.3
Switzerland/Liddes,45.988267,7.180528,1350,2000,2000-05-02,123,-3.53,0.0,90.0,345.6
Switzerland/Liddes,45.988267,7.180528,1350,2001,2001-05-06,126,-1.94,6.0,90.0,542.2
Switzerland/Liddes,45.988267,7.180528,1350,2002,2002-05-01,121,-2.63,0.0,90.0,304.6
Switzerland/Liddes,45.988267,7.180528,1350,2008,2008-06-11,163,-2.46,0.2,90.0,378.5
Switzerland/Liddes,45.988267,7.180528,1350,2009,2009-05-18,138,-4.84,0.0,90.0,378.9
Switzerland/Liddes,45.988267,7.180528,1350,2010,2010-06-06,157,-5.48,1.3,90.0,266.2
Switzerland/Liddes,45.988267,7.180528,1350,2012,2012-06-02,154,-3.31,12.0,90.0,270.4
Switzerland/Liddes,45.988267,7.180528,1350,2013,2013-05-21,141,-4.84,0.0,90.0,366.5
Switzerland/Liddes,45.988267,7.180528,1350,2015,2015-05-27,147,-2.7,0.0,90.0,395.4
Switzerland/Liddes,45.988267,7.180528,1350,2016,2016-06-04,156,-2.22,2.9,90.0,574.2
Switzerland/Liddes,45.988267,7.180528,1350,2018,2018-05-16,136,-1.31,0.7,89.0,590.2
Switzerland/Liddes,45.988267,7.180528,1350,2019,2019-05-20,140,-0.79,15.5,87.0,323.2
Switzerland/Liddes,45.988267,7.180528,1350,2020,2020-05-05,126,1.5,18.5,89.0,378.6
Switzerland/Liddes,45.988267,7.180528,1350,2021,2021-05-03,123,-0.14,13.3,90.0,410.1
Switzerland/Liddes,45.988267,7.180528,1350,2022,2022-04-28,118,0.9,18.9,83.0,284.2
