location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Liestal,47.481403,7.730519,350,1952,1952-04-13,104,0.91,39.7,90.0,265.2
Switzerland/Liestal,47.481403,7.730519,350,1986,1986-05-03,123,-0.25,24.6,89.0,261.5
Switzerland/Liestal,47.481403,7.730519,350,1987,1987-04-24,114,-0.0,32.6,87.0,183.8
Switzerland/Liestal,47.481403,7.730519,350,1988,1988-04-24,115,3.32,53.2,84.0,365.4
Switzerland/Liestal,47.481403,7.730519,350,1989,1989-03-31,90,4.24,112.7,84.0,158.9
Switzerland/Liestal,47.481403,7.730519,350,1990,1990-03-25,84,4.97,156.8,69.0,197.2
Switzerland/Liestal,47.481403,7.730519,350,1991,1991-04-08,98,3.02,113.0,83.0,129.5
Switzerland/Liestal,47.481403,7.730519,350,1992,1992-04-21,112,2.71,49.1,87.0,184.2
Switzerland/Liestal,47.481403,7.730519,350,1993,1993-04-20,110,3.19,82.3,82.0,90.0
Switzerland/Liestal,47.481403,7.730519,350,1994,1994-03-31,90,4.92,137.2,78.0,216.9
Switzerland/Liestal,47.481403,7.730519,350,1995,1995-04-12,102,3.3,72.0,68.0,370.9
Switzerland/Liestal,47.481403,7.730519,350,1996,1996-04-21,112,1.46,35.1,88.0,101.1
Switzerland/Liestal,47.481403,7.730519,350,1997,1997-03-26,85,3.48,107.2,85.0,131.0
Switzerland/Liestal,47.481403,7.730519,350,1998,1998-04-06,96,3.96,94.4,82.0,156.3
Switzerland/Liestal,47.481403,7.730519,350,1999,1999-04-09,99,2.82,71.4,86.0,318.6
Switzerland/Liestal,47.481403,7.730519,350,2000,2000-04-15,106,3.56,61.7,87.0,220.7
Switzerland/Liestal,47.481403,7.730519,350,2001,2001-04-10,100,4.12,101.0,78.0,332.0
Switzerland/Liestal,47.481403,7.730519,350,2002,2002-04-01,91,4.4,131.1,73.0,205.9
Switzerland/Liestal,47.481403,7.730519,350,2003,2003-04-08,98,1.92,86.1,82.0,136.8
Switzerland/Liestal,47.481403,7.730519,350,2004,2004-04-12,103,2.51,65.6,86.0,233.0
Switzerland/Liestal,47.481403,7.730519,350,2005,2005-04-07,97,1.72,95.1,89.0,155.6
Switzerland/Liestal,47.481403,7.730519,350,2006,2006-04-23,113,0.85,45.4,89.0,250.0
Switzerland/Liestal,47.481403,7.730519,350,2007,2007-04-09,99,4.85,117.3,71.0,273.4
Switzerland/Liestal,47.481403,7.730519,350,2008,2008-04-13,104,3.5,72.9,81.0,191.6
Switzerland/Liestal,47.481403,7.730519,350,2009,2009-04-12,102,1.06,13.9,90.0,229.3
Switzerland/Liestal,47.481403,7.730519,350,2010,2010-04-14,104,1.17,65.7,88.0,180.4
Switzerland/Liestal,47.481403,7.730519,350,2011,2011-04-03,93,3.33,69.9,88.0,133.1
Switzerland/Liestal,47.481403,7.730519,350,2012,2012-03-30,90,2.19,92.0,86.0,154.8
Switzerland/Liestal,47.481403,7.730519,350,2013,2013-04-18,108,1.09,22.6,84.0,201.0
Switzerland/Liestal,47.481403,7.730519,350,2014,2014-03-28,87,4.72,85.5,88.0,192.9
Switzerland/Liestal,47.481403,7.730519,350,2015,2015-04-11,101,2.93,60.4,85.0,191.7
Switzerland/Liestal,47.481403,7.730519,350,2016,2016-04-07,98,3.69,54.5,83.0,333.7
Switzerland/Liestal,47.481403,7.730519,350,2017,2017-03-27,86,4.01,153.0,85.0,192.8
Switzerland/Liestal,47.481403,7.730519,350,2018,2018-04-10,100,3.72,85.6,78.0,323.0
Switzerland/Liestal,47.481403,7.730519,350,2019,2019-03-24,83,4.55,120.0,73.0,191.8
Switzerland/Liestal,47.481403,7.730519,350,2020,2020-03-19,79,5.74,159.1,64.0,228.6
Switzerland/Liestal,47.481403,7.730519,350,2021,2021-03-28,87,4.26,144.8,64.0,296.5
Switzerland/Liestal,47.481403,7.730519,350,2022,2022-03-25,84,4.98,146.8,77.0,167.4
Switzerland/Liestal,47.481403,7.730519,350,2023,2023-03-28,87,5.3,183.4,59.0,218.2
