location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Linthal,46.915883,8.993658,695,1970,1970-05-15,135,,,,
Switzerland/Linthal,46.915883,8.993658,695,1971,1971-04-25,115,,,,
Switzerland/Linthal,46.915883,8.993658,695,1974,1974-04-20,110,,,,
Switzerland/Linthal,46.915883,8.993658,695,1975,1975-05-10,130,,,,
Switzerland/Linthal,46.915883,8.993658,695,1976,1976-04-29,120,,,,
Switzerland/Linthal,46.915883,8.993658,695,1977,1977-04-26,116,,,,
Switzerland/Linthal,46.915883,8.993658,695,1978,1978-05-04,124,,,,
Switzerland/Linthal,46.915883,8.993658,695,1979,1979-05-13,133,,,,
Switzerland/Linthal,46.915883,8.993658,695,1980,1980-05-10,131,,,,
Switzerland/Linthal,46.915883,8.993658,695,1981,1981-04-15,105,,,,
Switzerland/Linthal,46.915883,8.993658,695,1982,1982-05-12,132,,,,
Switzerland/Linthal,46.915883,8.993658,695,1983,1983-04-28,118,,,,
Switzerland/Linthal,46.915883,8.993658,695,1984,1984-05-08,129,,,,
Switzerland/Linthal,46.915883,8.993658,695,1985,1985-05-16,136,,,,
Switzerland/Linthal,46.915883,8.993658,695,1986,1986-05-04,124,,,,
Switzerland/Linthal,46.915883,8.993658,695,1987,1987-05-01,121,,,,
Switzerland/Linthal,46.915883,8.993658,695,1988,1988-04-30,121,,,,
Switzerland/Linthal,46.915883,8.993658,695,1989,1989-04-12,102,,,,
Switzerland/Linthal,46.915883,8.993658,695,1990,1990-04-22,112,,,,
Switzerland/Linthal,46.915883,8.993658,695,1991,1991-04-15,105,,,,
Switzerland/Linthal,46.915883,8.993658,695,1992,1992-04-26,117,,,,
Switzerland/Linthal,46.915883,8.993658,695,1993,1993-04-28,118,,,,
Switzerland/Linthal,46.915883,8.993658,695,1994,1994-04-06,96,,,,
Switzerland/Linthal,46.915883,8.993658,695,1995,1995-04-30,120,,,,
Switzerland/Linthal,46.915883,8.993658,695,1996,1996-04-27,118,,,,
Switzerland/Linthal,46.915883,8.993658,695,1997,1997-04-28,118,,,,
Switzerland/Linthal,46.915883,8.993658,695,1998,1998-04-28,118,,,,
Switzerland/Linthal,46.915883,8.993658,695,1999,1999-05-01,121,,,,
Switzerland/Linthal,46.915883,8.993658,695,2000,2000-05-01,122,,,,
Switzerland/Linthal,46.915883,8.993658,695,2001,2001-04-30,120,,,,
Switzerland/Linthal,46.915883,8.993658,695,2002,2002-04-16,106,,,,
Switzerland/Linthal,46.915883,8.993658,695,2003,2003-04-26,116,,,,
Switzerland/Linthal,46.915883,8.993658,695,2004,2004-04-29,120,,,,
Switzerland/Linthal,46.915883,8.993658,695,2005,2005-04-27,117,,,,
Switzerland/Linthal,46.915883,8.993658,695,2006,2006-05-02,122,,,,
Switzerland/Linthal,46.915883,8.993658,695,2007,2007-04-16,106,,,,
Switzerland/Linthal,46.915883,8.993658,695,2008,2008-04-29,120,,,,
Switzerland/Linthal,46.915883,8.993658,695,2009,2009-04-19,109,,,,
Switzerland/Linthal,46.915883,8.993658,695,2010,2010-04-23,113,,,,
Switzerland/Linthal,46.915883,8.993658,695,2011,2011-04-12,102,,,,
Switzerland/Linthal,46.915883,8.993658,695,2012,2012-04-23,114,,,,
Switzerland/Linthal,46.915883,8.993658,695,2013,2013-04-28,118,,,,
Switzerland/Linthal,46.915883,8.993658,695,2014,2014-04-08,98,,,,
Switzerland/Linthal,46.915883,8.993658,695,2015,2015-04-24,114,,,,
Switzerland/Linthal,46.915883,8.993658,695,2016,2016-04-12,103,,,,
Switzerland/Linthal,46.915883,8.993658,695,2017,2017-04-10,100,,,,
Switzerland/Linthal,46.915883,8.993658,695,2018,2018-04-18,108,,,,
Switzerland/Linthal,46.915883,8.993658,695,2019,2019-04-18,108,,,,
Switzerland/Linthal,46.915883,8.993658,695,2020,2020-04-09,100,,,,
Switzerland/Linthal,46.915883,8.993658,695,2021,2021-04-22,112,,,,
Switzerland/Linthal,46.915883,8.993658,695,2022,2022-04-12,102,,,,
Switzerland/Linthal,46.915883,8.993658,695,2023,2023-04-22,112,,,,
