location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Locarno,46.169278,8.798214,200,1966,1966-04-15,105,,,,
Switzerland/Locarno,46.169278,8.798214,200,1967,1967-04-10,100,,,,
Switzerland/Locarno,46.169278,8.798214,200,1968,1968-04-15,106,,,,
Switzerland/Locarno,46.169278,8.798214,200,1969,1969-04-15,105,,,,
Switzerland/Locarno,46.169278,8.798214,200,1970,1970-04-10,100,,,,
Switzerland/Locarno,46.169278,8.798214,200,1971,1971-04-15,105,,,,
Switzerland/Locarno,46.169278,8.798214,200,1972,1972-04-15,106,,,,
Switzerland/Locarno,46.169278,8.798214,200,1973,1973-04-10,100,,,,
Switzerland/Locarno,46.169278,8.798214,200,1974,1974-04-25,115,,,,
Switzerland/Locarno,46.169278,8.798214,200,1975,1975-04-20,110,,,,
Switzerland/Locarno,46.169278,8.798214,200,1976,1976-04-10,101,,,,
Switzerland/Locarno,46.169278,8.798214,200,1977,1977-04-08,98,,,,
Switzerland/Locarno,46.169278,8.798214,200,1978,1978-04-10,100,,,,
Switzerland/Locarno,46.169278,8.798214,200,1979,1979-04-10,100,,,,
Switzerland/Locarno,46.169278,8.798214,200,1980,1980-04-04,95,,,,
Switzerland/Locarno,46.169278,8.798214,200,1981,1981-04-12,102,,,,
Switzerland/Locarno,46.169278,8.798214,200,1982,1982-05-03,123,,,,
Switzerland/Locarno,46.169278,8.798214,200,1983,1983-04-07,97,,,,
Switzerland/Locarno,46.169278,8.798214,200,1984,1984-04-20,111,,,,
Switzerland/Locarno,46.169278,8.798214,200,1985,1985-04-15,105,,,,
Switzerland/Locarno,46.169278,8.798214,200,1986,1986-05-01,121,,,,
Switzerland/Locarno,46.169278,8.798214,200,1987,1987-04-15,105,,,,
Switzerland/Locarno,46.169278,8.798214,200,1988,1988-03-30,90,,,,
Switzerland/Locarno,46.169278,8.798214,200,1990,1990-03-16,75,,,,
Switzerland/Locarno,46.169278,8.798214,200,1991,1991-03-25,84,,,,
Switzerland/Locarno,46.169278,8.798214,200,1992,1992-03-22,82,,,,
Switzerland/Locarno,46.169278,8.798214,200,1993,1993-03-21,80,,,,
Switzerland/Locarno,46.169278,8.798214,200,1994,1994-03-21,80,,,,
Switzerland/Locarno,46.169278,8.798214,200,1995,1995-04-10,100,,,,
Switzerland/Locarno,46.169278,8.798214,200,1996,1996-04-12,103,,,,
Switzerland/Locarno,46.169278,8.798214,200,1997,1997-03-25,84,,,,
Switzerland/Locarno,46.169278,8.798214,200,1998,1998-04-05,95,,,,
Switzerland/Locarno,46.169278,8.798214,200,1999,1999-04-07,97,,,,
Switzerland/Locarno,46.169278,8.798214,200,2000,2000-03-28,88,,,,
Switzerland/Locarno,46.169278,8.798214,200,2001,2001-04-01,91,,,,
Switzerland/Locarno,46.169278,8.798214,200,2002,2002-03-27,86,,,,
Switzerland/Locarno,46.169278,8.798214,200,2003,2003-04-01,91,,,,
Switzerland/Locarno,46.169278,8.798214,200,2004,2004-04-06,97,,,,
Switzerland/Locarno,46.169278,8.798214,200,2005,2005-04-04,94,,,,
Switzerland/Locarno,46.169278,8.798214,200,2006,2006-04-12,102,,,,
Switzerland/Locarno,46.169278,8.798214,200,2007,2007-03-20,79,,,,
Switzerland/Locarno,46.169278,8.798214,200,2008,2008-03-30,90,,,,
Switzerland/Locarno,46.169278,8.798214,200,2009,2009-03-31,90,,,,
Switzerland/Locarno,46.169278,8.798214,200,2010,2010-04-10,100,,,,
Switzerland/Locarno,46.169278,8.798214,200,2011,2011-03-28,87,,,,
Switzerland/Locarno,46.169278,8.798214,200,2012,2012-03-21,81,,,,
Switzerland/Locarno,46.169278,8.798214,200,2013,2013-04-15,105,,,,
Switzerland/Locarno,46.169278,8.798214,200,2014,2014-04-01,91,,,,
Switzerland/Locarno,46.169278,8.798214,200,2015,2015-04-05,95,,,,
Switzerland/Locarno,46.169278,8.798214,200,2016,2016-04-01,92,,,,
Switzerland/Locarno,46.169278,8.798214,200,2017,2017-04-01,91,,,,
Switzerland/Locarno,46.169278,8.798214,200,2018,2018-04-10,100,,,,
Switzerland/Locarno,46.169278,8.798214,200,2019,2019-03-28,87,,,,
Switzerland/Locarno,46.169278,8.798214,200,2020,2020-03-23,83,,,,
Switzerland/Locarno,46.169278,8.798214,200,2021,2021-03-29,88,,,,
Switzerland/Locarno,46.169278,8.798214,200,2022,2022-04-01,91,,,,
Switzerland/Locarno,46.169278,8.798214,200,2023,2023-03-27,86,,,,
