location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Longirod,46.498772,6.26595,900,1959,1959-05-03,123,,,,
Switzerland/Longirod,46.498772,6.26595,900,1961,1961-04-08,98,,,,
Switzerland/Longirod,46.498772,6.26595,900,1962,1962-05-13,133,,,,
Switzerland/Longirod,46.498772,6.26595,900,1963,1963-05-21,141,,,,
Switzerland/Longirod,46.498772,6.26595,900,1964,1964-05-09,130,,,,
Switzerland/Longirod,46.498772,6.26595,900,1965,1965-05-16,136,,,,
Switzerland/Longirod,46.498772,6.26595,900,1966,1966-05-04,124,,,,
Switzerland/Longirod,46.498772,6.26595,900,1967,1967-05-04,124,,,,
Switzerland/Longirod,46.498772,6.26595,900,1968,1968-04-26,117,,,,
Switzerland/Longirod,46.498772,6.26595,900,1969,1969-05-08,128,,,,
Switzerland/Longirod,46.498772,6.26595,900,1970,1970-05-22,142,,,,
Switzerland/Longirod,46.498772,6.26595,900,1971,1971-04-29,119,,,,
Switzerland/Longirod,46.498772,6.26595,900,1972,1972-05-05,126,,,,
Switzerland/Longirod,46.498772,6.26595,900,1973,1973-05-18,138,,,,
Switzerland/Longirod,46.498772,6.26595,900,1974,1974-04-15,105,,,,
Switzerland/Longirod,46.498772,6.26595,900,1975,1975-05-18,138,,,,
Switzerland/Longirod,46.498772,6.26595,900,1976,1976-04-26,117,,,,
Switzerland/Longirod,46.498772,6.26595,900,1977,1977-05-03,123,,,,
Switzerland/Longirod,46.498772,6.26595,900,1978,1978-05-19,139,,,,
Switzerland/Longirod,46.498772,6.26595,900,1980,1980-05-11,132,,,,
Switzerland/Longirod,46.498772,6.26595,900,1981,1981-04-25,115,,,,
Switzerland/Longirod,46.498772,6.26595,900,1982,1982-05-15,135,,,,
Switzerland/Longirod,46.498772,6.26595,900,1983,1983-05-17,137,,,,
Switzerland/Longirod,46.498772,6.26595,900,1984,1984-05-15,136,,,,
Switzerland/Longirod,46.498772,6.26595,900,1985,1985-05-19,139,,,,
Switzerland/Longirod,46.498772,6.26595,900,1986,1986-05-15,135,,,,
Switzerland/Longirod,46.498772,6.26595,900,1987,1987-05-04,124,,,,
Switzerland/Longirod,46.498772,6.26595,900,1988,1988-05-08,129,,,,
Switzerland/Longirod,46.498772,6.26595,900,1989,1989-04-09,99,,,,
Switzerland/Longirod,46.498772,6.26595,900,1990,1990-03-23,82,,,,
Switzerland/Longirod,46.498772,6.26595,900,1991,1991-04-17,107,,,,
Switzerland/Longirod,46.498772,6.26595,900,1992,1992-04-28,119,,,,
Switzerland/Longirod,46.498772,6.26595,900,1993,1993-04-29,119,,,,
Switzerland/Longirod,46.498772,6.26595,900,1994,1994-04-24,114,,,,
Switzerland/Longirod,46.498772,6.26595,900,1995,1995-04-28,118,,,,
Switzerland/Longirod,46.498772,6.26595,900,1998,1998-05-08,128,,,,
Switzerland/Longirod,46.498772,6.26595,900,1999,1999-05-05,125,,,,
Switzerland/Longirod,46.498772,6.26595,900,2000,2000-05-04,125,,,,
Switzerland/Longirod,46.498772,6.26595,900,2001,2001-05-08,128,,,,
Switzerland/Longirod,46.498772,6.26595,900,2002,2002-04-29,119,,,,
Switzerland/Longirod,46.498772,6.26595,900,2003,2003-04-26,116,,,,
Switzerland/Longirod,46.498772,6.26595,900,2004,2004-05-03,124,,,,
Switzerland/Longirod,46.498772,6.26595,900,2005,2005-05-03,123,,,,
Switzerland/Longirod,46.498772,6.26595,900,2006,2006-05-05,125,,,,
Switzerland/Longirod,46.498772,6.26595,900,2007,2007-04-19,109,,,,
Switzerland/Longirod,46.498772,6.26595,900,2008,2008-05-08,129,,,,
Switzerland/Longirod,46.498772,6.26595,900,2009,2009-04-24,114,,,,
Switzerland/Longirod,46.498772,6.26595,900,2010,2010-04-29,119,,,,
Switzerland/Longirod,46.498772,6.26595,900,2011,2011-04-13,103,,,,
Switzerland/Longirod,46.498772,6.26595,900,2012,2012-04-27,118,,,,
Switzerland/Longirod,46.498772,6.26595,900,2013,2013-05-09,129,,,,
Switzerland/Longirod,46.498772,6.26595,900,2014,2014-04-22,112,,,,
Switzerland/Longirod,46.498772,6.26595,900,2019,2019-05-05,125,,,,
Switzerland/Longirod,46.498772,6.26595,900,2020,2020-04-19,110,,,,
Switzerland/Longirod,46.498772,6.26595,900,2021,2021-05-14,134,,,,
Switzerland/Longirod,46.498772,6.26595,900,2022,2022-04-28,118,,,,
Switzerland/Longirod,46.498772,6.26595,900,2023,2023-05-08,128,,,,
