location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Luzern,47.062769,8.342442,580,1975,1975-04-23,113,2.23,5.8,89.0,243.4
Switzerland/Luzern,47.062769,8.342442,580,1976,1976-04-25,116,1.37,11.2,90.0,181.5
Switzerland/Luzern,47.062769,8.342442,580,1977,1977-04-15,105,2.45,35.5,90.0,365.9
Switzerland/Luzern,47.062769,8.342442,580,1978,1978-04-30,120,1.15,20.9,90.0,411.0
Switzerland/Luzern,47.062769,8.342442,580,1979,1979-04-30,120,0.63,11.3,90.0,351.2
Switzerland/Luzern,47.062769,8.342442,580,1980,1980-05-15,136,1.31,6.0,89.0,282.8
Switzerland/Luzern,47.062769,8.342442,580,1981,1981-04-25,115,0.35,27.4,90.0,372.6
Switzerland/Luzern,47.062769,8.342442,580,1982,1982-04-27,117,1.35,1.4,90.0,320.8
Switzerland/Luzern,47.062769,8.342442,580,1983,1983-04-25,115,1.57,27.0,87.0,315.6
Switzerland/Luzern,47.062769,8.342442,580,1984,1984-05-02,123,0.28,3.9,90.0,302.5
Switzerland/Luzern,47.062769,8.342442,580,1985,1985-05-20,140,-1.15,4.8,90.0,262.1
Switzerland/Luzern,47.062769,8.342442,580,1986,1986-05-03,123,-0.16,6.8,89.0,328.0
Switzerland/Luzern,47.062769,8.342442,580,1987,1987-05-08,128,-0.93,5.7,90.0,285.2
Switzerland/Luzern,47.062769,8.342442,580,1988,1988-05-08,129,2.06,9.2,89.0,486.5
Switzerland/Luzern,47.062769,8.342442,580,1989,1989-04-27,117,3.89,58.3,89.0,199.8
Switzerland/Luzern,47.062769,8.342442,580,1990,1990-03-25,84,4.05,81.8,88.0,280.6
Switzerland/Luzern,47.062769,8.342442,580,1991,1991-04-17,107,2.03,55.0,89.0,191.2
Switzerland/Luzern,47.062769,8.342442,580,1992,1992-04-25,116,2.15,29.2,90.0,261.2
Switzerland/Luzern,47.062769,8.342442,580,1993,1993-04-25,115,2.1,28.3,90.0,167.8
Switzerland/Luzern,47.062769,8.342442,580,1994,1994-04-25,115,3.59,78.4,87.0,314.8
Switzerland/Luzern,47.062769,8.342442,580,1995,1995-04-25,115,1.76,12.2,87.0,470.9
Switzerland/Luzern,47.062769,8.342442,580,1996,1996-04-26,117,1.51,25.5,90.0,186.1
Switzerland/Luzern,47.062769,8.342442,580,1997,1997-04-08,98,3.11,44.1,89.0,195.3
Switzerland/Luzern,47.062769,8.342442,580,1998,1998-04-26,116,2.88,42.5,89.0,211.3
Switzerland/Luzern,47.062769,8.342442,580,1999,1999-04-29,119,1.39,15.5,90.0,431.4
Switzerland/Luzern,47.062769,8.342442,580,2000,2000-04-24,115,2.25,22.7,90.0,314.6
Switzerland/Luzern,47.062769,8.342442,580,2001,2001-04-25,115,3.21,51.3,86.0,401.4
Switzerland/Luzern,47.062769,8.342442,580,2002,2002-04-12,102,3.23,55.3,89.0,202.3
Switzerland/Luzern,47.062769,8.342442,580,2003,2003-04-20,110,0.93,43.9,86.0,181.2
Switzerland/Luzern,47.062769,8.342442,580,2004,2004-04-19,110,1.43,29.1,86.0,325.4
Switzerland/Luzern,47.062769,8.342442,580,2005,2005-04-23,113,0.37,54.7,90.0,255.9
Switzerland/Luzern,47.062769,8.342442,580,2006,2006-05-01,121,0.31,20.2,90.0,309.4
Switzerland/Luzern,47.062769,8.342442,580,2007,2007-04-16,106,3.9,60.1,83.0,308.4
Switzerland/Luzern,47.062769,8.342442,580,2008,2008-04-26,117,2.97,28.4,88.0,245.9
Switzerland/Luzern,47.062769,8.342442,580,2009,2009-04-20,110,0.56,5.6,90.0,310.2
Switzerland/Luzern,47.062769,8.342442,580,2010,2010-04-23,113,0.38,31.8,90.0,186.4
Switzerland/Luzern,47.062769,8.342442,580,2011,2011-04-10,100,2.58,48.4,89.0,162.9
Switzerland/Luzern,47.062769,8.342442,580,2012,2012-04-26,117,1.19,58.6,89.0,233.0
Switzerland/Luzern,47.062769,8.342442,580,2013,2013-04-28,118,0.25,4.5,90.0,276.4
Switzerland/Luzern,47.062769,8.342442,580,2014,2014-04-05,95,3.39,54.9,90.0,230.9
Switzerland/Luzern,47.062769,8.342442,580,2015,2015-04-20,110,2.19,40.1,88.0,295.0
Switzerland/Luzern,47.062769,8.342442,580,2016,2016-04-20,111,2.84,34.0,87.0,393.8
Switzerland/Luzern,47.062769,8.342442,580,2017,2017-04-03,93,1.87,81.7,88.0,253.6
Switzerland/Luzern,47.062769,8.342442,580,2018,2018-04-19,109,2.04,13.8,90.0,328.7
Switzerland/Luzern,47.062769,8.342442,580,2019,2019-04-15,105,2.76,39.9,85.0,232.7
Switzerland/Luzern,47.062769,8.342442,580,2020,2020-04-14,105,3.86,64.3,81.0,214.1
Switzerland/Luzern,47.062769,8.342442,580,2021,2021-04-25,115,2.51,49.7,85.0,309.9
Switzerland/Luzern,47.062769,8.342442,580,2022,2022-04-13,103,3.22,54.9,86.0,201.9
Switzerland/Luzern,47.062769,8.342442,580,2023,2023-04-20,110,3.53,79.8,82.0,287.1
