location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Martina,46.884997,10.464608,1050,1976,1976-05-05,126,-1.37,7.8,90.0,304.4
Switzerland/Martina,46.884997,10.464608,1050,1977,1977-05-06,126,-0.11,27.8,90.0,425.5
Switzerland/Martina,46.884997,10.464608,1050,1978,1978-05-21,141,-1.82,4.2,90.0,485.9
Switzerland/Martina,46.884997,10.464608,1050,1979,1979-05-19,139,-2.46,2.9,90.0,382.9
Switzerland/Martina,46.884997,10.464608,1050,1980,1980-05-18,139,-2.03,4.1,90.0,353.1
Switzerland/Martina,46.884997,10.464608,1050,1981,1981-05-08,128,-2.53,33.0,90.0,508.6
Switzerland/Martina,46.884997,10.464608,1050,1982,1982-05-14,134,-1.54,0.0,90.0,379.0
Switzerland/Martina,46.884997,10.464608,1050,1983,1983-05-09,129,-1.21,5.3,90.0,447.5
Switzerland/Martina,46.884997,10.464608,1050,1984,1984-05-20,141,-3.77,0.0,90.0,406.7
Switzerland/Martina,46.884997,10.464608,1050,1985,1985-05-16,136,-3.41,0.6,90.0,345.0
Switzerland/Martina,46.884997,10.464608,1050,1986,1986-05-11,131,-3.3,0.5,89.0,434.9
Switzerland/Martina,46.884997,10.464608,1050,1987,1987-05-11,131,-3.32,0.9,90.0,407.3
Switzerland/Martina,46.884997,10.464608,1050,1988,1988-05-06,127,-2.38,2.3,89.0,655.3
Switzerland/Martina,46.884997,10.464608,1050,1989,1989-05-05,125,0.99,33.0,90.0,235.3
Switzerland/Martina,46.884997,10.464608,1050,1990,1990-05-07,127,0.69,44.1,89.0,387.4
Switzerland/Martina,46.884997,10.464608,1050,1991,1991-05-09,129,-0.85,20.6,89.0,207.4
Switzerland/Martina,46.884997,10.464608,1050,1992,1992-05-07,128,-0.91,1.8,90.0,404.1
Switzerland/Martina,46.884997,10.464608,1050,1993,1993-05-12,132,-1.52,14.4,90.0,270.6
Switzerland/Martina,46.884997,10.464608,1050,1994,1994-05-05,125,0.02,32.3,90.0,377.6
Switzerland/Martina,46.884997,10.464608,1050,1995,1995-05-09,129,-2.56,0.1,90.0,566.5
Switzerland/Martina,46.884997,10.464608,1050,1996,1996-05-13,134,-2.52,8.9,90.0,188.6
Switzerland/Martina,46.884997,10.464608,1050,1997,1997-05-15,135,0.27,10.4,90.0,298.2
Switzerland/Martina,46.884997,10.464608,1050,1998,1998-05-11,131,-0.55,25.2,90.0,302.6
Switzerland/Martina,46.884997,10.464608,1050,1999,1999-05-10,130,-1.77,9.0,90.0,593.5
Switzerland/Martina,46.884997,10.464608,1050,2000,2000-05-06,127,-1.59,3.2,90.0,564.8
Switzerland/Martina,46.884997,10.464608,1050,2001,2001-05-10,130,-0.6,11.0,90.0,470.6
Switzerland/Martina,46.884997,10.464608,1050,2002,2002-05-10,130,-0.35,8.6,90.0,333.1
Switzerland/Martina,46.884997,10.464608,1050,2003,2003-05-04,124,-2.7,17.2,90.0,251.1
Switzerland/Martina,46.884997,10.464608,1050,2004,2004-05-11,132,-1.91,22.8,90.0,397.7
Switzerland/Martina,46.884997,10.464608,1050,2005,2005-05-15,135,-3.46,39.1,90.0,352.1
Switzerland/Martina,46.884997,10.464608,1050,2007,2007-04-29,119,0.23,3.0,90.0,411.6
Switzerland/Martina,46.884997,10.464608,1050,2008,2008-05-14,135,-0.52,6.5,90.0,321.9
Switzerland/Martina,46.884997,10.464608,1050,2009,2009-05-06,126,-3.26,0.1,90.0,415.1
Switzerland/Martina,46.884997,10.464608,1050,2010,2010-05-06,126,-2.64,17.9,90.0,228.4
Switzerland/Martina,46.884997,10.464608,1050,2011,2011-05-01,121,-0.79,3.9,90.0,177.5
Switzerland/Martina,46.884997,10.464608,1050,2012,2012-05-09,130,-1.48,34.6,90.0,409.6
Switzerland/Martina,46.884997,10.464608,1050,2013,2013-05-10,130,-2.69,1.0,90.0,338.0
Switzerland/Martina,46.884997,10.464608,1050,2014,2014-05-08,128,0.53,29.6,90.0,275.7
Switzerland/Martina,46.884997,10.464608,1050,2015,2015-05-05,125,-1.22,2.9,90.0,365.8
Switzerland/Martina,46.884997,10.464608,1050,2016,2016-05-09,130,-0.67,16.2,88.0,421.8
Switzerland/Martina,46.884997,10.464608,1050,2017,2017-05-07,127,0.26,50.4,87.0,173.9
Switzerland/Martina,46.884997,10.464608,1050,2018,2018-05-04,124,-1.19,0.0,90.0,269.3
Switzerland/Martina,46.884997,10.464608,1050,2019,2019-05-16,136,0.01,22.4,89.0,283.6
Switzerland/Martina,46.884997,10.464608,1050,2020,2020-05-02,123,1.3,30.4,87.0,189.6
Switzerland/Martina,46.884997,10.464608,1050,2021,2021-05-09,129,-0.44,20.8,90.0,214.7
Switzerland/Martina,46.884997,10.464608,1050,2023,2023-05-17,137,0.74,28.7,87.0,147.7
