location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Meiringen I,46.75275,8.137867,900,1956,1956-05-09,130,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1957,1957-04-24,114,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1958,1958-05-07,127,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1960,1960-04-21,112,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1961,1961-04-10,100,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1962,1962-05-05,125,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1963,1963-05-06,126,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1964,1964-05-06,127,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1968,1968-04-22,113,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1969,1969-04-30,120,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1970,1970-05-13,133,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1971,1971-04-22,112,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1992,1992-05-07,128,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1993,1993-04-27,117,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1994,1994-04-23,113,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1995,1995-05-01,121,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1996,1996-05-01,122,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1997,1997-04-13,103,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1998,1998-04-23,113,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,1999,1999-04-29,119,,,,
Switzerland/Meiringen I,46.75275,8.137867,900,2000,2000-04-23,114,,,,
