location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Merishausen,47.763636,8.612414,540,1959,1959-04-10,100,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1960,1960-04-20,111,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1961,1961-04-06,96,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1962,1962-04-28,118,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1963,1963-05-02,122,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1964,1964-04-25,116,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1965,1965-05-03,123,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1966,1966-04-19,109,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1967,1967-04-18,108,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1968,1968-04-19,110,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1969,1969-04-30,120,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1970,1970-05-09,129,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1971,1971-04-21,111,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1972,1972-04-09,100,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1973,1973-05-05,125,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1974,1974-04-05,95,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1975,1975-04-30,120,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1976,1976-04-19,110,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1977,1977-04-16,106,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1978,1978-04-29,119,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1979,1979-05-08,128,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1980,1980-05-02,123,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1981,1981-04-11,101,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1982,1982-05-04,124,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1983,1983-04-23,113,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1984,1984-05-02,123,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1985,1985-05-01,121,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1986,1986-05-05,125,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1987,1987-04-28,118,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1988,1988-04-27,118,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1989,1989-04-10,100,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1990,1990-04-02,92,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1991,1991-04-16,106,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1992,1992-04-25,116,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1993,1993-04-21,111,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1994,1994-04-20,110,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1995,1995-04-24,114,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1996,1996-04-24,115,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1997,1997-04-07,97,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1998,1998-04-20,110,,,,
Switzerland/Merishausen,47.763636,8.612414,540,1999,1999-04-23,113,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2000,2000-04-20,111,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2001,2001-04-26,116,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2002,2002-04-09,99,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2003,2003-04-17,107,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2004,2004-04-22,113,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2005,2005-04-16,106,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2006,2006-04-25,115,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2007,2007-04-12,102,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2008,2008-04-20,111,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2009,2009-04-15,105,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2010,2010-04-23,113,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2011,2011-04-07,97,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2012,2012-04-10,101,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2013,2013-04-26,116,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2014,2014-04-04,94,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2015,2015-04-16,106,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2016,2016-04-22,113,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2017,2017-04-10,100,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2018,2018-04-16,106,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2019,2019-04-11,101,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2020,2020-04-06,97,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2021,2021-04-16,106,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2022,2022-04-12,102,,,,
Switzerland/Merishausen,47.763636,8.612414,540,2023,2023-04-17,107,,,,
