location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Morgins VS,46.2415,6.850589,1380,1977,1977-05-28,148,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1978,1978-06-05,156,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1979,1979-05-27,147,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1980,1980-06-05,157,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1981,1981-05-25,145,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1982,1982-05-26,146,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1984,1984-06-15,167,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1985,1985-06-10,161,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1986,1986-05-24,144,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1987,1987-05-30,150,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1988,1988-05-28,149,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1989,1989-05-21,141,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1990,1990-05-17,137,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1991,1991-05-22,142,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1992,1992-05-15,136,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1993,1993-05-07,127,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1994,1994-05-15,135,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1995,1995-05-22,142,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1996,1996-05-28,149,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1997,1997-05-16,136,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,1998,1998-05-20,140,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,2000,2000-05-23,144,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,2003,2003-06-05,156,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,2005,2005-05-29,149,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,2006,2006-05-21,141,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,2007,2007-05-11,131,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,2009,2009-05-13,133,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,2010,2010-05-31,151,,,,
Switzerland/Morgins VS,46.2415,6.850589,1380,2011,2011-05-10,130,,,,
