location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Moudon,46.646331,6.777689,600,1966,1966-04-15,105,,,,
Switzerland/Moudon,46.646331,6.777689,600,1967,1967-04-20,110,,,,
Switzerland/Moudon,46.646331,6.777689,600,1968,1968-04-20,111,,,,
Switzerland/Moudon,46.646331,6.777689,600,1969,1969-04-27,117,,,,
Switzerland/Moudon,46.646331,6.777689,600,1970,1970-05-07,127,,,,
Switzerland/Moudon,46.646331,6.777689,600,1971,1971-04-22,112,,,,
Switzerland/Moudon,46.646331,6.777689,600,1972,1972-04-14,105,,,,
Switzerland/Moudon,46.646331,6.777689,600,1973,1973-05-05,125,,,,
Switzerland/Moudon,46.646331,6.777689,600,1974,1974-04-10,100,,,,
Switzerland/Moudon,46.646331,6.777689,600,1975,1975-04-27,117,,,,
Switzerland/Moudon,46.646331,6.777689,600,1976,1976-04-19,110,,,,
Switzerland/Moudon,46.646331,6.777689,600,1977,1977-04-06,96,,,,
Switzerland/Moudon,46.646331,6.777689,600,1978,1978-04-30,120,,,,
Switzerland/Moudon,46.646331,6.777689,600,1979,1979-04-29,119,,,,
Switzerland/Moudon,46.646331,6.777689,600,1980,1980-05-01,122,,,,
Switzerland/Moudon,46.646331,6.777689,600,1981,1981-04-23,113,,,,
Switzerland/Moudon,46.646331,6.777689,600,1982,1982-04-23,113,,,,
Switzerland/Moudon,46.646331,6.777689,600,1983,1983-04-23,113,,,,
Switzerland/Moudon,46.646331,6.777689,600,1984,1984-04-27,118,,,,
Switzerland/Moudon,46.646331,6.777689,600,1985,1985-04-23,113,,,,
Switzerland/Moudon,46.646331,6.777689,600,1986,1986-05-05,125,,,,
Switzerland/Moudon,46.646331,6.777689,600,1987,1987-04-27,117,,,,
Switzerland/Moudon,46.646331,6.777689,600,1988,1988-04-21,112,,,,
Switzerland/Moudon,46.646331,6.777689,600,1989,1989-04-08,98,,,,
Switzerland/Moudon,46.646331,6.777689,600,1990,1990-04-01,91,,,,
Switzerland/Moudon,46.646331,6.777689,600,1991,1991-04-14,104,,,,
Switzerland/Moudon,46.646331,6.777689,600,1992,1992-04-22,113,,,,
Switzerland/Moudon,46.646331,6.777689,600,1993,1993-04-23,113,,,,
Switzerland/Moudon,46.646331,6.777689,600,1994,1994-03-29,88,,,,
Switzerland/Moudon,46.646331,6.777689,600,1997,1997-04-05,95,,,,
Switzerland/Moudon,46.646331,6.777689,600,2000,2000-04-15,106,,,,
Switzerland/Moudon,46.646331,6.777689,600,2001,2001-04-26,116,,,,
Switzerland/Moudon,46.646331,6.777689,600,2002,2002-04-18,108,,,,
Switzerland/Moudon,46.646331,6.777689,600,2003,2003-04-20,110,,,,
Switzerland/Moudon,46.646331,6.777689,600,2004,2004-04-24,115,,,,
Switzerland/Moudon,46.646331,6.777689,600,2005,2005-04-22,112,,,,
Switzerland/Moudon,46.646331,6.777689,600,2006,2006-04-26,116,,,,
Switzerland/Moudon,46.646331,6.777689,600,2007,2007-04-14,104,,,,
Switzerland/Moudon,46.646331,6.777689,600,2008,2008-04-27,118,,,,
Switzerland/Moudon,46.646331,6.777689,600,2009,2009-04-21,111,,,,
Switzerland/Moudon,46.646331,6.777689,600,2010,2010-04-24,114,,,,
Switzerland/Moudon,46.646331,6.777689,600,2011,2011-04-09,99,,,,
Switzerland/Moudon,46.646331,6.777689,600,2012,2012-04-14,105,,,,
Switzerland/Moudon,46.646331,6.777689,600,2013,2013-04-27,117,,,,
Switzerland/Moudon,46.646331,6.777689,600,2014,2014-04-07,97,,,,
Switzerland/Moudon,46.646331,6.777689,600,2015,2015-04-19,109,,,,
Switzerland/Moudon,46.646331,6.777689,600,2016,2016-04-19,110,,,,
Switzerland/Moudon,46.646331,6.777689,600,2017,2017-04-03,93,,,,
Switzerland/Moudon,46.646331,6.777689,600,2018,2018-04-20,110,,,,
Switzerland/Moudon,46.646331,6.777689,600,2019,2019-04-15,105,,,,
Switzerland/Moudon,46.646331,6.777689,600,2020,2020-04-10,101,,,,
Switzerland/Moudon,46.646331,6.777689,600,2021,2021-04-28,118,,,,
Switzerland/Moudon,46.646331,6.777689,600,2022,2022-04-20,110,,,,
