location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Moutier,47.279386,7.385775,530,1963,1963-04-29,119,,,,
Switzerland/Moutier,47.279386,7.385775,530,1965,1965-05-07,127,,,,
Switzerland/Moutier,47.279386,7.385775,530,1966,1966-04-20,110,,,,
Switzerland/Moutier,47.279386,7.385775,530,1967,1967-04-21,111,,,,
Switzerland/Moutier,47.279386,7.385775,530,1968,1968-04-18,109,,,,
Switzerland/Moutier,47.279386,7.385775,530,1969,1969-04-21,111,,,,
Switzerland/Moutier,47.279386,7.385775,530,1970,1970-05-12,132,,,,
Switzerland/Moutier,47.279386,7.385775,530,1971,1971-04-20,110,,,,
Switzerland/Moutier,47.279386,7.385775,530,1972,1972-05-02,123,,,,
Switzerland/Moutier,47.279386,7.385775,530,1973,1973-05-14,134,,,,
Switzerland/Moutier,47.279386,7.385775,530,1974,1974-04-14,104,,,,
Switzerland/Moutier,47.279386,7.385775,530,1975,1975-05-06,126,,,,
Switzerland/Moutier,47.279386,7.385775,530,1976,1976-04-25,116,,,,
Switzerland/Moutier,47.279386,7.385775,530,1978,1978-05-04,124,,,,
Switzerland/Moutier,47.279386,7.385775,530,1979,1979-05-12,132,,,,
Switzerland/Moutier,47.279386,7.385775,530,1980,1980-05-10,131,,,,
Switzerland/Moutier,47.279386,7.385775,530,1981,1981-04-14,104,,,,
Switzerland/Moutier,47.279386,7.385775,530,1982,1982-05-07,127,,,,
Switzerland/Moutier,47.279386,7.385775,530,1983,1983-04-29,119,,,,
Switzerland/Moutier,47.279386,7.385775,530,1984,1984-05-10,131,,,,
Switzerland/Moutier,47.279386,7.385775,530,1985,1985-05-05,125,,,,
Switzerland/Moutier,47.279386,7.385775,530,1986,1986-05-14,134,,,,
Switzerland/Moutier,47.279386,7.385775,530,1987,1987-05-02,122,,,,
Switzerland/Moutier,47.279386,7.385775,530,1988,1988-05-03,124,,,,
Switzerland/Moutier,47.279386,7.385775,530,1989,1989-04-12,102,,,,
Switzerland/Moutier,47.279386,7.385775,530,1990,1990-04-14,104,,,,
Switzerland/Moutier,47.279386,7.385775,530,1991,1991-04-15,105,,,,
Switzerland/Moutier,47.279386,7.385775,530,1992,1992-04-24,115,,,,
Switzerland/Moutier,47.279386,7.385775,530,1993,1993-04-21,111,,,,
Switzerland/Moutier,47.279386,7.385775,530,1994,1994-04-15,105,,,,
Switzerland/Moutier,47.279386,7.385775,530,1995,1995-04-24,114,,,,
Switzerland/Moutier,47.279386,7.385775,530,1996,1996-04-26,117,,,,
Switzerland/Moutier,47.279386,7.385775,530,1998,1998-04-20,110,,,,
Switzerland/Moutier,47.279386,7.385775,530,1999,1999-04-26,116,,,,
Switzerland/Moutier,47.279386,7.385775,530,2000,2000-04-26,117,,,,
Switzerland/Moutier,47.279386,7.385775,530,2001,2001-05-03,123,,,,
Switzerland/Moutier,47.279386,7.385775,530,2002,2002-05-05,125,,,,
Switzerland/Moutier,47.279386,7.385775,530,2003,2003-04-25,115,,,,
Switzerland/Moutier,47.279386,7.385775,530,2004,2004-04-27,118,,,,
Switzerland/Moutier,47.279386,7.385775,530,2005,2005-04-28,118,,,,
Switzerland/Moutier,47.279386,7.385775,530,2006,2006-05-04,124,,,,
Switzerland/Moutier,47.279386,7.385775,530,2007,2007-04-19,109,,,,
Switzerland/Moutier,47.279386,7.385775,530,2008,2008-04-28,119,,,,
Switzerland/Moutier,47.279386,7.385775,530,2009,2009-04-23,113,,,,
Switzerland/Moutier,47.279386,7.385775,530,2010,2010-04-26,116,,,,
Switzerland/Moutier,47.279386,7.385775,530,2011,2011-04-13,103,,,,
Switzerland/Moutier,47.279386,7.385775,530,2012,2012-04-25,116,,,,
Switzerland/Moutier,47.279386,7.385775,530,2013,2013-05-03,123,,,,
Switzerland/Moutier,47.279386,7.385775,530,2014,2014-04-17,107,,,,
Switzerland/Moutier,47.279386,7.385775,530,2015,2015-04-25,115,,,,
Switzerland/Moutier,47.279386,7.385775,530,2016,2016-04-26,117,,,,
Switzerland/Moutier,47.279386,7.385775,530,2017,2017-04-09,99,,,,
Switzerland/Moutier,47.279386,7.385775,530,2018,2018-04-25,115,,,,
Switzerland/Moutier,47.279386,7.385775,530,2019,2019-04-24,114,,,,
Switzerland/Moutier,47.279386,7.385775,530,2020,2020-04-20,111,,,,
Switzerland/Moutier,47.279386,7.385775,530,2021,2021-05-06,126,,,,
Switzerland/Moutier,47.279386,7.385775,530,2022,2022-04-16,106,,,,
Switzerland/Moutier,47.279386,7.385775,530,2023,2023-04-19,109,,,,
