location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Murg,47.108222,9.217372,500,1952,1952-04-10,101,0.23,15.3,90.0,420.8
Switzerland/Murg,47.108222,9.217372,500,1953,1953-04-10,100,-0.06,18.2,90.0,162.2
Switzerland/Murg,47.108222,9.217372,500,1954,1954-04-25,115,0.07,27.8,88.0,269.3
Switzerland/Murg,47.108222,9.217372,500,1955,1955-05-02,122,0.91,24.5,90.0,421.2
Switzerland/Murg,47.108222,9.217372,500,1956,1956-05-10,131,-1.87,29.4,90.0,258.9
Switzerland/Murg,47.108222,9.217372,500,1957,1957-04-05,95,2.33,72.3,89.0,321.9
Switzerland/Murg,47.108222,9.217372,500,1958,1958-05-01,121,0.46,20.8,89.0,484.9
Switzerland/Murg,47.108222,9.217372,500,1959,1959-04-01,91,2.18,38.2,90.0,298.2
Switzerland/Murg,47.108222,9.217372,500,1960,1960-04-11,102,2.11,38.3,90.0,292.4
Switzerland/Murg,47.108222,9.217372,500,1961,1961-04-10,100,2.8,42.3,90.0,314.5
Switzerland/Murg,47.108222,9.217372,500,1962,1962-04-24,114,-0.08,4.8,87.0,430.0
Switzerland/Murg,47.108222,9.217372,500,1963,1963-04-28,118,-2.11,6.0,90.0,285.3
Switzerland/Murg,47.108222,9.217372,500,1964,1964-04-20,111,0.74,15.5,89.0,246.7
Switzerland/Murg,47.108222,9.217372,500,1965,1965-04-24,114,0.43,17.4,90.0,320.3
Switzerland/Murg,47.108222,9.217372,500,1966,1966-04-20,110,1.54,18.7,89.0,434.7
Switzerland/Murg,47.108222,9.217372,500,1967,1967-04-20,110,1.69,21.2,90.0,436.9
Switzerland/Murg,47.108222,9.217372,500,1968,1968-04-15,106,1.61,27.6,90.0,479.7
Switzerland/Murg,47.108222,9.217372,500,1969,1969-04-25,115,1.08,11.1,90.0,260.4
Switzerland/Murg,47.108222,9.217372,500,1970,1970-05-08,128,0.87,6.4,90.0,570.7
Switzerland/Murg,47.108222,9.217372,500,1971,1971-04-25,115,-0.89,4.3,90.0,263.3
Switzerland/Murg,47.108222,9.217372,500,1972,1972-04-10,101,3.51,55.3,88.0,142.6
Switzerland/Murg,47.108222,9.217372,500,1973,1973-05-05,125,0.48,10.6,90.0,293.9
Switzerland/Murg,47.108222,9.217372,500,1974,1974-04-02,92,4.0,63.0,90.0,297.7
Switzerland/Murg,47.108222,9.217372,500,1975,1975-04-25,115,2.75,11.0,89.0,302.6
Switzerland/Murg,47.108222,9.217372,500,1976,1976-04-20,111,1.82,15.8,90.0,261.0
Switzerland/Murg,47.108222,9.217372,500,1977,1977-03-27,86,3.49,62.0,90.0,409.9
Switzerland/Murg,47.108222,9.217372,500,1978,1978-04-25,115,1.49,27.3,90.0,483.6
Switzerland/Murg,47.108222,9.217372,500,1979,1979-04-16,106,0.94,19.0,90.0,362.4
Switzerland/Murg,47.108222,9.217372,500,1980,1980-04-20,111,1.64,14.2,90.0,355.7
Switzerland/Murg,47.108222,9.217372,500,1981,1981-04-12,102,0.56,54.4,90.0,439.7
Switzerland/Murg,47.108222,9.217372,500,1982,1982-04-30,120,1.87,10.9,90.0,354.1
Switzerland/Murg,47.108222,9.217372,500,1983,1983-04-22,112,1.59,35.3,89.0,383.9
Switzerland/Murg,47.108222,9.217372,500,1984,1984-04-27,118,0.45,6.0,90.0,370.9
Switzerland/Murg,47.108222,9.217372,500,1985,1985-04-22,112,-0.59,12.9,90.0,322.4
Switzerland/Murg,47.108222,9.217372,500,1986,1986-04-30,120,0.21,15.0,90.0,396.4
Switzerland/Murg,47.108222,9.217372,500,1987,1987-04-27,117,-0.62,14.0,90.0,353.5
Switzerland/Murg,47.108222,9.217372,500,1988,1988-04-27,118,2.11,13.0,89.0,617.6
Switzerland/Murg,47.108222,9.217372,500,1989,1989-04-07,97,3.49,72.2,86.0,219.6
Switzerland/Murg,47.108222,9.217372,500,1990,1990-04-02,92,3.88,99.9,82.0,353.0
Switzerland/Murg,47.108222,9.217372,500,1991,1991-04-11,101,1.72,68.6,89.0,214.0
Switzerland/Murg,47.108222,9.217372,500,1992,1992-04-26,117,1.9,34.7,90.0,361.3
Switzerland/Murg,47.108222,9.217372,500,1993,1993-04-23,113,1.99,33.4,90.0,228.9
Switzerland/Murg,47.108222,9.217372,500,1994,1994-03-31,90,3.7,83.0,87.0,371.5
Switzerland/Murg,47.108222,9.217372,500,1995,1995-04-26,116,2.1,17.8,88.0,554.9
Switzerland/Murg,47.108222,9.217372,500,1996,1996-04-24,115,1.1,22.1,90.0,191.4
Switzerland/Murg,47.108222,9.217372,500,1997,1997-04-10,100,3.59,59.2,90.0,235.1
Switzerland/Murg,47.108222,9.217372,500,1998,1998-04-09,99,2.78,48.8,89.0,280.3
Switzerland/Murg,47.108222,9.217372,500,1999,1999-04-14,104,1.75,38.7,90.0,560.9
