location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
"Switzerland/Muri, AG",47.265317,8.332283,550,1975,1975-05-02,122,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1976,1976-05-02,123,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1977,1977-04-18,108,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1978,1978-04-29,119,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1979,1979-04-30,120,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1980,1980-05-05,126,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1981,1981-04-12,102,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1982,1982-05-12,132,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1983,1983-04-22,112,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1984,1984-04-28,119,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1985,1985-04-25,115,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1986,1986-05-10,130,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1987,1987-04-30,120,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1988,1988-04-26,117,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1989,1989-04-12,102,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1990,1990-04-10,100,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1991,1991-04-18,108,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1992,1992-05-02,123,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1993,1993-04-26,116,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1994,1994-04-28,118,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1995,1995-04-24,114,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,1999,1999-04-27,117,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2000,2000-04-21,112,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2001,2001-04-10,100,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2002,2002-04-09,99,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2003,2003-04-24,114,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2004,2004-04-23,114,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2005,2005-04-08,98,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2006,2006-04-24,114,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2007,2007-04-16,106,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2008,2008-04-10,101,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2009,2009-04-13,103,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2010,2010-05-03,123,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2011,2011-04-08,98,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2012,2012-04-08,99,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2013,2013-04-24,114,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2014,2014-04-05,95,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2015,2015-04-15,105,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2016,2016-04-12,103,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2017,2017-03-30,89,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2018,2018-04-17,107,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2019,2019-04-03,93,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2020,2020-04-02,93,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2021,2021-04-05,95,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2022,2022-04-14,104,,,,
"Switzerland/Muri, AG",47.265317,8.332283,550,2023,2023-04-05,95,,,,
