location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Möhlin,47.561983,7.850547,305,1956,1956-04-23,114,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1957,1957-04-14,104,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1958,1958-05-01,121,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1962,1962-04-22,112,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1963,1963-04-20,110,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1967,1967-04-10,100,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1970,1970-05-04,124,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1971,1971-04-18,108,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1972,1972-04-14,105,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1974,1974-04-04,94,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1975,1975-04-26,116,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1976,1976-04-17,108,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1977,1977-04-02,92,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1978,1978-04-30,120,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1979,1979-04-27,117,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1980,1980-05-01,122,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1981,1981-04-05,95,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1982,1982-04-30,120,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1983,1983-04-21,111,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1984,1984-04-27,118,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1985,1985-04-21,111,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1986,1986-05-06,126,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1987,1987-04-27,117,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1988,1988-04-24,115,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1989,1989-04-05,95,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1990,1990-03-30,89,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1991,1991-04-14,104,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1992,1992-04-24,115,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1993,1993-04-19,109,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1994,1994-04-01,91,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1995,1995-04-23,113,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1996,1996-04-21,112,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1997,1997-04-02,92,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1998,1998-04-16,106,,,,
Switzerland/Möhlin,47.561983,7.850547,305,1999,1999-04-17,107,,,,
Switzerland/Möhlin,47.561983,7.850547,305,2000,2000-04-20,111,,,,
Switzerland/Möhlin,47.561983,7.850547,305,2001,2001-04-23,113,,,,
Switzerland/Möhlin,47.561983,7.850547,305,2002,2002-04-04,94,,,,
Switzerland/Möhlin,47.561983,7.850547,305,2003,2003-04-17,107,,,,
Switzerland/Möhlin,47.561983,7.850547,305,2004,2004-04-21,112,,,,
Switzerland/Möhlin,47.561983,7.850547,305,2005,2005-04-15,105,,,,
Switzerland/Möhlin,47.561983,7.850547,305,2006,2006-04-24,114,,,,
Switzerland/Möhlin,47.561983,7.850547,305,2014,2014-04-03,93,,,,
