location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Neuhausen,47.681939,8.615533,435,1974,1974-04-06,96,4.15,107.3,87.0,195.4
Switzerland/Neuhausen,47.681939,8.615533,435,1975,1975-04-23,113,2.93,23.9,84.0,189.8
Switzerland/Neuhausen,47.681939,8.615533,435,1976,1976-04-18,109,1.6,23.2,90.0,176.1
Switzerland/Neuhausen,47.681939,8.615533,435,1977,1977-03-28,87,3.3,107.1,89.0,319.3
Switzerland/Neuhausen,47.681939,8.615533,435,1978,1978-04-24,114,0.74,26.9,89.0,338.3
Switzerland/Neuhausen,47.681939,8.615533,435,1979,1979-04-24,114,0.86,27.4,88.0,283.9
Switzerland/Neuhausen,47.681939,8.615533,435,1980,1980-04-22,113,1.87,28.9,82.0,245.1
Switzerland/Neuhausen,47.681939,8.615533,435,1981,1981-04-10,100,1.12,98.3,90.0,276.2
Switzerland/Neuhausen,47.681939,8.615533,435,1982,1982-04-29,119,1.55,22.3,88.0,268.2
Switzerland/Neuhausen,47.681939,8.615533,435,1983,1983-04-23,113,2.19,54.6,82.0,235.8
Switzerland/Neuhausen,47.681939,8.615533,435,1984,1984-05-01,122,0.8,11.2,87.0,243.6
Switzerland/Neuhausen,47.681939,8.615533,435,1985,1985-04-24,114,-1.01,21.4,90.0,200.4
Switzerland/Neuhausen,47.681939,8.615533,435,1986,1986-05-06,126,-0.34,21.7,87.0,269.9
Switzerland/Neuhausen,47.681939,8.615533,435,1987,1987-04-29,119,-0.89,25.2,89.0,222.2
Switzerland/Neuhausen,47.681939,8.615533,435,1988,1988-04-26,117,2.78,31.1,85.0,415.5
Switzerland/Neuhausen,47.681939,8.615533,435,1989,1989-04-05,95,4.35,110.8,86.0,163.4
Switzerland/Neuhausen,47.681939,8.615533,435,1990,1990-04-01,91,4.89,149.0,75.0,248.6
Switzerland/Neuhausen,47.681939,8.615533,435,1991,1991-04-13,103,2.43,96.5,84.0,149.4
Switzerland/Neuhausen,47.681939,8.615533,435,1992,1992-04-22,113,2.54,44.0,87.0,208.3
Switzerland/Neuhausen,47.681939,8.615533,435,1993,1993-04-19,109,2.87,74.3,85.0,122.5
Switzerland/Neuhausen,47.681939,8.615533,435,1994,1994-03-29,88,4.46,121.0,81.0,243.0
Switzerland/Neuhausen,47.681939,8.615533,435,1995,1995-04-19,109,2.82,53.7,78.0,384.4
Switzerland/Neuhausen,47.681939,8.615533,435,1996,1996-04-23,114,1.01,27.8,89.0,121.4
Switzerland/Neuhausen,47.681939,8.615533,435,1997,1997-04-02,92,3.3,103.1,84.0,139.7
Switzerland/Neuhausen,47.681939,8.615533,435,1998,1998-04-15,105,3.61,79.2,83.0,175.0
Switzerland/Neuhausen,47.681939,8.615533,435,1999,1999-04-22,112,2.36,56.9,86.0,341.1
Switzerland/Neuhausen,47.681939,8.615533,435,2000,2000-04-15,106,3.21,54.5,87.0,253.2
Switzerland/Neuhausen,47.681939,8.615533,435,2001,2001-04-25,115,3.62,83.6,81.0,363.3
Switzerland/Neuhausen,47.681939,8.615533,435,2002,2002-04-05,95,4.29,125.1,75.0,194.2
Switzerland/Neuhausen,47.681939,8.615533,435,2003,2003-04-15,105,1.68,79.0,86.0,148.8
Switzerland/Neuhausen,47.681939,8.615533,435,2004,2004-04-17,108,2.09,65.3,88.0,258.6
Switzerland/Neuhausen,47.681939,8.615533,435,2005,2005-04-15,105,1.38,81.0,89.0,201.2
Switzerland/Neuhausen,47.681939,8.615533,435,2006,2006-04-25,115,0.54,35.6,90.0,264.5
Switzerland/Neuhausen,47.681939,8.615533,435,2007,2007-04-11,101,4.57,95.4,76.0,266.5
Switzerland/Neuhausen,47.681939,8.615533,435,2008,2008-04-25,116,3.32,59.3,82.0,218.0
Switzerland/Neuhausen,47.681939,8.615533,435,2009,2009-04-14,104,0.7,9.4,90.0,240.3
Switzerland/Neuhausen,47.681939,8.615533,435,2010,2010-04-19,109,0.78,58.2,90.0,160.7
Switzerland/Neuhausen,47.681939,8.615533,435,2011,2011-04-09,99,2.92,68.4,88.0,134.2
Switzerland/Neuhausen,47.681939,8.615533,435,2012,2012-04-07,98,1.89,94.8,87.0,174.2
Switzerland/Neuhausen,47.681939,8.615533,435,2013,2013-04-25,115,0.56,21.0,87.0,221.2
Switzerland/Neuhausen,47.681939,8.615533,435,2014,2014-04-04,94,4.27,75.8,90.0,188.5
Switzerland/Neuhausen,47.681939,8.615533,435,2015,2015-04-15,105,2.26,45.7,87.0,241.4
Switzerland/Neuhausen,47.681939,8.615533,435,2016,2016-04-09,100,3.22,44.7,84.0,355.3
Switzerland/Neuhausen,47.681939,8.615533,435,2017,2017-04-06,96,2.58,99.0,87.0,151.3
Switzerland/Neuhausen,47.681939,8.615533,435,2018,2018-04-20,110,2.2,30.0,88.0,286.6
Switzerland/Neuhausen,47.681939,8.615533,435,2020,2020-04-19,110,3.86,85.8,80.0,230.4
Switzerland/Neuhausen,47.681939,8.615533,435,2021,2021-04-13,103,2.7,66.3,80.0,254.3
Switzerland/Neuhausen,47.681939,8.615533,435,2022,2022-04-12,102,3.49,81.7,83.0,133.7
Switzerland/Neuhausen,47.681939,8.615533,435,2023,2023-04-21,111,3.84,96.5,81.0,178.5
