location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Näfels,47.092389,9.071936,440,1970,1970-05-11,131,1.31,11.1,90.0,511.7
Switzerland/Näfels,47.092389,9.071936,440,1971,1971-04-18,108,-0.45,5.8,90.0,248.3
Switzerland/Näfels,47.092389,9.071936,440,1972,1972-04-03,94,4.06,76.0,89.0,143.1
Switzerland/Näfels,47.092389,9.071936,440,1973,1973-05-04,124,0.85,14.1,90.0,272.8
Switzerland/Näfels,47.092389,9.071936,440,1974,1974-04-03,93,4.43,77.9,89.0,286.8
Switzerland/Näfels,47.092389,9.071936,440,1975,1975-04-25,115,3.19,18.1,89.0,272.4
Switzerland/Näfels,47.092389,9.071936,440,1976,1976-04-29,120,2.25,22.7,90.0,242.7
Switzerland/Näfels,47.092389,9.071936,440,1978,1978-04-26,116,1.95,33.8,89.0,449.5
Switzerland/Näfels,47.092389,9.071936,440,1979,1979-05-02,122,1.39,26.0,90.0,346.0
Switzerland/Näfels,47.092389,9.071936,440,1981,1981-04-10,100,1.07,63.6,90.0,393.2
Switzerland/Näfels,47.092389,9.071936,440,1982,1982-04-28,118,2.36,13.6,90.0,334.0
Switzerland/Näfels,47.092389,9.071936,440,1983,1983-04-25,115,2.14,49.3,86.0,356.1
Switzerland/Näfels,47.092389,9.071936,440,1986,1986-05-05,125,0.71,21.5,89.0,366.5
Switzerland/Näfels,47.092389,9.071936,440,1992,1992-05-10,131,2.34,47.0,89.0,337.5
Switzerland/Näfels,47.092389,9.071936,440,1993,1993-04-28,118,2.65,47.8,89.0,213.2
Switzerland/Näfels,47.092389,9.071936,440,1994,1994-04-01,91,4.36,110.0,86.0,348.0
Switzerland/Näfels,47.092389,9.071936,440,1995,1995-04-20,110,2.71,28.7,83.0,513.5
Switzerland/Näfels,47.092389,9.071936,440,1996,1996-05-04,125,1.79,34.8,90.0,173.0
Switzerland/Näfels,47.092389,9.071936,440,1997,1997-05-01,121,4.05,79.9,89.0,207.3
Switzerland/Näfels,47.092389,9.071936,440,1998,1998-04-22,112,3.36,65.7,85.0,257.2
Switzerland/Näfels,47.092389,9.071936,440,1999,1999-05-08,128,2.25,46.5,90.0,515.2
Switzerland/Näfels,47.092389,9.071936,440,2000,2000-04-24,115,2.74,39.8,89.0,406.0
Switzerland/Näfels,47.092389,9.071936,440,2001,2001-04-30,120,4.0,74.6,82.0,403.8
Switzerland/Näfels,47.092389,9.071936,440,2002,2002-04-26,116,3.56,92.8,87.0,240.8
Switzerland/Näfels,47.092389,9.071936,440,2003,2003-04-28,118,1.47,82.4,88.0,228.3
Switzerland/Näfels,47.092389,9.071936,440,2004,2004-04-22,113,1.94,38.4,88.0,340.4
Switzerland/Näfels,47.092389,9.071936,440,2005,2005-04-23,113,0.77,72.3,89.0,301.3
Switzerland/Näfels,47.092389,9.071936,440,2006,2006-04-29,119,0.28,25.7,90.0,293.9
Switzerland/Näfels,47.092389,9.071936,440,2007,2007-04-13,103,4.55,75.5,77.0,355.8
Switzerland/Näfels,47.092389,9.071936,440,2008,2008-04-15,106,3.51,48.2,86.0,280.9
Switzerland/Näfels,47.092389,9.071936,440,2009,2009-04-18,108,1.42,12.2,90.0,355.7
Switzerland/Näfels,47.092389,9.071936,440,2010,2010-04-15,105,0.89,47.2,90.0,200.0
Switzerland/Näfels,47.092389,9.071936,440,2011,2011-04-07,97,3.13,74.5,89.0,189.1
Switzerland/Näfels,47.092389,9.071936,440,2012,2012-04-15,106,1.65,68.4,88.0,293.8
Switzerland/Näfels,47.092389,9.071936,440,2013,2013-04-25,115,0.87,12.6,90.0,277.9
Switzerland/Näfels,47.092389,9.071936,440,2014,2014-04-07,97,5.02,92.0,89.0,247.0
Switzerland/Näfels,47.092389,9.071936,440,2015,2015-04-21,111,2.84,51.0,86.0,360.9
Switzerland/Näfels,47.092389,9.071936,440,2016,2016-04-12,103,3.51,39.8,86.0,406.5
Switzerland/Näfels,47.092389,9.071936,440,2017,2017-04-06,96,4.15,141.2,83.0,461.3
Switzerland/Näfels,47.092389,9.071936,440,2018,2018-04-14,104,3.16,62.5,80.0,530.4
Switzerland/Näfels,47.092389,9.071936,440,2019,2019-04-09,99,3.63,84.5,75.0,540.1
Switzerland/Näfels,47.092389,9.071936,440,2020,2020-04-07,98,5.01,96.6,75.0,436.3
Switzerland/Näfels,47.092389,9.071936,440,2021,2021-04-18,108,3.39,101.5,72.0,526.7
