location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Oberehrendingen,47.481914,8.332208,490,1975,1975-04-23,113,2.52,14.4,87.0,191.8
Switzerland/Oberehrendingen,47.481914,8.332208,490,1976,1976-04-17,108,1.44,19.8,90.0,159.3
Switzerland/Oberehrendingen,47.481914,8.332208,490,1977,1977-03-30,89,2.91,80.9,90.0,336.6
Switzerland/Oberehrendingen,47.481914,8.332208,490,1978,1978-04-25,115,0.78,25.4,89.0,334.6
Switzerland/Oberehrendingen,47.481914,8.332208,490,1979,1979-04-28,118,0.53,22.0,89.0,314.6
Switzerland/Oberehrendingen,47.481914,8.332208,490,1980,1980-04-21,112,1.73,25.5,86.0,242.2
Switzerland/Oberehrendingen,47.481914,8.332208,490,1981,1981-04-10,100,0.82,82.2,90.0,281.3
Switzerland/Oberehrendingen,47.481914,8.332208,490,1982,1982-04-26,116,1.52,15.0,90.0,280.3
Switzerland/Oberehrendingen,47.481914,8.332208,490,1983,1983-04-21,111,1.82,41.8,83.0,232.7
Switzerland/Oberehrendingen,47.481914,8.332208,490,1984,1984-04-27,118,0.51,10.0,88.0,250.3
Switzerland/Oberehrendingen,47.481914,8.332208,490,1985,1985-04-24,114,-1.13,16.1,90.0,200.3
Switzerland/Oberehrendingen,47.481914,8.332208,490,1986,1986-05-05,125,-0.55,19.7,87.0,273.4
Switzerland/Oberehrendingen,47.481914,8.332208,490,1987,1987-04-25,115,-0.85,20.9,89.0,207.9
Switzerland/Oberehrendingen,47.481914,8.332208,490,1988,1988-05-10,131,2.54,25.9,85.0,400.6
Switzerland/Oberehrendingen,47.481914,8.332208,490,1989,1989-04-02,92,3.99,95.7,87.0,170.7
Switzerland/Oberehrendingen,47.481914,8.332208,490,1990,1990-03-25,84,4.55,130.9,79.0,245.6
Switzerland/Oberehrendingen,47.481914,8.332208,490,1991,1991-04-13,103,2.4,87.6,87.0,156.8
Switzerland/Oberehrendingen,47.481914,8.332208,490,1992,1992-04-21,112,2.34,40.2,88.0,187.9
Switzerland/Oberehrendingen,47.481914,8.332208,490,1993,1993-04-20,110,2.61,60.0,87.0,109.5
Switzerland/Oberehrendingen,47.481914,8.332208,490,1994,1994-03-28,87,4.15,106.6,83.0,243.3
Switzerland/Oberehrendingen,47.481914,8.332208,490,1995,1995-04-12,102,2.58,43.0,83.0,384.9
Switzerland/Oberehrendingen,47.481914,8.332208,490,1996,1996-04-22,113,1.07,28.5,89.0,135.6
Switzerland/Oberehrendingen,47.481914,8.332208,490,1997,1997-04-05,95,3.21,83.2,86.0,141.6
Switzerland/Oberehrendingen,47.481914,8.332208,490,1998,1998-04-15,105,3.45,68.0,83.0,167.1
Switzerland/Oberehrendingen,47.481914,8.332208,490,1999,1999-04-16,106,2.11,48.8,89.0,321.8
Switzerland/Oberehrendingen,47.481914,8.332208,490,2000,2000-04-15,106,2.89,43.1,87.0,230.0
Switzerland/Oberehrendingen,47.481914,8.332208,490,2001,2001-04-18,108,3.34,70.8,85.0,390.9
Switzerland/Oberehrendingen,47.481914,8.332208,490,2002,2002-04-05,95,3.99,106.5,81.0,196.0
Switzerland/Oberehrendingen,47.481914,8.332208,490,2003,2003-04-17,107,1.47,73.5,86.0,135.1
Switzerland/Oberehrendingen,47.481914,8.332208,490,2004,2004-04-19,110,1.73,53.8,89.0,269.0
Switzerland/Oberehrendingen,47.481914,8.332208,490,2005,2005-04-15,105,1.07,79.7,89.0,194.3
Switzerland/Oberehrendingen,47.481914,8.332208,490,2006,2006-04-25,115,0.4,33.9,90.0,294.4
Switzerland/Oberehrendingen,47.481914,8.332208,490,2007,2007-04-10,100,4.16,79.9,79.0,274.2
Switzerland/Oberehrendingen,47.481914,8.332208,490,2008,2008-04-15,106,2.94,47.6,86.0,218.6
Switzerland/Oberehrendingen,47.481914,8.332208,490,2009,2009-04-16,106,0.58,8.5,90.0,224.3
Switzerland/Oberehrendingen,47.481914,8.332208,490,2010,2010-04-20,110,0.65,51.5,90.0,165.7
Switzerland/Oberehrendingen,47.481914,8.332208,490,2011,2011-04-10,100,2.58,55.1,89.0,129.1
Switzerland/Oberehrendingen,47.481914,8.332208,490,2012,2012-04-04,95,1.63,80.6,87.0,155.1
Switzerland/Oberehrendingen,47.481914,8.332208,490,2013,2013-04-26,116,0.36,17.6,87.0,229.1
Switzerland/Oberehrendingen,47.481914,8.332208,490,2014,2014-04-06,96,3.94,66.7,90.0,194.9
Switzerland/Oberehrendingen,47.481914,8.332208,490,2015,2015-04-15,105,2.16,46.0,87.0,227.7
Switzerland/Oberehrendingen,47.481914,8.332208,490,2016,2016-04-11,102,2.92,37.5,85.0,369.0
Switzerland/Oberehrendingen,47.481914,8.332208,490,2017,2017-04-06,96,1.95,84.6,87.0,181.9
Switzerland/Oberehrendingen,47.481914,8.332208,490,2018,2018-04-18,108,2.06,27.8,87.0,295.2
Switzerland/Oberehrendingen,47.481914,8.332208,490,2019,2019-03-31,90,2.59,47.9,82.0,200.9
Switzerland/Oberehrendingen,47.481914,8.332208,490,2020,2020-04-06,97,3.58,82.8,80.0,235.4
Switzerland/Oberehrendingen,47.481914,8.332208,490,2021,2021-04-07,97,2.21,46.1,85.0,286.4
Switzerland/Oberehrendingen,47.481914,8.332208,490,2022,2022-04-07,97,2.88,69.9,83.0,137.1
Switzerland/Oberehrendingen,47.481914,8.332208,490,2023,2023-04-13,103,3.52,96.3,80.0,218.2
