location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Oberlangenegg,46.808222,7.716267,910,1978,1978-05-28,148,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1979,1979-05-18,138,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1980,1980-05-22,143,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1981,1981-05-14,134,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1982,1982-05-20,140,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1983,1983-05-13,133,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1984,1984-06-03,155,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1985,1985-05-25,145,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1986,1986-05-17,137,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1987,1987-05-17,137,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1988,1988-05-14,135,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1989,1989-05-17,137,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1990,1990-05-14,134,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1991,1991-05-29,149,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1992,1992-05-12,133,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1993,1993-05-09,129,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1994,1994-05-03,123,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1995,1995-05-08,128,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1996,1996-05-22,143,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1997,1997-05-13,133,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1998,1998-05-09,129,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,1999,1999-05-06,126,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2000,2000-05-02,123,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2001,2001-05-10,130,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2002,2002-05-06,126,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2003,2003-04-30,120,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2005,2005-05-04,124,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2006,2006-05-13,133,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2007,2007-04-20,110,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2008,2008-05-08,129,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2009,2009-05-03,123,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2018,2018-04-26,116,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2019,2019-04-22,112,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2020,2020-04-17,108,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2021,2021-05-11,131,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2022,2022-04-30,120,,,,
Switzerland/Oberlangenegg,46.808222,7.716267,910,2023,2023-05-04,124,,,,
