location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Oeschberg,47.126578,7.613264,485,1962,1962-05-07,127,0.72,13.6,82.0,300.5
Switzerland/Oeschberg,47.126578,7.613264,485,1963,1963-05-10,130,-3.16,2.2,90.0,179.4
Switzerland/Oeschberg,47.126578,7.613264,485,1964,1964-05-05,126,1.07,19.4,89.0,223.9
Switzerland/Oeschberg,47.126578,7.613264,485,1965,1965-05-10,130,-0.27,26.4,90.0,229.7
Switzerland/Oeschberg,47.126578,7.613264,485,1967,1967-05-08,128,2.34,63.5,87.0,240.9
Switzerland/Oeschberg,47.126578,7.613264,485,1968,1968-04-24,115,1.23,47.8,89.0,283.3
Switzerland/Oeschberg,47.126578,7.613264,485,1969,1969-05-04,124,0.73,19.7,90.0,227.5
Switzerland/Oeschberg,47.126578,7.613264,485,1970,1970-05-11,131,-0.03,4.8,90.0,401.1
Switzerland/Oeschberg,47.126578,7.613264,485,1971,1971-04-26,116,-0.89,1.6,89.0,174.6
Switzerland/Oeschberg,47.126578,7.613264,485,1973,1973-05-07,127,0.06,18.6,90.0,157.2
Switzerland/Oeschberg,47.126578,7.613264,485,1974,1974-04-16,106,4.11,99.2,88.0,207.5
Switzerland/Oeschberg,47.126578,7.613264,485,1975,1975-05-06,126,3.05,19.1,86.0,207.0
Switzerland/Oeschberg,47.126578,7.613264,485,1976,1976-05-03,124,2.03,32.3,90.0,158.0
Switzerland/Oeschberg,47.126578,7.613264,485,1977,1977-04-26,116,3.43,95.3,90.0,353.9
Switzerland/Oeschberg,47.126578,7.613264,485,1978,1978-05-10,130,1.51,34.3,89.0,336.4
Switzerland/Oeschberg,47.126578,7.613264,485,1979,1979-05-08,128,1.0,28.6,88.0,334.4
Switzerland/Oeschberg,47.126578,7.613264,485,1980,1980-05-11,132,2.62,36.6,83.0,239.5
Switzerland/Oeschberg,47.126578,7.613264,485,1981,1981-04-18,108,1.5,87.5,90.0,289.0
Switzerland/Oeschberg,47.126578,7.613264,485,1982,1982-05-12,132,2.6,29.1,89.0,275.6
Switzerland/Oeschberg,47.126578,7.613264,485,1983,1983-04-29,119,2.51,56.1,81.0,245.9
Switzerland/Oeschberg,47.126578,7.613264,485,1984,1984-05-06,127,1.38,17.6,88.0,261.2
Switzerland/Oeschberg,47.126578,7.613264,485,1985,1985-05-06,126,-0.67,21.6,90.0,205.7
Switzerland/Oeschberg,47.126578,7.613264,485,1986,1986-05-09,129,0.4,25.6,87.0,264.9
Switzerland/Oeschberg,47.126578,7.613264,485,1987,1987-05-03,123,-0.1,23.1,89.0,199.3
Switzerland/Oeschberg,47.126578,7.613264,485,1988,1988-04-29,120,3.08,34.3,86.0,388.6
Switzerland/Oeschberg,47.126578,7.613264,485,1989,1989-04-26,116,4.29,106.7,85.0,166.8
Switzerland/Oeschberg,47.126578,7.613264,485,1990,1990-04-21,111,5.23,162.9,72.0,213.9
Switzerland/Oeschberg,47.126578,7.613264,485,1991,1991-04-27,117,2.97,109.1,82.0,161.6
Switzerland/Oeschberg,47.126578,7.613264,485,1992,1992-04-25,116,2.89,60.0,86.0,190.1
Switzerland/Oeschberg,47.126578,7.613264,485,1993,1993-04-24,114,3.16,81.7,85.0,104.0
Switzerland/Oeschberg,47.126578,7.613264,485,1994,1994-04-25,115,4.92,138.1,81.0,234.6
Switzerland/Oeschberg,47.126578,7.613264,485,1995,1995-04-28,118,3.12,65.9,74.0,385.1
Switzerland/Oeschberg,47.126578,7.613264,485,2007,2007-04-13,103,4.78,102.6,73.0,282.6
Switzerland/Oeschberg,47.126578,7.613264,485,2008,2008-04-19,110,3.72,67.7,83.0,205.5
Switzerland/Oeschberg,47.126578,7.613264,485,2009,2009-04-15,105,1.02,10.4,90.0,240.9
Switzerland/Oeschberg,47.126578,7.613264,485,2010,2010-04-20,110,1.36,64.2,88.0,183.5
Switzerland/Oeschberg,47.126578,7.613264,485,2011,2011-04-07,97,3.43,79.3,89.0,141.6
Switzerland/Oeschberg,47.126578,7.613264,485,2012,2012-04-08,99,2.02,91.3,87.0,162.7
Switzerland/Oeschberg,47.126578,7.613264,485,2013,2013-04-27,117,1.07,21.3,87.0,233.9
Switzerland/Oeschberg,47.126578,7.613264,485,2014,2014-04-06,96,4.45,83.3,88.0,208.2
Switzerland/Oeschberg,47.126578,7.613264,485,2015,2015-04-15,105,2.93,62.1,84.0,214.2
Switzerland/Oeschberg,47.126578,7.613264,485,2016,2016-04-11,102,3.68,62.0,81.0,368.6
Switzerland/Oeschberg,47.126578,7.613264,485,2017,2017-04-03,93,2.08,98.2,87.0,200.2
