location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Olivone,46.527333,8.932936,894,1978,1978-05-09,129,,,,
Switzerland/Olivone,46.527333,8.932936,894,1979,1979-05-13,133,,,,
Switzerland/Olivone,46.527333,8.932936,894,1980,1980-05-03,124,,,,
Switzerland/Olivone,46.527333,8.932936,894,1981,1981-04-14,104,,,,
Switzerland/Olivone,46.527333,8.932936,894,1982,1982-05-02,122,,,,
Switzerland/Olivone,46.527333,8.932936,894,1983,1983-04-12,102,,,,
Switzerland/Olivone,46.527333,8.932936,894,1984,1984-04-27,118,,,,
Switzerland/Olivone,46.527333,8.932936,894,1985,1985-04-30,120,,,,
Switzerland/Olivone,46.527333,8.932936,894,1986,1986-05-13,133,,,,
Switzerland/Olivone,46.527333,8.932936,894,1987,1987-05-02,122,,,,
