location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1953,1953-04-18,108,0.51,34.0,89.0,117.1
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1954,1954-04-22,112,0.94,40.9,76.0,201.0
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1955,1955-04-25,115,2.04,41.7,87.0,421.0
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1956,1956-05-01,122,-0.17,53.2,89.0,176.0
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1957,1957-04-13,103,3.98,116.5,90.0,276.7
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1958,1958-05-04,124,1.44,21.6,85.0,429.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1960,1960-04-15,106,3.0,60.6,87.0,264.9
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1978,1978-04-24,114,2.1,23.1,88.0,409.1
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1979,1979-04-15,105,1.75,23.8,88.0,374.8
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1980,1980-04-25,116,2.85,24.9,82.0,319.1
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1981,1981-04-12,102,1.62,60.8,90.0,340.7
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1982,1982-05-01,121,3.46,28.0,89.0,277.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1983,1983-04-26,116,2.68,49.8,82.0,274.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1984,1984-04-29,120,1.39,11.5,88.0,336.5
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1985,1985-04-24,114,0.19,14.2,90.0,272.6
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1986,1986-05-07,127,1.14,17.6,88.0,333.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1987,1987-04-25,115,0.57,14.7,90.0,244.1
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1988,1988-04-22,113,3.29,39.5,83.0,468.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1989,1989-04-08,98,4.93,106.8,86.0,191.5
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1990,1990-04-01,91,5.62,151.1,72.0,282.9
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1991,1991-04-14,104,3.99,120.2,85.0,213.6
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1992,1992-04-21,112,3.32,67.6,88.0,212.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1993,1993-04-22,112,3.89,84.3,84.0,109.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1994,1994-03-27,86,4.87,126.7,84.0,248.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1995,1995-04-13,103,3.07,51.1,76.0,515.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1996,1996-04-24,115,3.05,48.6,87.0,163.6
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1997,1997-04-17,107,4.99,123.0,84.0,180.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1998,1998-04-26,116,4.58,103.3,77.0,184.9
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,1999,1999-04-29,119,2.66,54.2,89.0,371.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2000,2000-04-21,112,3.53,64.9,86.0,241.6
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2001,2001-04-28,118,4.61,99.4,76.0,471.7
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2002,2002-04-24,114,4.63,112.8,77.0,199.2
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2003,2003-04-24,114,2.98,103.5,84.0,181.2
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2004,2004-04-22,113,2.98,67.5,84.0,322.2
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2005,2005-04-22,112,1.89,91.0,90.0,201.7
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2006,2006-04-28,118,1.83,42.5,90.0,327.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2007,2007-04-18,108,4.99,119.1,67.0,336.5
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2008,2008-04-03,94,3.99,59.5,83.0,251.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2009,2009-04-09,99,1.63,12.1,90.0,260.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2010,2010-04-18,108,1.56,51.9,86.0,195.6
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2011,2011-04-04,94,4.25,100.7,86.0,147.0
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2012,2012-04-04,95,2.86,116.4,87.0,177.0
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2013,2013-04-26,116,1.61,20.2,89.0,273.1
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2014,2014-04-07,97,5.03,108.1,88.0,270.4
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2015,2015-04-13,103,3.15,56.9,84.0,270.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2016,2016-04-20,111,4.0,68.5,76.0,456.6
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2017,2017-04-02,92,3.34,116.0,87.0,219.1
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2018,2018-04-17,107,2.95,38.7,84.0,389.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2019,2019-04-07,97,3.69,71.8,76.0,236.2
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2020,2020-04-05,96,4.63,97.9,78.0,261.0
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2021,2021-04-02,92,3.9,99.5,76.0,300.3
Switzerland/Orbe / Bochuz,46.722633,6.536061,485,2022,2022-04-09,99,4.26,103.3,82.0,161.1
