location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Orvin,47.157753,7.214464,700,1951,1951-04-27,117,0.89,13.6,90.0,290.0
Switzerland/Orvin,47.157753,7.214464,700,1952,1952-04-18,109,-0.11,17.3,90.0,312.3
Switzerland/Orvin,47.157753,7.214464,700,1953,1953-04-20,110,-1.17,36.8,89.0,129.1
Switzerland/Orvin,47.157753,7.214464,700,1954,1954-05-04,124,-0.68,31.2,89.0,202.6
Switzerland/Orvin,47.157753,7.214464,700,1955,1955-04-29,119,0.34,34.8,89.0,386.8
Switzerland/Orvin,47.157753,7.214464,700,1956,1956-05-08,129,-1.6,34.2,90.0,170.6
Switzerland/Orvin,47.157753,7.214464,700,1957,1957-04-22,112,2.47,90.8,89.0,294.1
Switzerland/Orvin,47.157753,7.214464,700,1958,1958-05-06,126,0.0,22.2,85.0,388.5
Switzerland/Orvin,47.157753,7.214464,700,1959,1959-04-20,110,2.2,61.9,90.0,273.8
Switzerland/Orvin,47.157753,7.214464,700,1960,1960-04-22,113,1.62,41.2,88.0,287.1
Switzerland/Orvin,47.157753,7.214464,700,1961,1961-04-06,96,2.76,58.8,87.0,225.7
Switzerland/Orvin,47.157753,7.214464,700,1962,1962-05-08,128,0.08,8.1,83.0,358.3
Switzerland/Orvin,47.157753,7.214464,700,1963,1963-05-07,127,-3.69,0.0,90.0,223.1
Switzerland/Orvin,47.157753,7.214464,700,1964,1964-05-12,133,0.48,11.0,89.0,262.6
Switzerland/Orvin,47.157753,7.214464,700,1965,1965-05-10,130,-0.82,14.1,90.0,273.9
Switzerland/Orvin,47.157753,7.214464,700,1966,1966-05-02,122,1.23,18.4,87.0,319.5
Switzerland/Orvin,47.157753,7.214464,700,1967,1967-05-01,121,1.69,34.7,89.0,267.8
Switzerland/Orvin,47.157753,7.214464,700,1969,1969-04-22,112,0.23,13.8,90.0,263.5
Switzerland/Orvin,47.157753,7.214464,700,1970,1970-05-20,140,-0.72,0.0,90.0,481.1
Switzerland/Orvin,47.157753,7.214464,700,1971,1971-04-22,112,-1.06,0.7,90.0,210.3
Switzerland/Orvin,47.157753,7.214464,700,1973,1973-05-12,132,-0.68,8.2,90.0,183.6
Switzerland/Orvin,47.157753,7.214464,700,1974,1974-04-11,101,3.38,80.0,89.0,257.1
Switzerland/Orvin,47.157753,7.214464,700,1975,1975-05-08,128,2.37,6.3,88.0,238.7
Switzerland/Orvin,47.157753,7.214464,700,1976,1976-04-21,112,1.25,16.5,90.0,163.5
Switzerland/Orvin,47.157753,7.214464,700,1977,1977-04-27,117,2.84,69.7,90.0,407.4
Switzerland/Orvin,47.157753,7.214464,700,1978,1978-04-23,113,0.82,22.5,90.0,384.9
Switzerland/Orvin,47.157753,7.214464,700,1979,1979-05-15,135,0.41,14.7,90.0,383.5
Switzerland/Orvin,47.157753,7.214464,700,1980,1980-05-09,130,1.88,15.3,88.0,276.8
Switzerland/Orvin,47.157753,7.214464,700,1981,1981-04-14,104,0.74,59.9,90.0,338.8
Switzerland/Orvin,47.157753,7.214464,700,1982,1982-05-10,130,2.02,16.0,90.0,316.1
Switzerland/Orvin,47.157753,7.214464,700,1983,1983-04-28,118,1.65,28.6,85.0,282.8
Switzerland/Orvin,47.157753,7.214464,700,1984,1984-05-08,129,0.51,5.6,89.0,328.2
Switzerland/Orvin,47.157753,7.214464,700,1985,1985-05-12,132,-1.36,8.0,90.0,253.0
Switzerland/Orvin,47.157753,7.214464,700,1986,1986-05-16,136,-0.53,8.9,90.0,325.5
Switzerland/Orvin,47.157753,7.214464,700,1987,1987-05-10,130,-0.8,13.7,90.0,231.9
Switzerland/Orvin,47.157753,7.214464,700,1988,1988-05-05,126,2.31,16.6,85.0,453.1
Switzerland/Orvin,47.157753,7.214464,700,1989,1989-04-16,106,3.51,80.4,87.0,195.2
Switzerland/Orvin,47.157753,7.214464,700,1990,1990-04-15,105,4.31,120.4,76.0,244.6
Switzerland/Orvin,47.157753,7.214464,700,1992,1992-04-28,119,2.11,35.8,90.0,208.3
Switzerland/Orvin,47.157753,7.214464,700,1993,1993-05-03,123,2.46,60.7,85.0,124.5
Switzerland/Orvin,47.157753,7.214464,700,1994,1994-04-23,113,3.99,97.3,84.0,262.0
Switzerland/Orvin,47.157753,7.214464,700,1995,1995-05-02,122,2.25,31.7,83.0,463.0
Switzerland/Orvin,47.157753,7.214464,700,1996,1996-04-28,119,1.27,29.3,89.0,155.9
Switzerland/Orvin,47.157753,7.214464,700,1997,1997-04-10,100,3.4,81.2,86.0,163.5
Switzerland/Orvin,47.157753,7.214464,700,1998,1998-04-27,117,3.22,61.7,84.0,196.9
Switzerland/Orvin,47.157753,7.214464,700,1999,1999-04-27,117,1.88,41.2,90.0,359.8
Switzerland/Orvin,47.157753,7.214464,700,2001,2001-04-28,118,3.39,62.8,86.0,466.1
Switzerland/Orvin,47.157753,7.214464,700,2002,2002-04-22,112,3.56,85.9,84.0,212.3
Switzerland/Orvin,47.157753,7.214464,700,2003,2003-04-22,112,1.71,73.0,87.0,164.5
Switzerland/Orvin,47.157753,7.214464,700,2004,2004-04-26,117,1.89,47.5,89.0,323.5
Switzerland/Orvin,47.157753,7.214464,700,2005,2005-04-29,119,0.83,70.0,90.0,227.1
Switzerland/Orvin,47.157753,7.214464,700,2006,2006-05-02,122,0.31,24.7,90.0,326.1
Switzerland/Orvin,47.157753,7.214464,700,2007,2007-04-17,107,4.03,67.6,80.0,335.8
Switzerland/Orvin,47.157753,7.214464,700,2008,2008-05-04,125,2.85,37.3,88.0,235.7
Switzerland/Orvin,47.157753,7.214464,700,2009,2009-04-21,111,-0.27,1.7,90.0,272.4
Switzerland/Orvin,47.157753,7.214464,700,2010,2010-04-28,118,0.26,43.2,90.0,211.1
Switzerland/Orvin,47.157753,7.214464,700,2012,2012-04-19,110,1.59,81.9,87.0,174.7
Switzerland/Orvin,47.157753,7.214464,700,2013,2013-05-05,125,0.39,8.1,88.0,271.3
Switzerland/Orvin,47.157753,7.214464,700,2014,2014-04-08,98,3.69,69.2,90.0,240.7
Switzerland/Orvin,47.157753,7.214464,700,2015,2015-04-20,110,2.06,37.4,88.0,254.7
Switzerland/Orvin,47.157753,7.214464,700,2016,2016-04-26,117,2.82,35.0,87.0,417.7
Switzerland/Orvin,47.157753,7.214464,700,2017,2017-04-09,99,2.56,94.5,89.0,218.1
Switzerland/Orvin,47.157753,7.214464,700,2022,2022-04-13,103,3.61,89.6,84.0,193.0
Switzerland/Orvin,47.157753,7.214464,700,2023,2023-04-27,117,3.47,84.1,80.0,233.7
