location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Posieux,46.761672,7.098294,680,1951,1951-04-26,116,-0.02,3.6,90.0,266.0
Switzerland/Posieux,46.761672,7.098294,680,1959,1959-04-13,103,1.18,27.8,90.0,235.5
Switzerland/Posieux,46.761672,7.098294,680,1969,1969-05-07,127,-0.55,5.3,90.0,209.7
Switzerland/Posieux,46.761672,7.098294,680,1970,1970-05-09,129,-0.73,0.0,90.0,468.4
Switzerland/Posieux,46.761672,7.098294,680,1971,1971-05-03,123,-1.88,0.3,90.0,198.0
Switzerland/Posieux,46.761672,7.098294,680,1972,1972-04-18,109,1.64,29.6,90.0,140.8
Switzerland/Posieux,46.761672,7.098294,680,1973,1973-05-06,126,-0.97,2.2,90.0,177.3
Switzerland/Posieux,46.761672,7.098294,680,1974,1974-04-11,101,2.59,56.7,89.0,201.2
Switzerland/Posieux,46.761672,7.098294,680,1975,1975-05-10,130,1.65,2.4,88.0,207.0
Switzerland/Posieux,46.761672,7.098294,680,1976,1976-05-02,123,0.74,10.0,90.0,152.1
Switzerland/Posieux,46.761672,7.098294,680,1977,1977-04-22,112,2.1,41.0,90.0,357.7
Switzerland/Posieux,46.761672,7.098294,680,1978,1978-05-10,130,0.39,13.5,90.0,370.7
Switzerland/Posieux,46.761672,7.098294,680,1979,1979-05-20,140,-0.26,9.2,90.0,333.3
Switzerland/Posieux,46.761672,7.098294,680,1980,1980-05-08,129,1.3,13.6,88.0,267.9
Switzerland/Posieux,46.761672,7.098294,680,1981,1981-04-12,102,0.16,40.3,90.0,318.8
Switzerland/Posieux,46.761672,7.098294,680,1982,1982-05-06,126,1.38,5.8,90.0,286.3
Switzerland/Posieux,46.761672,7.098294,680,1983,1983-05-06,126,1.08,18.1,86.0,265.5
Switzerland/Posieux,46.761672,7.098294,680,1984,1984-05-09,130,-0.19,4.4,89.0,286.6
Switzerland/Posieux,46.761672,7.098294,680,1985,1985-05-11,131,-1.89,4.4,90.0,244.0
Switzerland/Posieux,46.761672,7.098294,680,1986,1986-05-11,131,-0.74,5.7,90.0,284.9
Switzerland/Posieux,46.761672,7.098294,680,1987,1987-04-29,119,-1.13,7.9,90.0,233.7
Switzerland/Posieux,46.761672,7.098294,680,1988,1988-04-30,121,1.63,13.3,87.0,426.4
Switzerland/Posieux,46.761672,7.098294,680,1989,1989-04-14,104,2.65,53.0,87.0,173.5
Switzerland/Posieux,46.761672,7.098294,680,1990,1990-04-28,118,3.39,80.1,82.0,262.8
Switzerland/Posieux,46.761672,7.098294,680,1991,1991-05-02,122,1.63,50.1,90.0,192.8
Switzerland/Posieux,46.761672,7.098294,680,1992,1992-04-26,117,1.43,20.4,90.0,209.8
Switzerland/Posieux,46.761672,7.098294,680,1993,1993-04-26,116,1.72,39.9,87.0,133.8
Switzerland/Posieux,46.761672,7.098294,680,1994,1994-04-21,111,3.42,77.4,88.0,234.8
Switzerland/Posieux,46.761672,7.098294,680,1995,1995-04-25,115,1.33,14.2,89.0,457.8
Switzerland/Posieux,46.761672,7.098294,680,1996,1996-04-26,117,0.72,19.8,90.0,148.0
Switzerland/Posieux,46.761672,7.098294,680,1999,1999-05-02,122,0.97,20.6,90.0,343.8
Switzerland/Posieux,46.761672,7.098294,680,2000,2000-04-27,118,1.74,26.8,90.0,242.1
Switzerland/Posieux,46.761672,7.098294,680,2001,2001-05-03,123,2.68,49.2,89.0,430.1
Switzerland/Posieux,46.761672,7.098294,680,2002,2002-04-25,115,2.57,48.9,88.0,189.9
Switzerland/Posieux,46.761672,7.098294,680,2003,2003-04-19,109,0.83,46.0,87.0,163.6
Switzerland/Posieux,46.761672,7.098294,680,2004,2004-04-29,120,1.19,29.3,89.0,307.1
Switzerland/Posieux,46.761672,7.098294,680,2005,2005-04-26,116,-0.08,50.0,90.0,208.2
Switzerland/Posieux,46.761672,7.098294,680,2006,2006-04-29,119,-0.18,24.7,90.0,289.3
Switzerland/Posieux,46.761672,7.098294,680,2007,2007-04-14,104,3.18,35.7,82.0,293.5
Switzerland/Posieux,46.761672,7.098294,680,2008,2008-04-28,119,2.1,24.9,90.0,218.9
Switzerland/Posieux,46.761672,7.098294,680,2009,2009-04-20,110,-0.55,1.3,90.0,264.3
Switzerland/Posieux,46.761672,7.098294,680,2010,2010-04-27,117,-0.68,26.3,90.0,161.0
Switzerland/Posieux,46.761672,7.098294,680,2011,2011-04-08,98,1.88,40.1,90.0,148.8
Switzerland/Posieux,46.761672,7.098294,680,2013,2013-04-28,118,-0.12,3.8,89.0,244.7
Switzerland/Posieux,46.761672,7.098294,680,2015,2015-04-19,109,1.31,27.1,88.0,255.8
Switzerland/Posieux,46.761672,7.098294,680,2016,2016-04-19,110,2.13,26.4,89.0,391.5
Switzerland/Posieux,46.761672,7.098294,680,2017,2017-04-05,95,2.09,90.6,87.0,246.3
Switzerland/Posieux,46.761672,7.098294,680,2018,2018-04-18,108,1.77,18.2,88.0,367.0
Switzerland/Posieux,46.761672,7.098294,680,2019,2019-04-18,108,2.43,40.8,82.0,230.5
Switzerland/Posieux,46.761672,7.098294,680,2020,2020-04-08,99,3.82,80.6,79.0,240.5
Switzerland/Posieux,46.761672,7.098294,680,2021,2021-04-16,106,2.44,51.2,81.0,299.9
Switzerland/Posieux,46.761672,7.098294,680,2022,2022-04-16,106,3.1,70.9,82.0,177.4
Switzerland/Posieux,46.761672,7.098294,680,2023,2023-04-14,104,3.12,89.7,78.0,241.0
