location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Prato-Sornico,46.394025,8.655608,750,1957,1957-04-11,101,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1958,1958-04-30,120,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1959,1959-04-12,102,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1960,1960-04-24,115,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1961,1961-04-01,91,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1962,1962-05-10,130,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1963,1963-04-23,113,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1964,1964-04-21,112,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1965,1965-04-10,100,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1966,1966-04-01,91,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1967,1967-04-03,93,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1968,1968-04-10,101,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1969,1969-04-23,113,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1970,1970-05-01,121,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1971,1971-04-10,100,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1972,1972-04-08,99,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1973,1973-05-04,124,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1975,1975-04-26,116,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1976,1976-04-19,110,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1977,1977-04-19,109,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1978,1978-05-10,130,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1979,1979-05-02,122,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1980,1980-04-25,116,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1981,1981-04-07,97,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1982,1982-04-26,116,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1983,1983-04-25,115,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1984,1984-04-27,118,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1985,1985-04-26,116,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1986,1986-05-10,130,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1987,1987-04-27,117,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1988,1988-05-03,124,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1989,1989-04-10,100,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1990,1990-03-24,83,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1991,1991-04-16,106,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1992,1992-04-14,105,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1993,1993-04-15,105,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1994,1994-04-14,104,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1995,1995-04-14,104,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1996,1996-04-23,114,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1997,1997-04-04,94,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1998,1998-04-07,97,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,1999,1999-04-08,98,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2000,2000-04-07,98,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2001,2001-04-10,100,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2002,2002-04-10,100,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2003,2003-04-15,105,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2004,2004-04-21,112,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2005,2005-04-20,110,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2006,2006-04-25,115,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2007,2007-04-09,99,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2008,2008-04-15,106,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2009,2009-04-12,102,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2010,2010-04-28,118,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2011,2011-04-11,101,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2012,2012-03-31,91,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2013,2013-04-17,107,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2014,2014-04-22,112,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2015,2015-04-20,110,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2016,2016-04-20,111,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2017,2017-04-16,106,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2021,2021-04-08,98,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2022,2022-04-08,98,,,,
Switzerland/Prato-Sornico,46.394025,8.655608,750,2023,2023-04-04,94,,,,
