location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Rafz,47.620414,8.542733,515,1952,1952-04-17,108,-0.51,18.3,90.0,257.9
Switzerland/Rafz,47.620414,8.542733,515,1953,1953-04-18,108,-1.41,30.5,90.0,110.9
Switzerland/Rafz,47.620414,8.542733,515,1954,1954-05-01,121,-0.72,26.6,90.0,180.6
Switzerland/Rafz,47.620414,8.542733,515,1955,1955-04-29,119,-0.41,35.9,89.0,322.4
Switzerland/Rafz,47.620414,8.542733,515,1956,1956-05-07,128,-2.14,26.7,89.0,175.6
Switzerland/Rafz,47.620414,8.542733,515,1958,1958-05-05,125,-0.12,22.1,87.0,351.0
Switzerland/Rafz,47.620414,8.542733,515,1959,1959-04-12,102,0.91,43.2,90.0,225.2
Switzerland/Rafz,47.620414,8.542733,515,1960,1960-04-19,110,1.18,43.6,89.0,221.9
Switzerland/Rafz,47.620414,8.542733,515,1961,1961-04-09,99,2.38,57.1,87.0,218.9
Switzerland/Rafz,47.620414,8.542733,515,1962,1962-04-29,119,-0.11,8.6,84.0,287.2
Switzerland/Rafz,47.620414,8.542733,515,1963,1963-04-30,120,-3.96,0.9,90.0,186.3
Switzerland/Rafz,47.620414,8.542733,515,1964,1964-04-25,116,-0.13,6.2,90.0,209.2
Switzerland/Rafz,47.620414,8.542733,515,1965,1965-05-08,128,-1.02,20.8,90.0,229.9
Switzerland/Rafz,47.620414,8.542733,515,1966,1966-04-29,119,0.92,18.6,87.0,280.1
Switzerland/Rafz,47.620414,8.542733,515,1967,1967-04-25,115,1.68,34.4,89.0,259.1
Switzerland/Rafz,47.620414,8.542733,515,1968,1968-04-19,110,0.44,44.7,89.0,284.0
Switzerland/Rafz,47.620414,8.542733,515,1969,1969-04-26,116,-0.04,12.9,90.0,197.1
Switzerland/Rafz,47.620414,8.542733,515,1970,1970-05-08,128,-1.02,3.1,90.0,396.5
Switzerland/Rafz,47.620414,8.542733,515,1971,1971-04-19,109,-1.35,0.5,90.0,172.5
Switzerland/Rafz,47.620414,8.542733,515,1972,1972-04-10,101,2.24,50.1,90.0,109.9
Switzerland/Rafz,47.620414,8.542733,515,1973,1973-05-02,122,-0.26,16.3,90.0,157.1
Switzerland/Rafz,47.620414,8.542733,515,1974,1974-04-06,96,3.5,90.1,88.0,195.4
Switzerland/Rafz,47.620414,8.542733,515,1975,1975-04-23,113,2.16,10.3,88.0,189.8
Switzerland/Rafz,47.620414,8.542733,515,1976,1976-04-18,109,1.0,14.2,90.0,176.1
Switzerland/Rafz,47.620414,8.542733,515,1978,1978-04-29,119,0.16,22.8,89.0,338.3
Switzerland/Rafz,47.620414,8.542733,515,1979,1979-04-26,116,0.23,19.5,90.0,283.9
Switzerland/Rafz,47.620414,8.542733,515,1980,1980-04-23,114,1.27,19.6,87.0,245.1
Switzerland/Rafz,47.620414,8.542733,515,1981,1981-04-10,100,0.47,81.8,90.0,276.2
Switzerland/Rafz,47.620414,8.542733,515,1982,1982-05-05,125,0.97,14.1,90.0,268.2
Switzerland/Rafz,47.620414,8.542733,515,1983,1983-04-23,113,1.52,36.7,83.0,235.8
Switzerland/Rafz,47.620414,8.542733,515,1984,1984-05-01,122,0.21,7.7,88.0,243.6
Switzerland/Rafz,47.620414,8.542733,515,1985,1985-05-05,125,-1.58,11.8,90.0,200.4
Switzerland/Rafz,47.620414,8.542733,515,1986,1986-05-06,126,-0.8,15.5,89.0,269.9
Switzerland/Rafz,47.620414,8.542733,515,1987,1987-04-28,118,-1.35,18.8,89.0,222.2
Switzerland/Rafz,47.620414,8.542733,515,1988,1988-04-26,117,2.11,21.7,85.0,415.5
Switzerland/Rafz,47.620414,8.542733,515,1989,1989-04-12,102,3.57,86.9,87.0,163.4
Switzerland/Rafz,47.620414,8.542733,515,1990,1990-04-11,101,4.01,118.1,79.0,248.6
Switzerland/Rafz,47.620414,8.542733,515,1991,1991-04-16,106,1.87,74.5,87.0,149.4
Switzerland/Rafz,47.620414,8.542733,515,1992,1992-04-25,116,1.9,29.7,89.0,208.3
Switzerland/Rafz,47.620414,8.542733,515,1993,1993-04-22,112,2.18,55.0,87.0,122.5
Switzerland/Rafz,47.620414,8.542733,515,1994,1994-04-11,101,3.82,97.6,84.0,243.0
Switzerland/Rafz,47.620414,8.542733,515,1995,1995-04-23,113,2.23,33.5,84.0,384.4
Switzerland/Rafz,47.620414,8.542733,515,1996,1996-04-23,114,0.55,23.8,89.0,121.4
Switzerland/Rafz,47.620414,8.542733,515,1997,1997-04-07,97,2.66,76.3,86.0,139.7
Switzerland/Rafz,47.620414,8.542733,515,1998,1998-04-16,106,2.93,54.9,85.0,175.0
Switzerland/Rafz,47.620414,8.542733,515,1999,1999-04-25,115,1.73,43.4,89.0,341.1
Switzerland/Rafz,47.620414,8.542733,515,2000,2000-04-16,107,2.6,39.4,87.0,253.2
Switzerland/Rafz,47.620414,8.542733,515,2001,2001-04-28,118,2.96,61.5,86.0,363.3
Switzerland/Rafz,47.620414,8.542733,515,2002,2002-04-13,103,3.57,94.5,83.0,194.2
Switzerland/Rafz,47.620414,8.542733,515,2003,2003-04-19,109,1.04,62.2,87.0,148.8
