location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Rancate,45.870208,8.967242,353,2008,2008-03-20,80,,,,
Switzerland/Rancate,45.870208,8.967242,353,2009,2009-03-28,87,,,,
Switzerland/Rancate,45.870208,8.967242,353,2010,2010-04-20,110,,,,
Switzerland/Rancate,45.870208,8.967242,353,2012,2012-03-29,89,,,,
Switzerland/Rancate,45.870208,8.967242,353,2014,2014-03-20,79,,,,
Switzerland/Rancate,45.870208,8.967242,353,2015,2015-04-05,95,,,,
Switzerland/Rancate,45.870208,8.967242,353,2016,2016-03-26,86,,,,
Switzerland/Rancate,45.870208,8.967242,353,2017,2017-03-27,86,,,,
Switzerland/Rancate,45.870208,8.967242,353,2018,2018-04-06,96,,,,
Switzerland/Rancate,45.870208,8.967242,353,2019,2019-03-20,79,,,,
Switzerland/Rancate,45.870208,8.967242,353,2020,2020-04-10,101,,,,
Switzerland/Rancate,45.870208,8.967242,353,2021,2021-03-20,79,,,,
Switzerland/Rancate,45.870208,8.967242,353,2022,2022-03-30,89,,,,
Switzerland/Rancate,45.870208,8.967242,353,2023,2023-03-07,66,,,,
