location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1992,1992-04-24,115,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1993,1993-04-21,111,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1994,1994-04-13,103,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1995,1995-04-23,113,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1996,1996-04-25,116,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1997,1997-04-08,98,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1998,1998-04-25,115,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,1999,1999-04-30,120,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2000,2000-04-25,116,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2001,2001-05-02,122,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2002,2002-04-27,117,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2003,2003-04-22,112,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2004,2004-04-26,117,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2005,2005-04-30,120,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2006,2006-05-04,124,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2007,2007-04-15,105,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2008,2008-05-04,125,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2009,2009-04-18,108,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2010,2010-04-25,115,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2011,2011-04-11,101,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2012,2012-04-21,112,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2013,2013-05-02,122,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2014,2014-04-12,102,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2015,2015-04-21,111,,,,
"Switzerland/Raperswilen, TG",47.632486,9.048642,595,2016,2016-04-20,111,,,,
