location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Romanshorn,47.563608,9.376172,405,1978,1978-04-25,115,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1979,1979-04-23,113,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1980,1980-04-28,119,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1981,1981-04-09,99,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1982,1982-04-24,114,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1983,1983-04-19,109,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1984,1984-04-28,119,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1985,1985-04-24,114,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1986,1986-05-03,123,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1987,1987-04-27,117,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1988,1988-04-27,118,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1989,1989-04-12,102,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1990,1990-04-12,102,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1991,1991-04-19,109,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1992,1992-04-29,120,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1993,1993-04-20,110,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1994,1994-04-03,93,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1995,1995-04-24,114,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1996,1996-04-29,120,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1997,1997-04-11,101,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1998,1998-04-21,111,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,1999,1999-04-24,114,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,2000,2000-04-25,116,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,2001,2001-04-26,116,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,2002,2002-04-15,105,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,2003,2003-04-18,108,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,2004,2004-04-29,120,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,2005,2005-04-29,119,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,2007,2007-04-11,101,,,,
Switzerland/Romanshorn,47.563608,9.376172,405,2008,2008-04-24,115,,,,
