location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Rorschach,47.472492,9.494931,450,1977,1977-03-25,84,2.14,50.3,90.0,268.1
Switzerland/Rorschach,47.472492,9.494931,450,1978,1978-04-28,118,0.21,5.6,90.0,323.8
Switzerland/Rorschach,47.472492,9.494931,450,1979,1979-04-18,108,0.01,17.6,90.0,259.4
Switzerland/Rorschach,47.472492,9.494931,450,1980,1980-04-20,111,0.66,13.5,89.0,214.7
Switzerland/Rorschach,47.472492,9.494931,450,1981,1981-04-10,100,-0.26,35.1,90.0,268.7
Switzerland/Rorschach,47.472492,9.494931,450,1982,1982-05-02,122,0.49,8.0,90.0,249.8
Switzerland/Rorschach,47.472492,9.494931,450,1983,1983-04-18,108,1.38,24.0,88.0,242.6
Switzerland/Rorschach,47.472492,9.494931,450,1984,1984-04-30,121,-0.22,3.1,90.0,231.7
Switzerland/Rorschach,47.472492,9.494931,450,1985,1985-04-20,110,-1.76,4.0,90.0,211.2
Switzerland/Rorschach,47.472492,9.494931,450,1986,1986-05-02,122,-0.79,2.6,90.0,240.8
Switzerland/Rorschach,47.472492,9.494931,450,1987,1987-04-22,112,-1.66,3.5,90.0,240.6
Switzerland/Rorschach,47.472492,9.494931,450,1988,1988-04-20,111,1.74,6.8,90.0,416.3
Switzerland/Rorschach,47.472492,9.494931,450,1989,1989-04-07,97,3.73,78.3,89.0,153.4
Switzerland/Rorschach,47.472492,9.494931,450,1990,1990-03-24,83,3.65,97.6,83.0,238.4
Switzerland/Rorschach,47.472492,9.494931,450,1991,1991-04-14,104,1.22,58.5,90.0,141.1
Switzerland/Rorschach,47.472492,9.494931,450,1992,1992-04-24,115,1.65,26.3,90.0,248.5
Switzerland/Rorschach,47.472492,9.494931,450,1993,1993-04-22,112,1.63,28.5,89.0,152.0
Switzerland/Rorschach,47.472492,9.494931,450,1994,1994-03-29,88,3.4,88.7,87.0,253.6
Switzerland/Rorschach,47.472492,9.494931,450,1995,1995-04-10,100,1.55,13.2,89.0,338.2
Switzerland/Rorschach,47.472492,9.494931,450,1996,1996-04-25,116,0.14,16.4,90.0,124.6
Switzerland/Rorschach,47.472492,9.494931,450,1997,1997-04-08,98,2.41,54.9,90.0,160.1
Switzerland/Rorschach,47.472492,9.494931,450,1998,1998-04-14,104,2.67,46.3,90.0,181.6
Switzerland/Rorschach,47.472492,9.494931,450,1999,1999-04-17,107,1.34,27.9,90.0,345.4
Switzerland/Rorschach,47.472492,9.494931,450,2000,2000-04-16,107,1.67,24.9,90.0,334.5
Switzerland/Rorschach,47.472492,9.494931,450,2001,2001-04-19,109,2.98,55.7,88.0,329.6
Switzerland/Rorschach,47.472492,9.494931,450,2002,2002-04-02,92,2.8,68.0,89.0,207.3
Switzerland/Rorschach,47.472492,9.494931,450,2003,2003-04-14,104,0.68,43.9,88.0,156.4
Switzerland/Rorschach,47.472492,9.494931,450,2004,2004-04-19,110,0.94,30.1,90.0,230.7
Switzerland/Rorschach,47.472492,9.494931,450,2005,2005-04-15,105,0.19,53.2,90.0,234.7
Switzerland/Rorschach,47.472492,9.494931,450,2006,2006-04-26,116,-0.83,10.0,90.0,234.7
Switzerland/Rorschach,47.472492,9.494931,450,2007,2007-04-12,102,3.95,53.7,83.0,241.9
Switzerland/Rorschach,47.472492,9.494931,450,2008,2008-04-13,104,2.89,35.4,89.0,205.2
Switzerland/Rorschach,47.472492,9.494931,450,2009,2009-04-12,102,0.43,0.7,90.0,253.5
Switzerland/Rorschach,47.472492,9.494931,450,2010,2010-04-14,104,-0.06,31.3,90.0,159.7
Switzerland/Rorschach,47.472492,9.494931,450,2011,2011-04-07,97,2.41,51.8,90.0,127.3
Switzerland/Rorschach,47.472492,9.494931,450,2012,2012-04-07,98,0.8,39.2,89.0,211.3
Switzerland/Rorschach,47.472492,9.494931,450,2013,2013-04-23,113,0.27,5.4,90.0,235.2
Switzerland/Rorschach,47.472492,9.494931,450,2014,2014-04-04,94,4.37,74.6,89.0,161.8
Switzerland/Rorschach,47.472492,9.494931,450,2015,2015-04-20,110,1.91,37.2,88.0,235.5
Switzerland/Rorschach,47.472492,9.494931,450,2016,2016-04-11,102,2.82,31.4,86.0,314.0
Switzerland/Rorschach,47.472492,9.494931,450,2017,2017-04-01,91,1.64,86.6,88.0,291.4
Switzerland/Rorschach,47.472492,9.494931,450,2018,2018-04-14,104,2.24,28.4,89.0,310.8
Switzerland/Rorschach,47.472492,9.494931,450,2019,2019-04-07,97,2.86,55.0,83.0,283.0
Switzerland/Rorschach,47.472492,9.494931,450,2020,2020-04-06,97,3.93,79.4,80.0,240.5
Switzerland/Rorschach,47.472492,9.494931,450,2022,2022-04-07,97,3.41,80.3,86.0,199.8
Switzerland/Rorschach,47.472492,9.494931,450,2023,2023-04-06,96,3.87,96.8,81.0,303.4
