location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Sagno TI,45.857811,9.033789,670,1987,1987-05-02,122,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1988,1988-04-11,102,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1989,1989-03-25,84,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1990,1990-03-14,73,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1991,1991-04-05,95,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1992,1992-04-02,93,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1993,1993-03-14,73,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1994,1994-03-22,81,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1995,1995-04-05,95,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1996,1996-04-23,114,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1997,1997-03-20,79,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1998,1998-03-31,90,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,1999,1999-04-10,100,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2000,2000-04-09,100,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2001,2001-04-05,95,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2002,2002-04-02,92,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2003,2003-04-16,106,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2004,2004-04-20,111,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2005,2005-04-15,105,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2006,2006-04-20,110,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2007,2007-04-08,98,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2009,2009-04-12,102,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2010,2010-04-16,106,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2011,2011-04-04,94,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2012,2012-04-02,93,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2013,2013-04-19,109,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2014,2014-04-11,101,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2015,2015-04-14,104,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2016,2016-04-12,103,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2017,2017-04-01,91,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2018,2018-04-18,108,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2019,2019-03-29,88,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2020,2020-04-04,95,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2021,2021-03-25,84,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2022,2022-04-09,99,,,,
Switzerland/Sagno TI,45.857811,9.033789,670,2023,2023-04-03,93,,,,
