location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Sargans II,47.050589,9.439256,480,1956,1956-04-22,113,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1957,1957-03-27,86,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1958,1958-05-08,128,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1959,1959-04-04,94,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1960,1960-04-04,95,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1961,1961-04-08,98,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1962,1962-04-28,118,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1963,1963-04-25,115,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1964,1964-04-22,113,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1965,1965-05-02,122,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1966,1966-04-18,108,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1967,1967-04-28,118,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1968,1968-04-20,111,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1969,1969-04-27,117,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1970,1970-05-18,138,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1971,1971-04-18,108,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1972,1972-03-30,90,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1973,1973-05-03,123,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1974,1974-04-01,91,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1975,1975-04-28,118,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1976,1976-04-18,109,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1977,1977-03-25,84,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1978,1978-04-25,115,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1979,1979-04-20,110,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1980,1980-05-01,122,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1981,1981-04-29,119,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1982,1982-04-22,112,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1983,1983-04-20,110,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1984,1984-04-24,115,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1985,1985-04-22,112,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1986,1986-05-03,123,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1987,1987-04-25,115,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1988,1988-05-02,123,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1989,1989-03-31,90,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1990,1990-03-20,79,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1991,1991-04-08,98,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1992,1992-04-24,115,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1993,1993-04-16,106,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1994,1994-03-29,88,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1995,1995-04-20,110,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1996,1996-04-25,116,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1997,1997-04-12,102,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1998,1998-04-18,108,,,,
Switzerland/Sargans II,47.050589,9.439256,480,1999,1999-04-14,104,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2000,2000-04-20,111,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2001,2001-04-25,115,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2002,2002-04-06,96,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2003,2003-04-15,105,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2004,2004-04-16,107,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2005,2005-04-11,101,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2006,2006-04-26,116,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2007,2007-04-14,104,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2008,2008-04-26,117,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2009,2009-04-20,110,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2010,2010-04-16,106,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2011,2011-04-10,100,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2012,2012-04-10,101,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2013,2013-04-23,113,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2014,2014-04-01,91,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2015,2015-04-20,110,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2016,2016-04-11,102,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2017,2017-04-08,98,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2018,2018-04-15,105,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2019,2019-04-20,110,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2020,2020-04-10,101,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2021,2021-04-08,98,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2022,2022-04-09,99,,,,
Switzerland/Sargans II,47.050589,9.439256,480,2023,2023-04-18,108,,,,
