location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Sarnen,46.894217,8.252236,500,1954,1954-04-25,115,0.34,17.5,85.0,220.1
Switzerland/Sarnen,46.894217,8.252236,500,1955,1955-04-24,114,1.5,22.6,90.0,370.3
Switzerland/Sarnen,46.894217,8.252236,500,1956,1956-05-02,123,-1.36,17.9,90.0,207.6
Switzerland/Sarnen,46.894217,8.252236,500,1957,1957-04-05,95,3.11,74.6,89.0,261.9
Switzerland/Sarnen,46.894217,8.252236,500,1958,1958-05-02,122,0.92,16.1,90.0,401.1
Switzerland/Sarnen,46.894217,8.252236,500,1959,1959-04-12,102,2.74,42.1,90.0,259.9
Switzerland/Sarnen,46.894217,8.252236,500,1960,1960-04-10,101,2.3,39.9,90.0,242.0
Switzerland/Sarnen,46.894217,8.252236,500,1961,1961-04-04,94,3.02,34.2,90.0,267.0
Switzerland/Sarnen,46.894217,8.252236,500,1962,1962-04-26,116,0.36,3.9,84.0,356.2
Switzerland/Sarnen,46.894217,8.252236,500,1963,1963-04-28,118,-2.16,2.7,90.0,250.5
Switzerland/Sarnen,46.894217,8.252236,500,1965,1965-05-04,124,0.7,23.4,89.0,259.9
Switzerland/Sarnen,46.894217,8.252236,500,1966,1966-04-14,104,1.71,16.3,88.0,345.2
Switzerland/Sarnen,46.894217,8.252236,500,1967,1967-04-16,106,1.84,21.2,90.0,328.1
Switzerland/Sarnen,46.894217,8.252236,500,1968,1968-04-17,108,1.62,22.6,90.0,393.1
Switzerland/Sarnen,46.894217,8.252236,500,1969,1969-04-28,118,1.34,9.6,90.0,220.7
Switzerland/Sarnen,46.894217,8.252236,500,1970,1970-05-06,126,0.87,8.3,90.0,468.0
Switzerland/Sarnen,46.894217,8.252236,500,1971,1971-04-16,106,-0.08,2.9,89.0,226.2
Switzerland/Sarnen,46.894217,8.252236,500,1972,1972-04-07,98,3.63,41.2,88.0,140.3
Switzerland/Sarnen,46.894217,8.252236,500,1973,1973-05-02,122,0.89,7.8,90.0,254.4
Switzerland/Sarnen,46.894217,8.252236,500,1974,1974-04-08,98,3.99,61.0,90.0,244.5
Switzerland/Sarnen,46.894217,8.252236,500,1975,1975-04-28,118,3.04,11.8,89.0,241.7
Switzerland/Sarnen,46.894217,8.252236,500,1976,1976-04-20,111,2.12,15.9,90.0,197.6
Switzerland/Sarnen,46.894217,8.252236,500,1977,1977-04-06,96,3.34,57.3,89.0,347.7
