location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Schiers,46.965036,9.685814,800,1951,1951-04-26,116,1.12,6.3,90.0,432.4
Switzerland/Schiers,46.965036,9.685814,800,1952,1952-04-20,111,-0.78,16.8,90.0,438.3
Switzerland/Schiers,46.965036,9.685814,800,1954,1954-05-10,130,-0.78,21.1,89.0,283.8
Switzerland/Schiers,46.965036,9.685814,800,1956,1956-05-04,125,-2.73,25.7,90.0,266.0
Switzerland/Schiers,46.965036,9.685814,800,1970,1970-05-14,134,-0.16,9.3,90.0,596.9
Switzerland/Schiers,46.965036,9.685814,800,1971,1971-04-22,112,-1.65,6.2,90.0,264.1
Switzerland/Schiers,46.965036,9.685814,800,1972,1972-04-07,98,2.52,34.8,89.0,133.2
Switzerland/Schiers,46.965036,9.685814,800,1973,1973-05-07,127,-0.37,9.4,90.0,312.1
Switzerland/Schiers,46.965036,9.685814,800,1974,1974-04-10,100,3.16,46.4,89.0,293.0
Switzerland/Schiers,46.965036,9.685814,800,1975,1975-04-30,120,1.7,5.3,89.0,318.6
Switzerland/Schiers,46.965036,9.685814,800,1976,1976-04-17,108,0.97,15.9,90.0,255.7
Switzerland/Schiers,46.965036,9.685814,800,1977,1977-04-25,115,2.73,55.4,90.0,395.9
Switzerland/Schiers,46.965036,9.685814,800,1978,1978-05-01,121,0.76,34.7,88.0,480.9
Switzerland/Schiers,46.965036,9.685814,800,1979,1979-05-12,132,0.29,18.4,90.0,362.0
Switzerland/Schiers,46.965036,9.685814,800,1980,1980-05-05,126,0.49,7.6,90.0,344.1
Switzerland/Schiers,46.965036,9.685814,800,1981,1981-04-10,100,-0.69,48.2,90.0,458.3
Switzerland/Schiers,46.965036,9.685814,800,1982,1982-04-29,119,0.79,8.2,90.0,354.4
Switzerland/Schiers,46.965036,9.685814,800,1983,1983-04-23,113,0.25,20.7,90.0,394.3
Switzerland/Schiers,46.965036,9.685814,800,1985,1985-04-30,120,-1.52,8.3,90.0,327.0
Switzerland/Schiers,46.965036,9.685814,800,1986,1986-05-02,122,-1.02,7.0,90.0,417.1
Switzerland/Schiers,46.965036,9.685814,800,1987,1987-04-29,119,-1.7,7.2,90.0,368.2
Switzerland/Schiers,46.965036,9.685814,800,1988,1988-04-28,119,0.64,8.1,90.0,623.1
Switzerland/Schiers,46.965036,9.685814,800,1989,1989-04-09,99,1.93,51.2,89.0,225.0
Switzerland/Schiers,46.965036,9.685814,800,1990,1990-04-16,106,2.17,58.1,85.0,361.9
Switzerland/Schiers,46.965036,9.685814,800,1991,1991-04-15,105,0.57,52.4,88.0,212.2
Switzerland/Schiers,46.965036,9.685814,800,1992,1992-04-28,119,0.32,11.5,90.0,386.3
Switzerland/Schiers,46.965036,9.685814,800,1993,1993-04-25,115,0.16,19.9,90.0,255.2
Switzerland/Schiers,46.965036,9.685814,800,1994,1994-04-21,111,2.25,58.0,88.0,368.6
Switzerland/Schiers,46.965036,9.685814,800,1995,1995-05-02,122,0.19,4.2,90.0,546.0
Switzerland/Schiers,46.965036,9.685814,800,1998,1998-04-27,117,1.22,37.7,89.0,285.8
Switzerland/Schiers,46.965036,9.685814,800,1999,1999-04-30,120,0.45,25.5,90.0,569.9
Switzerland/Schiers,46.965036,9.685814,800,2000,2000-04-27,118,0.71,18.8,90.0,495.9
Switzerland/Schiers,46.965036,9.685814,800,2001,2001-05-04,124,2.27,39.8,89.0,451.3
Switzerland/Schiers,46.965036,9.685814,800,2002,2002-04-19,109,1.48,43.3,90.0,285.9
Switzerland/Schiers,46.965036,9.685814,800,2003,2003-04-21,111,-0.32,39.4,90.0,254.5
Switzerland/Schiers,46.965036,9.685814,800,2005,2005-04-28,118,-1.54,50.1,90.0,326.2
Switzerland/Schiers,46.965036,9.685814,800,2006,2006-05-05,125,-1.95,17.7,90.0,317.3
Switzerland/Schiers,46.965036,9.685814,800,2008,2008-05-04,125,2.01,25.6,87.0,322.4
Switzerland/Schiers,46.965036,9.685814,800,2010,2010-04-29,119,-0.63,34.2,90.0,220.1
Switzerland/Schiers,46.965036,9.685814,800,2011,2011-04-12,102,2.49,48.0,89.0,191.8
Switzerland/Schiers,46.965036,9.685814,800,2012,2012-04-24,115,0.29,44.4,90.0,357.5
Switzerland/Schiers,46.965036,9.685814,800,2013,2013-04-26,116,-0.37,10.1,90.0,316.8
Switzerland/Schiers,46.965036,9.685814,800,2014,2014-04-10,100,4.66,93.9,87.0,264.0
Switzerland/Schiers,46.965036,9.685814,800,2015,2015-04-22,112,1.25,20.2,88.0,370.3
Switzerland/Schiers,46.965036,9.685814,800,2017,2017-04-12,102,2.15,94.4,87.0,321.9
Switzerland/Schiers,46.965036,9.685814,800,2018,2018-04-20,110,1.0,13.8,90.0,418.9
Switzerland/Schiers,46.965036,9.685814,800,2019,2019-04-19,109,1.22,38.8,87.0,451.1
Switzerland/Schiers,46.965036,9.685814,800,2020,2020-04-11,102,3.87,75.1,81.0,323.4
Switzerland/Schiers,46.965036,9.685814,800,2021,2021-05-02,122,2.04,61.5,86.0,402.1
Switzerland/Schiers,46.965036,9.685814,800,2022,2022-04-14,104,1.81,58.9,87.0,279.3
Switzerland/Schiers,46.965036,9.685814,800,2023,2023-04-23,113,2.78,84.1,78.0,344.6
