location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Schönenwerd,47.365283,7.999019,450,1970,1970-05-08,128,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1971,1971-04-20,110,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1972,1972-04-10,101,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1973,1973-04-28,118,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1974,1974-04-08,98,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1975,1975-04-26,116,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1976,1976-04-17,108,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1977,1977-04-05,95,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1979,1979-04-24,114,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1980,1980-05-02,123,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1981,1981-04-10,100,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1982,1982-04-27,117,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1983,1983-04-21,111,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1984,1984-04-28,119,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1985,1985-04-23,113,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1986,1986-05-03,123,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1987,1987-04-25,115,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1988,1988-04-22,113,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1989,1989-04-04,94,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1990,1990-03-20,79,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1991,1991-04-12,102,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1992,1992-04-20,111,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1993,1993-04-20,110,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1994,1994-04-04,94,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1995,1995-04-13,103,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1996,1996-04-26,117,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1997,1997-04-04,94,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1998,1998-04-21,111,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,1999,1999-04-23,113,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2000,2000-04-25,116,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2001,2001-04-12,102,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2002,2002-04-10,100,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2003,2003-04-16,106,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2004,2004-04-25,116,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2005,2005-04-12,102,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2006,2006-04-24,114,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2007,2007-04-10,100,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2008,2008-04-20,111,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2009,2009-04-14,104,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2010,2010-04-22,112,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2011,2011-04-10,100,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2012,2012-04-10,101,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2013,2013-05-02,122,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2014,2014-04-15,105,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2015,2015-04-16,106,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2016,2016-04-16,107,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2017,2017-04-07,97,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2018,2018-04-16,106,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2019,2019-04-11,101,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2020,2020-04-08,99,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2021,2021-04-13,103,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2022,2022-04-12,102,,,,
Switzerland/Schönenwerd,47.365283,7.999019,450,2023,2023-04-19,109,,,,
