location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Scuol,46.794394,10.296356,1240,1987,1987-06-04,155,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1988,1988-05-28,149,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1989,1989-05-17,137,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1990,1990-05-08,128,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1991,1991-05-22,142,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1992,1992-05-08,129,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1993,1993-05-02,122,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1994,1994-04-25,115,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1995,1995-05-10,130,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1996,1996-05-05,126,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1997,1997-05-05,125,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1998,1998-05-10,130,,,,
Switzerland/Scuol,46.794394,10.296356,1240,1999,1999-05-12,132,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2000,2000-05-18,139,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2001,2001-05-07,127,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2002,2002-05-05,125,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2003,2003-05-03,123,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2004,2004-05-15,136,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2005,2005-05-08,128,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2006,2006-05-08,128,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2007,2007-04-26,116,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2008,2008-05-10,131,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2009,2009-05-05,125,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2010,2010-05-07,127,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2011,2011-04-22,112,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2012,2012-05-03,124,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2013,2013-05-05,125,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2014,2014-04-27,117,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2015,2015-05-04,124,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2016,2016-04-25,116,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2019,2019-05-08,128,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2020,2020-04-21,112,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2021,2021-05-13,133,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2022,2022-05-04,124,,,,
Switzerland/Scuol,46.794394,10.296356,1240,2023,2023-05-03,123,,,,
