location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Seewil,47.048228,7.409689,560,2007,2007-04-16,106,,,,
Switzerland/Seewil,47.048228,7.409689,560,2008,2008-04-24,115,,,,
Switzerland/Seewil,47.048228,7.409689,560,2009,2009-04-14,104,,,,
Switzerland/Seewil,47.048228,7.409689,560,2010,2010-04-19,109,,,,
Switzerland/Seewil,47.048228,7.409689,560,2011,2011-04-06,96,,,,
Switzerland/Seewil,47.048228,7.409689,560,2012,2012-04-10,101,,,,
Switzerland/Seewil,47.048228,7.409689,560,2013,2013-04-27,117,,,,
Switzerland/Seewil,47.048228,7.409689,560,2014,2014-04-06,96,,,,
Switzerland/Seewil,47.048228,7.409689,560,2015,2015-04-15,105,,,,
Switzerland/Seewil,47.048228,7.409689,560,2016,2016-04-21,112,,,,
Switzerland/Seewil,47.048228,7.409689,560,2017,2017-04-01,91,,,,
Switzerland/Seewil,47.048228,7.409689,560,2019,2019-04-11,101,,,,
Switzerland/Seewil,47.048228,7.409689,560,2020,2020-04-02,93,,,,
