location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Seewis Dorf,46.965358,9.632064,960,1951,1951-04-27,117,-0.59,0.3,90.0,432.4
Switzerland/Seewis Dorf,46.965358,9.632064,960,1953,1953-04-20,110,-2.52,3.1,90.0,174.5
Switzerland/Seewis Dorf,46.965358,9.632064,960,1954,1954-05-01,121,-2.58,2.3,90.0,283.8
Switzerland/Seewis Dorf,46.965358,9.632064,960,1955,1955-05-06,126,-1.76,15.0,90.0,415.0
Switzerland/Seewis Dorf,46.965358,9.632064,960,1970,1970-05-30,150,-1.93,1.3,90.0,596.9
Switzerland/Seewis Dorf,46.965358,9.632064,960,1971,1971-04-26,116,-3.41,1.8,90.0,264.1
Switzerland/Seewis Dorf,46.965358,9.632064,960,1972,1972-05-06,127,0.75,5.0,90.0,133.2
Switzerland/Seewis Dorf,46.965358,9.632064,960,1973,1973-05-20,140,-2.22,0.1,90.0,312.1
Switzerland/Seewis Dorf,46.965358,9.632064,960,1974,1974-04-08,98,1.43,17.8,90.0,293.0
Switzerland/Seewis Dorf,46.965358,9.632064,960,1975,1975-05-13,133,0.0,0.3,90.0,318.6
Switzerland/Seewis Dorf,46.965358,9.632064,960,1976,1976-05-08,129,-0.81,2.6,90.0,255.7
Switzerland/Seewis Dorf,46.965358,9.632064,960,1977,1977-05-12,132,0.98,19.1,90.0,395.9
Switzerland/Seewis Dorf,46.965358,9.632064,960,1978,1978-05-23,143,-1.03,8.6,90.0,480.9
Switzerland/Seewis Dorf,46.965358,9.632064,960,1979,1979-05-23,143,-1.49,2.5,90.0,362.0
Switzerland/Seewis Dorf,46.965358,9.632064,960,1980,1980-05-11,132,-1.26,2.0,90.0,344.1
Switzerland/Seewis Dorf,46.965358,9.632064,960,1981,1981-04-16,106,-2.47,21.2,90.0,458.3
Switzerland/Seewis Dorf,46.965358,9.632064,960,1982,1982-05-17,137,-0.97,0.7,90.0,354.4
Switzerland/Seewis Dorf,46.965358,9.632064,960,1983,1983-04-23,113,-1.56,1.3,90.0,394.3
Switzerland/Seewis Dorf,46.965358,9.632064,960,1984,1984-05-19,140,-2.89,0.0,90.0,385.6
Switzerland/Seewis Dorf,46.965358,9.632064,960,1986,1986-05-04,124,-2.84,0.3,90.0,417.1
Switzerland/Seewis Dorf,46.965358,9.632064,960,1987,1987-05-17,137,-3.54,0.4,90.0,368.2
Switzerland/Seewis Dorf,46.965358,9.632064,960,1988,1988-05-09,130,-1.06,1.8,90.0,623.1
Switzerland/Seewis Dorf,46.965358,9.632064,960,1989,1989-05-04,124,0.33,18.0,90.0,225.0
Switzerland/Seewis Dorf,46.965358,9.632064,960,1990,1990-05-04,124,0.44,20.2,90.0,361.9
Switzerland/Seewis Dorf,46.965358,9.632064,960,1991,1991-05-23,143,-1.24,10.2,90.0,212.2
