location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Sent,46.815436,10.335078,1440,1970,1970-06-09,160,,,,
Switzerland/Sent,46.815436,10.335078,1440,1971,1971-05-15,135,,,,
Switzerland/Sent,46.815436,10.335078,1440,1972,1972-05-22,143,,,,
Switzerland/Sent,46.815436,10.335078,1440,1973,1973-05-28,148,,,,
Switzerland/Sent,46.815436,10.335078,1440,1974,1974-05-16,136,,,,
Switzerland/Sent,46.815436,10.335078,1440,1975,1975-05-17,137,,,,
Switzerland/Sent,46.815436,10.335078,1440,1976,1976-05-10,131,,,,
Switzerland/Sent,46.815436,10.335078,1440,1977,1977-05-22,142,,,,
Switzerland/Sent,46.815436,10.335078,1440,1978,1978-05-29,149,,,,
Switzerland/Sent,46.815436,10.335078,1440,1979,1979-05-28,148,,,,
Switzerland/Sent,46.815436,10.335078,1440,1980,1980-05-29,150,,,,
Switzerland/Sent,46.815436,10.335078,1440,1981,1981-05-20,140,,,,
Switzerland/Sent,46.815436,10.335078,1440,1982,1982-05-22,142,,,,
Switzerland/Sent,46.815436,10.335078,1440,1983,1983-05-21,141,,,,
Switzerland/Sent,46.815436,10.335078,1440,1984,1984-06-07,159,,,,
Switzerland/Sent,46.815436,10.335078,1440,1985,1985-05-23,143,,,,
Switzerland/Sent,46.815436,10.335078,1440,1986,1986-05-18,138,,,,
Switzerland/Sent,46.815436,10.335078,1440,1987,1987-05-23,143,,,,
Switzerland/Sent,46.815436,10.335078,1440,1988,1988-05-11,132,,,,
Switzerland/Sent,46.815436,10.335078,1440,1989,1989-05-13,133,,,,
Switzerland/Sent,46.815436,10.335078,1440,1990,1990-05-07,127,,,,
Switzerland/Sent,46.815436,10.335078,1440,1991,1991-05-22,142,,,,
Switzerland/Sent,46.815436,10.335078,1440,1992,1992-05-14,135,,,,
Switzerland/Sent,46.815436,10.335078,1440,1993,1993-05-11,131,,,,
Switzerland/Sent,46.815436,10.335078,1440,1994,1994-05-04,124,,,,
Switzerland/Sent,46.815436,10.335078,1440,1995,1995-05-09,129,,,,
Switzerland/Sent,46.815436,10.335078,1440,1996,1996-05-16,137,,,,
Switzerland/Sent,46.815436,10.335078,1440,1997,1997-05-17,137,,,,
Switzerland/Sent,46.815436,10.335078,1440,1998,1998-05-11,131,,,,
Switzerland/Sent,46.815436,10.335078,1440,1999,1999-05-11,131,,,,
Switzerland/Sent,46.815436,10.335078,1440,2000,2000-05-06,127,,,,
Switzerland/Sent,46.815436,10.335078,1440,2001,2001-05-11,131,,,,
Switzerland/Sent,46.815436,10.335078,1440,2002,2002-05-13,133,,,,
Switzerland/Sent,46.815436,10.335078,1440,2003,2003-05-07,127,,,,
Switzerland/Sent,46.815436,10.335078,1440,2004,2004-05-18,139,,,,
Switzerland/Sent,46.815436,10.335078,1440,2005,2005-05-16,136,,,,
Switzerland/Sent,46.815436,10.335078,1440,2006,2006-05-16,136,,,,
Switzerland/Sent,46.815436,10.335078,1440,2007,2007-04-25,115,,,,
Switzerland/Sent,46.815436,10.335078,1440,2008,2008-05-12,133,,,,
Switzerland/Sent,46.815436,10.335078,1440,2009,2009-05-12,132,,,,
