location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Seon,47.338319,8.153353,550,1952,1952-05-06,127,0.03,15.7,90.0,336.8
Switzerland/Seon,47.338319,8.153353,550,1953,1953-04-14,104,-0.92,26.5,90.0,143.2
Switzerland/Seon,47.338319,8.153353,550,1954,1954-05-03,123,-0.54,24.7,89.0,217.5
Switzerland/Seon,47.338319,8.153353,550,1955,1955-05-02,122,0.23,27.0,88.0,384.2
Switzerland/Seon,47.338319,8.153353,550,1956,1956-05-06,127,-1.76,26.1,89.0,194.4
Switzerland/Seon,47.338319,8.153353,550,1957,1957-04-15,105,2.47,84.3,89.0,277.5
Switzerland/Seon,47.338319,8.153353,550,1958,1958-04-14,104,0.11,16.0,87.0,395.6
Switzerland/Seon,47.338319,8.153353,550,1959,1959-04-15,105,1.68,48.7,90.0,256.0
Switzerland/Seon,47.338319,8.153353,550,1960,1960-04-16,107,1.53,41.9,90.0,248.8
Switzerland/Seon,47.338319,8.153353,550,1961,1961-04-10,100,2.62,53.6,88.0,268.5
Switzerland/Seon,47.338319,8.153353,550,1962,1962-05-04,124,0.05,8.4,84.0,355.3
Switzerland/Seon,47.338319,8.153353,550,1963,1963-05-02,122,-3.63,0.4,90.0,252.7
Switzerland/Seon,47.338319,8.153353,550,1964,1964-04-28,119,0.49,6.3,89.0,248.0
Switzerland/Seon,47.338319,8.153353,550,1965,1965-04-07,97,-0.53,16.8,90.0,258.8
Switzerland/Seon,47.338319,8.153353,550,1966,1966-04-28,118,1.19,16.3,87.0,337.8
Switzerland/Seon,47.338319,8.153353,550,1967,1967-04-25,115,1.63,32.3,89.0,317.1
Switzerland/Seon,47.338319,8.153353,550,1968,1968-04-20,111,0.67,31.1,90.0,379.5
Switzerland/Seon,47.338319,8.153353,550,1969,1969-05-01,121,0.23,8.2,90.0,239.7
Switzerland/Seon,47.338319,8.153353,550,1970,1970-05-02,122,-0.43,1.5,90.0,475.4
Switzerland/Seon,47.338319,8.153353,550,1971,1971-04-22,112,-1.02,0.5,90.0,224.7
Switzerland/Seon,47.338319,8.153353,550,1972,1972-04-16,107,2.78,47.3,90.0,144.4
Switzerland/Seon,47.338319,8.153353,550,1973,1973-05-05,125,-0.03,10.3,90.0,243.0
Switzerland/Seon,47.338319,8.153353,550,1974,1974-04-07,97,3.54,76.0,89.0,238.0
Switzerland/Seon,47.338319,8.153353,550,1975,1975-05-04,124,2.44,10.6,87.0,243.4
Switzerland/Seon,47.338319,8.153353,550,1976,1976-04-22,113,1.55,18.6,90.0,181.5
Switzerland/Seon,47.338319,8.153353,550,1977,1977-04-05,95,2.61,62.7,90.0,365.9
Switzerland/Seon,47.338319,8.153353,550,1978,1978-04-30,120,0.84,21.1,90.0,411.0
Switzerland/Seon,47.338319,8.153353,550,1979,1979-05-02,122,0.49,20.2,90.0,351.2
Switzerland/Seon,47.338319,8.153353,550,1980,1980-04-28,119,1.76,22.1,87.0,282.8
Switzerland/Seon,47.338319,8.153353,550,1981,1981-04-12,102,0.71,57.9,90.0,372.6
Switzerland/Seon,47.338319,8.153353,550,1982,1982-05-10,130,1.48,9.5,90.0,320.8
Switzerland/Seon,47.338319,8.153353,550,1983,1983-04-25,115,1.96,38.4,85.0,315.6
Switzerland/Seon,47.338319,8.153353,550,1984,1984-05-15,136,0.58,10.0,88.0,302.5
Switzerland/Seon,47.338319,8.153353,550,1985,1985-04-25,115,-1.2,9.4,90.0,262.1
Switzerland/Seon,47.338319,8.153353,550,1986,1986-05-08,128,-0.31,15.4,89.0,328.0
Switzerland/Seon,47.338319,8.153353,550,1987,1987-04-28,118,-0.68,16.8,90.0,285.2
Switzerland/Seon,47.338319,8.153353,550,1988,1988-04-30,121,2.48,20.0,87.0,486.5
Switzerland/Seon,47.338319,8.153353,550,1989,1989-04-01,91,4.0,80.4,88.0,199.8
Switzerland/Seon,47.338319,8.153353,550,1990,1990-03-25,84,4.46,112.1,81.0,280.6
Switzerland/Seon,47.338319,8.153353,550,1991,1991-04-15,105,2.35,75.7,87.0,191.2
Switzerland/Seon,47.338319,8.153353,550,1992,1992-04-24,115,2.46,38.1,89.0,261.2
Switzerland/Seon,47.338319,8.153353,550,1993,1993-04-20,110,2.55,48.3,87.0,167.8
Switzerland/Seon,47.338319,8.153353,550,1994,1994-03-30,89,4.0,95.0,85.0,314.8
Switzerland/Seon,47.338319,8.153353,550,1995,1995-04-18,108,2.43,36.4,86.0,470.9
Switzerland/Seon,47.338319,8.153353,550,1996,1996-04-23,114,1.35,26.7,89.0,186.1
Switzerland/Seon,47.338319,8.153353,550,1997,1997-04-10,100,3.39,73.3,87.0,195.3
Switzerland/Seon,47.338319,8.153353,550,1998,1998-04-16,106,3.39,59.9,88.0,211.3
Switzerland/Seon,47.338319,8.153353,550,1999,1999-04-25,115,1.88,36.8,90.0,431.4
Switzerland/Seon,47.338319,8.153353,550,2000,2000-04-16,107,2.78,36.2,89.0,314.6
Switzerland/Seon,47.338319,8.153353,550,2001,2001-04-20,110,3.34,62.4,90.0,401.4
Switzerland/Seon,47.338319,8.153353,550,2002,2002-04-15,105,3.75,82.5,84.0,202.3
Switzerland/Seon,47.338319,8.153353,550,2003,2003-04-16,106,1.35,59.6,86.0,181.2
Switzerland/Seon,47.338319,8.153353,550,2004,2004-04-16,107,1.72,47.3,89.0,325.4
Switzerland/Seon,47.338319,8.153353,550,2005,2005-04-18,108,0.83,69.8,90.0,255.9
Switzerland/Seon,47.338319,8.153353,550,2006,2006-04-25,115,0.5,28.6,90.0,309.4
Switzerland/Seon,47.338319,8.153353,550,2007,2007-04-14,104,4.11,73.0,81.0,308.4
Switzerland/Seon,47.338319,8.153353,550,2008,2008-04-20,111,3.07,42.3,88.0,245.9
Switzerland/Seon,47.338319,8.153353,550,2009,2009-04-18,108,0.54,6.9,90.0,310.2
Switzerland/Seon,47.338319,8.153353,550,2010,2010-04-21,111,0.61,42.4,90.0,186.4
Switzerland/Seon,47.338319,8.153353,550,2011,2011-04-06,96,2.65,51.4,89.0,162.9
Switzerland/Seon,47.338319,8.153353,550,2012,2012-04-10,101,1.65,76.7,89.0,233.0
Switzerland/Seon,47.338319,8.153353,550,2013,2013-04-26,116,0.5,12.5,88.0,276.4
Switzerland/Seon,47.338319,8.153353,550,2014,2014-04-20,110,3.65,64.1,90.0,230.9
Switzerland/Seon,47.338319,8.153353,550,2015,2015-04-26,116,2.31,49.9,87.0,295.0
Switzerland/Seon,47.338319,8.153353,550,2016,2016-04-24,115,2.95,39.0,85.0,393.8
Switzerland/Seon,47.338319,8.153353,550,2017,2017-04-03,93,1.7,85.0,88.0,207.5
Switzerland/Seon,47.338319,8.153353,550,2018,2018-04-19,109,1.92,24.4,88.0,291.7
Switzerland/Seon,47.338319,8.153353,550,2019,2019-04-11,101,2.57,47.1,83.0,185.1
Switzerland/Seon,47.338319,8.153353,550,2020,2020-04-05,96,3.71,82.4,80.0,228.0
