location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Sihlbrugg,47.219356,8.5767,480,1960,1960-04-18,109,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1969,1969-04-30,120,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1971,1971-04-25,115,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1972,1972-04-20,111,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1973,1973-05-12,132,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1974,1974-04-22,112,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1975,1975-05-04,124,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1976,1976-04-28,119,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1977,1977-04-25,115,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1978,1978-05-05,125,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1979,1979-05-07,127,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1980,1980-05-10,131,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1981,1981-04-13,103,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1982,1982-05-08,128,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1983,1983-04-27,117,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1987,1987-04-15,105,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1988,1988-04-30,121,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1989,1989-04-05,95,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1990,1990-04-02,92,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1991,1991-04-16,106,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1992,1992-04-25,116,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1993,1993-04-22,112,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1994,1994-04-03,93,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1995,1995-04-24,114,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1996,1996-04-25,116,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1997,1997-04-11,101,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1998,1998-04-21,111,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,1999,1999-04-28,118,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2000,2000-04-21,112,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2008,2008-04-13,104,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2009,2009-04-12,102,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2010,2010-04-20,110,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2011,2011-04-11,101,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2012,2012-04-10,101,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2013,2013-04-28,118,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2014,2014-04-07,97,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2015,2015-04-15,105,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2016,2016-04-11,102,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2017,2017-04-04,94,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2018,2018-04-18,108,,,,
Switzerland/Sihlbrugg,47.219356,8.5767,480,2019,2019-04-03,93,,,,
