location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Silenen,46.782531,8.669625,510,1992,1992-04-25,116,,,,
Switzerland/Silenen,46.782531,8.669625,510,1993,1993-04-21,111,,,,
Switzerland/Silenen,46.782531,8.669625,510,1994,1994-03-30,89,,,,
Switzerland/Silenen,46.782531,8.669625,510,1995,1995-04-25,115,,,,
Switzerland/Silenen,46.782531,8.669625,510,1996,1996-04-24,115,,,,
Switzerland/Silenen,46.782531,8.669625,510,1997,1997-04-18,108,,,,
Switzerland/Silenen,46.782531,8.669625,510,1998,1998-04-25,115,,,,
Switzerland/Silenen,46.782531,8.669625,510,1999,1999-04-21,111,,,,
Switzerland/Silenen,46.782531,8.669625,510,2000,2000-04-21,112,,,,
Switzerland/Silenen,46.782531,8.669625,510,2001,2001-04-28,118,,,,
Switzerland/Silenen,46.782531,8.669625,510,2002,2002-04-07,97,,,,
Switzerland/Silenen,46.782531,8.669625,510,2003,2003-04-16,106,,,,
Switzerland/Silenen,46.782531,8.669625,510,2004,2004-04-18,109,,,,
Switzerland/Silenen,46.782531,8.669625,510,2005,2005-04-15,105,,,,
Switzerland/Silenen,46.782531,8.669625,510,2006,2006-04-23,113,,,,
Switzerland/Silenen,46.782531,8.669625,510,2007,2007-04-15,105,,,,
Switzerland/Silenen,46.782531,8.669625,510,2008,2008-04-20,111,,,,
Switzerland/Silenen,46.782531,8.669625,510,2009,2009-04-13,103,,,,
Switzerland/Silenen,46.782531,8.669625,510,2010,2010-04-18,108,,,,
Switzerland/Silenen,46.782531,8.669625,510,2011,2011-04-08,98,,,,
Switzerland/Silenen,46.782531,8.669625,510,2012,2012-04-14,105,,,,
Switzerland/Silenen,46.782531,8.669625,510,2013,2013-04-24,114,,,,
Switzerland/Silenen,46.782531,8.669625,510,2014,2014-04-06,96,,,,
Switzerland/Silenen,46.782531,8.669625,510,2015,2015-04-16,106,,,,
Switzerland/Silenen,46.782531,8.669625,510,2016,2016-04-05,96,,,,
Switzerland/Silenen,46.782531,8.669625,510,2017,2017-04-03,93,,,,
Switzerland/Silenen,46.782531,8.669625,510,2018,2018-04-11,101,,,,
Switzerland/Silenen,46.782531,8.669625,510,2019,2019-04-11,101,,,,
Switzerland/Silenen,46.782531,8.669625,510,2020,2020-04-10,101,,,,
Switzerland/Silenen,46.782531,8.669625,510,2021,2021-04-11,101,,,,
Switzerland/Silenen,46.782531,8.669625,510,2022,2022-04-10,100,,,,
Switzerland/Silenen,46.782531,8.669625,510,2023,2023-04-13,103,,,,
