location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/St. Luc,46.222336,7.594153,1650,1970,1970-06-02,153,-6.97,0.0,90.0,680.1
Switzerland/St. Luc,46.222336,7.594153,1650,1971,1971-05-20,140,-7.93,0.0,90.0,293.0
Switzerland/St. Luc,46.222336,7.594153,1650,1972,1972-06-15,167,-4.22,0.0,90.0,222.3
Switzerland/St. Luc,46.222336,7.594153,1650,1973,1973-06-08,159,-6.58,0.0,90.0,267.9
Switzerland/St. Luc,46.222336,7.594153,1650,1974,1974-06-15,166,-3.62,0.0,90.0,304.8
Switzerland/St. Luc,46.222336,7.594153,1650,1975,1975-06-12,163,-4.94,0.0,90.0,333.3
Switzerland/St. Luc,46.222336,7.594153,1650,1976,1976-05-16,137,-5.44,0.0,90.0,180.7
Switzerland/St. Luc,46.222336,7.594153,1650,1977,1977-05-12,132,-4.18,0.0,90.0,475.9
Switzerland/St. Luc,46.222336,7.594153,1650,1978,1978-05-25,145,-5.38,0.0,90.0,614.8
Switzerland/St. Luc,46.222336,7.594153,1650,1979,1979-05-10,130,-6.33,0.0,90.0,460.2
Switzerland/St. Luc,46.222336,7.594153,1650,1980,1980-05-25,146,-5.68,0.0,90.0,465.7
Switzerland/St. Luc,46.222336,7.594153,1650,1982,1982-05-14,134,-5.57,0.0,90.0,378.3
Switzerland/St. Luc,46.222336,7.594153,1650,1983,1983-06-24,175,-5.81,0.0,90.0,400.7
Switzerland/St. Luc,46.222336,7.594153,1650,1987,1987-06-20,171,-7.29,0.0,90.0,398.7
Switzerland/St. Luc,46.222336,7.594153,1650,1988,1988-05-15,136,-5.92,0.0,90.0,658.0
Switzerland/St. Luc,46.222336,7.594153,1650,1989,1989-05-08,128,-4.0,0.0,90.0,239.7
Switzerland/St. Luc,46.222336,7.594153,1650,1990,1990-04-28,118,-4.17,1.8,90.0,443.3
Switzerland/St. Luc,46.222336,7.594153,1650,1991,1991-06-15,166,-5.42,0.0,90.0,254.5
Switzerland/St. Luc,46.222336,7.594153,1650,1992,1992-05-14,135,-5.51,0.0,90.0,307.3
Switzerland/St. Luc,46.222336,7.594153,1650,1993,1993-05-24,144,-5.83,0.0,90.0,167.2
Switzerland/St. Luc,46.222336,7.594153,1650,1994,1994-05-15,135,-3.99,0.5,90.0,350.7
Switzerland/St. Luc,46.222336,7.594153,1650,1995,1995-05-21,141,-6.18,0.0,90.0,724.4
Switzerland/St. Luc,46.222336,7.594153,1650,1996,1996-05-18,139,-6.58,0.0,90.0,226.4
Switzerland/St. Luc,46.222336,7.594153,1650,1998,1998-05-16,136,-4.92,0.0,90.0,260.8
Switzerland/St. Luc,46.222336,7.594153,1650,2000,2000-05-15,136,-5.75,0.0,90.0,346.5
Switzerland/St. Luc,46.222336,7.594153,1650,2001,2001-05-10,130,-4.48,2.0,90.0,466.3
Switzerland/St. Luc,46.222336,7.594153,1650,2002,2002-05-15,135,-4.72,0.0,90.0,295.3
Switzerland/St. Luc,46.222336,7.594153,1650,2003,2003-04-30,120,-6.74,0.0,90.0,273.0
Switzerland/St. Luc,46.222336,7.594153,1650,2004,2004-05-12,133,-5.95,0.3,90.0,401.0
Switzerland/St. Luc,46.222336,7.594153,1650,2005,2005-05-15,135,-7.82,0.6,90.0,284.3
Switzerland/St. Luc,46.222336,7.594153,1650,2006,2006-05-24,144,-7.22,2.0,90.0,360.4
Switzerland/St. Luc,46.222336,7.594153,1650,2007,2007-04-28,118,-3.41,0.0,90.0,428.1
Switzerland/St. Luc,46.222336,7.594153,1650,2008,2008-05-15,136,-4.65,0.0,90.0,350.3
Switzerland/St. Luc,46.222336,7.594153,1650,2009,2009-05-14,134,-6.87,0.0,90.0,390.0
Switzerland/St. Luc,46.222336,7.594153,1650,2010,2010-05-25,145,-7.79,0.0,90.0,229.0
Switzerland/St. Luc,46.222336,7.594153,1650,2011,2011-04-24,114,-4.89,0.0,90.0,141.9
Switzerland/St. Luc,46.222336,7.594153,1650,2012,2012-05-12,133,-5.47,0.0,90.0,285.5
Switzerland/St. Luc,46.222336,7.594153,1650,2013,2013-05-14,134,-7.1,0.0,90.0,321.7
Switzerland/St. Luc,46.222336,7.594153,1650,2014,2014-04-27,117,-4.01,1.1,90.0,363.8
Switzerland/St. Luc,46.222336,7.594153,1650,2015,2015-05-02,122,-4.75,0.0,90.0,380.1
Switzerland/St. Luc,46.222336,7.594153,1650,2016,2016-05-15,136,-4.59,0.0,90.0,524.9
Switzerland/St. Luc,46.222336,7.594153,1650,2017,2017-05-11,131,-1.94,0.4,90.0,312.9
Switzerland/St. Luc,46.222336,7.594153,1650,2020,2020-04-20,111,-0.79,0.8,90.0,315.5
Switzerland/St. Luc,46.222336,7.594153,1650,2021,2021-05-13,133,-2.18,5.3,90.0,405.7
Switzerland/St. Luc,46.222336,7.594153,1650,2022,2022-05-03,123,-1.34,1.3,90.0,236.0
Switzerland/St. Luc,46.222336,7.594153,1650,2023,2023-05-08,128,-1.82,0.1,90.0,339.0
