location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Stampa,46.34585,9.595214,1000,1970,1970-05-27,147,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1971,1971-05-15,135,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1972,1972-05-08,129,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1973,1973-05-15,135,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1974,1974-05-14,134,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1975,1975-05-15,135,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1976,1976-05-06,127,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1977,1977-05-01,121,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1978,1978-05-10,130,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1979,1979-05-20,140,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1980,1980-05-18,139,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1981,1981-04-27,117,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1982,1982-05-12,132,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1983,1983-05-06,126,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1984,1984-05-18,139,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1986,1986-05-10,130,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1987,1987-05-05,125,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1988,1988-05-01,122,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1989,1989-04-20,110,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1990,1990-04-16,106,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1991,1991-04-30,120,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1992,1992-04-26,117,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1993,1993-04-29,119,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1994,1994-04-20,110,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1995,1995-05-04,124,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1996,1996-04-30,121,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1997,1997-04-23,113,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1998,1998-05-04,124,,,,
Switzerland/Stampa,46.34585,9.595214,1000,1999,1999-05-08,128,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2000,2000-04-29,120,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2001,2001-05-05,125,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2002,2002-04-25,115,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2003,2003-04-28,118,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2004,2004-04-28,119,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2005,2005-05-01,121,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2006,2006-05-05,125,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2007,2007-04-15,105,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2008,2008-05-05,126,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2009,2009-05-05,125,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2010,2010-05-03,123,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2011,2011-04-10,100,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2012,2012-04-27,118,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2013,2013-05-03,123,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2014,2014-04-17,107,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2015,2015-04-23,113,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2016,2016-04-22,113,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2017,2017-04-08,98,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2018,2018-04-24,114,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2019,2019-04-17,107,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2020,2020-04-14,105,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2021,2021-04-24,114,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2022,2022-04-19,109,,,,
Switzerland/Stampa,46.34585,9.595214,1000,2023,2023-04-26,116,,,,
