location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
"Switzerland/Stein, AR II",47.381969,9.348772,825,1979,1979-05-15,135,-1.26,8.2,90.0,308.7
"Switzerland/Stein, AR II",47.381969,9.348772,825,1980,1980-05-15,136,-0.7,3.8,90.0,265.7
"Switzerland/Stein, AR II",47.381969,9.348772,825,1981,1981-04-16,106,-1.48,19.2,90.0,338.7
"Switzerland/Stein, AR II",47.381969,9.348772,825,1982,1982-05-15,135,-0.53,0.9,90.0,293.2
"Switzerland/Stein, AR II",47.381969,9.348772,825,1983,1983-04-30,120,-0.11,4.3,90.0,291.3
"Switzerland/Stein, AR II",47.381969,9.348772,825,1984,1984-05-08,129,-1.66,0.8,90.0,287.7
"Switzerland/Stein, AR II",47.381969,9.348772,825,1985,1985-05-12,132,-2.89,1.2,90.0,261.7
"Switzerland/Stein, AR II",47.381969,9.348772,825,1986,1986-05-10,130,-2.04,1.3,90.0,309.3
"Switzerland/Stein, AR II",47.381969,9.348772,825,1987,1987-05-02,122,-2.74,0.0,90.0,280.6
"Switzerland/Stein, AR II",47.381969,9.348772,825,1988,1988-05-06,127,0.29,1.8,90.0,497.2
"Switzerland/Stein, AR II",47.381969,9.348772,825,1989,1989-04-11,101,2.23,45.8,90.0,173.0
"Switzerland/Stein, AR II",47.381969,9.348772,825,1990,1990-04-13,103,2.44,59.0,88.0,290.4
"Switzerland/Stein, AR II",47.381969,9.348772,825,1991,1991-05-08,128,-0.15,30.9,90.0,179.8
"Switzerland/Stein, AR II",47.381969,9.348772,825,1992,1992-05-06,127,0.28,7.5,90.0,283.8
"Switzerland/Stein, AR II",47.381969,9.348772,825,1993,1993-04-27,117,0.32,15.3,90.0,175.8
"Switzerland/Stein, AR II",47.381969,9.348772,825,1994,1994-04-24,114,1.98,55.1,89.0,303.3
"Switzerland/Stein, AR II",47.381969,9.348772,825,1995,1995-04-29,119,-0.11,0.4,90.0,428.4
"Switzerland/Stein, AR II",47.381969,9.348772,825,1996,1996-05-08,129,-1.16,8.3,90.0,162.9
"Switzerland/Stein, AR II",47.381969,9.348772,825,1997,1997-04-28,118,1.36,24.1,90.0,186.2
"Switzerland/Stein, AR II",47.381969,9.348772,825,1998,1998-04-30,120,1.12,23.8,90.0,221.6
"Switzerland/Stein, AR II",47.381969,9.348772,825,1999,1999-05-04,124,-0.08,8.3,90.0,410.0
"Switzerland/Stein, AR II",47.381969,9.348772,825,2000,2000-04-23,114,0.38,6.9,90.0,371.2
"Switzerland/Stein, AR II",47.381969,9.348772,825,2001,2001-05-04,124,1.65,29.2,89.0,397.8
"Switzerland/Stein, AR II",47.381969,9.348772,825,2002,2002-04-23,113,1.43,34.8,90.0,216.4
"Switzerland/Stein, AR II",47.381969,9.348772,825,2003,2003-04-25,115,-0.84,21.8,90.0,195.1
"Switzerland/Stein, AR II",47.381969,9.348772,825,2004,2004-04-30,121,-0.67,10.5,90.0,284.8
"Switzerland/Stein, AR II",47.381969,9.348772,825,2005,2005-04-30,120,-1.67,26.2,90.0,269.4
"Switzerland/Stein, AR II",47.381969,9.348772,825,2006,2006-05-07,127,-2.28,5.3,90.0,273.8
"Switzerland/Stein, AR II",47.381969,9.348772,825,2007,2007-04-19,109,2.36,17.2,87.0,279.5
"Switzerland/Stein, AR II",47.381969,9.348772,825,2008,2008-05-04,125,1.5,10.7,90.0,254.0
"Switzerland/Stein, AR II",47.381969,9.348772,825,2009,2009-04-22,112,-0.81,0.0,90.0,293.3
"Switzerland/Stein, AR II",47.381969,9.348772,825,2010,2010-04-28,118,-1.4,14.6,90.0,189.8
"Switzerland/Stein, AR II",47.381969,9.348772,825,2011,2011-04-18,108,1.25,25.9,90.0,159.4
"Switzerland/Stein, AR II",47.381969,9.348772,825,2012,2012-05-01,122,-0.82,3.6,90.0,239.4
"Switzerland/Stein, AR II",47.381969,9.348772,825,2013,2013-05-08,128,-1.19,0.2,90.0,271.2
"Switzerland/Stein, AR II",47.381969,9.348772,825,2014,2014-04-17,107,3.04,46.9,90.0,207.2
"Switzerland/Stein, AR II",47.381969,9.348772,825,2015,2015-04-26,116,0.53,12.8,89.0,288.5
"Switzerland/Stein, AR II",47.381969,9.348772,825,2016,2016-05-05,126,1.14,14.4,90.0,362.7
"Switzerland/Stein, AR II",47.381969,9.348772,825,2017,2017-04-13,103,2.63,108.2,85.0,249.5
"Switzerland/Stein, AR II",47.381969,9.348772,825,2018,2018-04-22,112,1.76,36.6,88.0,378.1
"Switzerland/Stein, AR II",47.381969,9.348772,825,2019,2019-04-24,114,2.81,83.5,78.0,311.5
"Switzerland/Stein, AR II",47.381969,9.348772,825,2020,2020-04-17,108,4.27,97.3,73.0,278.3
"Switzerland/Stein, AR II",47.381969,9.348772,825,2021,2021-04-28,118,2.36,99.7,76.0,349.2
"Switzerland/Stein, AR II",47.381969,9.348772,825,2022,2022-04-20,110,3.44,97.7,80.0,182.3
"Switzerland/Stein, AR II",47.381969,9.348772,825,2023,2023-04-28,118,3.62,122.0,71.0,237.0
