location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Therwil,47.499697,7.558086,310,2004,2004-04-05,96,,,,
Switzerland/Therwil,47.499697,7.558086,310,2005,2005-04-10,100,,,,
Switzerland/Therwil,47.499697,7.558086,310,2006,2006-04-20,110,,,,
Switzerland/Therwil,47.499697,7.558086,310,2007,2007-04-05,95,,,,
Switzerland/Therwil,47.499697,7.558086,310,2008,2008-04-10,101,,,,
Switzerland/Therwil,47.499697,7.558086,310,2009,2009-04-13,103,,,,
Switzerland/Therwil,47.499697,7.558086,310,2010,2010-04-20,110,,,,
Switzerland/Therwil,47.499697,7.558086,310,2011,2011-04-04,94,,,,
Switzerland/Therwil,47.499697,7.558086,310,2013,2013-04-22,112,,,,
Switzerland/Therwil,47.499697,7.558086,310,2014,2014-04-07,97,,,,
Switzerland/Therwil,47.499697,7.558086,310,2015,2015-04-16,106,,,,
Switzerland/Therwil,47.499697,7.558086,310,2018,2018-04-12,102,,,,
Switzerland/Therwil,47.499697,7.558086,310,2019,2019-04-04,94,,,,
Switzerland/Therwil,47.499697,7.558086,310,2022,2022-03-21,80,,,,
