location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Thusis,46.709511,9.44165,700,1956,1956-05-07,128,,,,
Switzerland/Thusis,46.709511,9.44165,700,1957,1957-04-01,91,,,,
Switzerland/Thusis,46.709511,9.44165,700,1958,1958-05-03,123,,,,
Switzerland/Thusis,46.709511,9.44165,700,1959,1959-04-08,98,,,,
Switzerland/Thusis,46.709511,9.44165,700,1960,1960-04-20,111,,,,
Switzerland/Thusis,46.709511,9.44165,700,1961,1961-04-16,106,,,,
Switzerland/Thusis,46.709511,9.44165,700,1962,1962-05-06,126,,,,
Switzerland/Thusis,46.709511,9.44165,700,1963,1963-05-06,126,,,,
Switzerland/Thusis,46.709511,9.44165,700,1964,1964-04-25,116,,,,
Switzerland/Thusis,46.709511,9.44165,700,1968,1968-04-28,119,,,,
Switzerland/Thusis,46.709511,9.44165,700,1969,1969-05-01,121,,,,
Switzerland/Thusis,46.709511,9.44165,700,1970,1970-05-11,131,,,,
Switzerland/Thusis,46.709511,9.44165,700,1971,1971-05-01,121,,,,
Switzerland/Thusis,46.709511,9.44165,700,1972,1972-05-02,123,,,,
Switzerland/Thusis,46.709511,9.44165,700,1974,1974-04-05,95,,,,
Switzerland/Thusis,46.709511,9.44165,700,1975,1975-04-26,116,,,,
Switzerland/Thusis,46.709511,9.44165,700,1976,1976-04-17,108,,,,
Switzerland/Thusis,46.709511,9.44165,700,1977,1977-04-10,100,,,,
Switzerland/Thusis,46.709511,9.44165,700,1978,1978-04-15,105,,,,
Switzerland/Thusis,46.709511,9.44165,700,1979,1979-05-08,128,,,,
Switzerland/Thusis,46.709511,9.44165,700,1980,1980-05-11,132,,,,
Switzerland/Thusis,46.709511,9.44165,700,1981,1981-04-12,102,,,,
Switzerland/Thusis,46.709511,9.44165,700,1982,1982-04-25,115,,,,
Switzerland/Thusis,46.709511,9.44165,700,1983,1983-04-19,109,,,,
Switzerland/Thusis,46.709511,9.44165,700,1984,1984-04-12,103,,,,
Switzerland/Thusis,46.709511,9.44165,700,1985,1985-05-02,122,,,,
Switzerland/Thusis,46.709511,9.44165,700,1986,1986-05-04,124,,,,
Switzerland/Thusis,46.709511,9.44165,700,1987,1987-04-29,119,,,,
Switzerland/Thusis,46.709511,9.44165,700,1988,1988-04-21,112,,,,
Switzerland/Thusis,46.709511,9.44165,700,1989,1989-04-03,93,,,,
Switzerland/Thusis,46.709511,9.44165,700,1990,1990-04-01,91,,,,
Switzerland/Thusis,46.709511,9.44165,700,1991,1991-04-13,103,,,,
Switzerland/Thusis,46.709511,9.44165,700,1992,1992-05-01,122,,,,
Switzerland/Thusis,46.709511,9.44165,700,1993,1993-04-22,112,,,,
Switzerland/Thusis,46.709511,9.44165,700,1994,1994-03-31,90,,,,
Switzerland/Thusis,46.709511,9.44165,700,1995,1995-04-23,113,,,,
Switzerland/Thusis,46.709511,9.44165,700,1997,1997-04-09,99,,,,
Switzerland/Thusis,46.709511,9.44165,700,1998,1998-04-18,108,,,,
Switzerland/Thusis,46.709511,9.44165,700,1999,1999-04-25,115,,,,
Switzerland/Thusis,46.709511,9.44165,700,2000,2000-04-21,112,,,,
Switzerland/Thusis,46.709511,9.44165,700,2001,2001-04-06,96,,,,
Switzerland/Thusis,46.709511,9.44165,700,2002,2002-04-07,97,,,,
Switzerland/Thusis,46.709511,9.44165,700,2003,2003-04-17,107,,,,
Switzerland/Thusis,46.709511,9.44165,700,2004,2004-04-20,111,,,,
Switzerland/Thusis,46.709511,9.44165,700,2005,2005-04-16,106,,,,
Switzerland/Thusis,46.709511,9.44165,700,2006,2006-04-22,112,,,,
Switzerland/Thusis,46.709511,9.44165,700,2007,2007-04-09,99,,,,
Switzerland/Thusis,46.709511,9.44165,700,2008,2008-04-17,108,,,,
Switzerland/Thusis,46.709511,9.44165,700,2009,2009-04-15,105,,,,
Switzerland/Thusis,46.709511,9.44165,700,2010,2010-04-19,109,,,,
Switzerland/Thusis,46.709511,9.44165,700,2011,2011-04-06,96,,,,
Switzerland/Thusis,46.709511,9.44165,700,2012,2012-04-17,108,,,,
Switzerland/Thusis,46.709511,9.44165,700,2013,2013-04-22,112,,,,
Switzerland/Thusis,46.709511,9.44165,700,2014,2014-04-02,92,,,,
Switzerland/Thusis,46.709511,9.44165,700,2015,2015-04-14,104,,,,
Switzerland/Thusis,46.709511,9.44165,700,2016,2016-04-05,96,,,,
Switzerland/Thusis,46.709511,9.44165,700,2017,2017-04-01,91,,,,
Switzerland/Thusis,46.709511,9.44165,700,2018,2018-04-15,105,,,,
Switzerland/Thusis,46.709511,9.44165,700,2019,2019-04-09,99,,,,
Switzerland/Thusis,46.709511,9.44165,700,2020,2020-04-06,97,,,,
Switzerland/Thusis,46.709511,9.44165,700,2021,2021-04-04,94,,,,
Switzerland/Thusis,46.709511,9.44165,700,2022,2022-04-11,101,,,,
Switzerland/Thusis,46.709511,9.44165,700,2023,2023-04-06,96,,,,
