location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Trient,46.048003,6.993797,1300,1951,1951-05-24,144,-4.08,0.7,90.0,417.3
Switzerland/Trient,46.048003,6.993797,1300,1952,1952-05-03,124,-4.95,0.0,90.0,406.4
Switzerland/Trient,46.048003,6.993797,1300,1953,1953-05-14,134,-5.38,0.0,90.0,133.3
Switzerland/Trient,46.048003,6.993797,1300,1954,1954-05-23,143,-5.22,0.0,90.0,228.0
Switzerland/Trient,46.048003,6.993797,1300,1955,1955-05-16,136,-3.63,10.7,90.0,557.5
Switzerland/Trient,46.048003,6.993797,1300,1956,1956-05-27,148,-6.66,0.0,90.0,215.2
Switzerland/Trient,46.048003,6.993797,1300,1957,1957-05-04,124,-2.11,3.0,90.0,338.3
Switzerland/Trient,46.048003,6.993797,1300,1958,1958-05-15,135,-4.66,0.5,90.0,577.7
Switzerland/Trient,46.048003,6.993797,1300,1959,1959-05-07,127,-2.58,0.5,90.0,271.4
Switzerland/Trient,46.048003,6.993797,1300,1960,1960-05-10,131,-2.96,2.3,90.0,384.1
Switzerland/Trient,46.048003,6.993797,1300,1961,1961-04-20,110,-2.32,0.1,90.0,332.4
Switzerland/Trient,46.048003,6.993797,1300,1962,1962-05-21,141,-5.59,0.0,90.0,463.9
Switzerland/Trient,46.048003,6.993797,1300,1963,1963-05-30,150,-6.43,0.0,90.0,383.5
Switzerland/Trient,46.048003,6.993797,1300,1964,1964-05-14,135,-3.9,0.0,90.0,255.4
Switzerland/Trient,46.048003,6.993797,1300,1965,1965-05-18,138,-5.59,0.0,90.0,367.1
Switzerland/Trient,46.048003,6.993797,1300,1966,1966-05-16,136,-3.2,0.0,90.0,415.2
Switzerland/Trient,46.048003,6.993797,1300,1967,1967-05-15,135,-3.88,1.5,90.0,378.5
Switzerland/Trient,46.048003,6.993797,1300,1968,1968-05-13,134,-3.68,0.8,90.0,429.3
Switzerland/Trient,46.048003,6.993797,1300,1969,1969-05-17,137,-4.67,0.0,90.0,317.9
Switzerland/Trient,46.048003,6.993797,1300,1970,1970-06-01,152,-4.72,0.0,90.0,666.3
Switzerland/Trient,46.048003,6.993797,1300,1971,1971-05-10,130,-5.9,0.0,90.0,280.8
Switzerland/Trient,46.048003,6.993797,1300,1972,1972-05-26,147,-2.2,0.1,90.0,247.6
Switzerland/Trient,46.048003,6.993797,1300,1973,1973-05-28,148,-4.69,0.1,90.0,242.6
Switzerland/Trient,46.048003,6.993797,1300,1974,1974-05-20,140,-1.53,1.8,90.0,300.3
Switzerland/Trient,46.048003,6.993797,1300,1975,1975-05-21,141,-2.95,0.0,90.0,314.3
Switzerland/Trient,46.048003,6.993797,1300,1976,1976-05-13,134,-3.59,0.0,90.0,200.0
Switzerland/Trient,46.048003,6.993797,1300,1977,1977-05-19,139,-1.92,1.4,90.0,534.8
Switzerland/Trient,46.048003,6.993797,1300,1978,1978-05-31,151,-3.3,0.0,90.0,597.9
Switzerland/Trient,46.048003,6.993797,1300,1979,1979-05-29,149,-4.01,0.0,90.0,540.0
Switzerland/Trient,46.048003,6.993797,1300,1980,1980-05-31,152,-3.56,0.3,90.0,471.9
Switzerland/Trient,46.048003,6.993797,1300,1981,1981-05-21,141,-4.81,7.9,90.0,458.2
Switzerland/Trient,46.048003,6.993797,1300,1982,1982-05-18,138,-3.45,0.0,90.0,363.9
Switzerland/Trient,46.048003,6.993797,1300,1983,1983-05-25,145,-3.99,0.0,90.0,375.8
Switzerland/Trient,46.048003,6.993797,1300,1984,1984-06-08,160,-5.58,0.0,90.0,471.4
Switzerland/Trient,46.048003,6.993797,1300,1985,1985-05-28,148,-5.38,0.0,90.0,417.7
Switzerland/Trient,46.048003,6.993797,1300,1986,1986-05-21,141,-5.12,0.0,90.0,473.1
Switzerland/Trient,46.048003,6.993797,1300,1987,1987-05-26,146,-5.27,0.0,90.0,378.1
Switzerland/Trient,46.048003,6.993797,1300,1988,1988-05-17,138,-3.76,1.2,90.0,617.7
Switzerland/Trient,46.048003,6.993797,1300,1989,1989-05-13,133,-2.12,3.1,90.0,239.9
Switzerland/Trient,46.048003,6.993797,1300,1990,1990-05-09,129,-2.18,5.9,90.0,404.4
Switzerland/Trient,46.048003,6.993797,1300,1991,1991-05-25,145,-3.38,0.1,90.0,286.5
Switzerland/Trient,46.048003,6.993797,1300,1992,1992-05-10,131,-3.63,0.0,90.0,279.9
Switzerland/Trient,46.048003,6.993797,1300,1993,1993-05-04,124,-3.99,3.9,90.0,142.6
Switzerland/Trient,46.048003,6.993797,1300,1994,1994-05-10,130,-1.92,4.9,90.0,305.7
Switzerland/Trient,46.048003,6.993797,1300,1995,1995-05-02,122,-4.17,0.0,90.0,715.1
Switzerland/Trient,46.048003,6.993797,1300,1996,1996-05-20,141,-4.49,3.1,90.0,240.7
Switzerland/Trient,46.048003,6.993797,1300,1997,1997-05-15,135,-2.03,0.2,90.0,246.0
Switzerland/Trient,46.048003,6.993797,1300,1998,1998-05-18,138,-2.83,3.5,90.0,252.6
Switzerland/Trient,46.048003,6.993797,1300,1999,1999-05-17,137,-3.93,0.0,90.0,492.5
Switzerland/Trient,46.048003,6.993797,1300,2000,2000-05-12,133,-3.76,0.0,90.0,306.0
Switzerland/Trient,46.048003,6.993797,1300,2001,2001-05-18,138,-2.15,5.5,90.0,589.6
Switzerland/Trient,46.048003,6.993797,1300,2002,2002-05-13,133,-2.85,0.0,90.0,282.6
Switzerland/Trient,46.048003,6.993797,1300,2003,2003-05-10,130,-4.69,3.8,90.0,263.2
Switzerland/Trient,46.048003,6.993797,1300,2004,2004-05-18,139,-3.93,2.4,90.0,413.8
Switzerland/Trient,46.048003,6.993797,1300,2005,2005-05-16,136,-6.04,11.2,90.0,267.6
Switzerland/Trient,46.048003,6.993797,1300,2006,2006-05-14,134,-4.96,6.6,90.0,402.0
Switzerland/Trient,46.048003,6.993797,1300,2007,2007-04-18,108,-1.37,0.0,90.0,458.1
Switzerland/Trient,46.048003,6.993797,1300,2008,2008-05-09,130,-2.68,0.0,90.0,368.8
Switzerland/Trient,46.048003,6.993797,1300,2009,2009-05-11,131,-5.07,0.0,90.0,337.8
Switzerland/Trient,46.048003,6.993797,1300,2010,2010-05-15,135,-5.71,0.9,90.0,287.9
Switzerland/Trient,46.048003,6.993797,1300,2011,2011-05-01,121,-2.75,0.3,90.0,190.1
Switzerland/Trient,46.048003,6.993797,1300,2012,2012-05-01,122,-3.52,9.5,90.0,236.7
Switzerland/Trient,46.048003,6.993797,1300,2013,2013-05-10,130,-5.06,0.0,90.0,376.3
Switzerland/Trient,46.048003,6.993797,1300,2014,2014-05-04,124,-1.72,2.8,90.0,379.2
Switzerland/Trient,46.048003,6.993797,1300,2015,2015-05-05,125,-2.92,0.0,90.0,374.0
Switzerland/Trient,46.048003,6.993797,1300,2016,2016-05-09,130,-2.44,2.5,90.0,575.4
Switzerland/Trient,46.048003,6.993797,1300,2017,2017-04-22,112,0.05,26.8,90.0,369.7
Switzerland/Trient,46.048003,6.993797,1300,2018,2018-05-08,128,-1.03,0.9,90.0,590.9
Switzerland/Trient,46.048003,6.993797,1300,2019,2019-04-30,120,-0.84,10.1,88.0,383.4
Switzerland/Trient,46.048003,6.993797,1300,2020,2020-04-23,114,1.57,16.7,89.0,431.0
Switzerland/Trient,46.048003,6.993797,1300,2021,2021-05-13,133,0.11,13.5,90.0,407.6
Switzerland/Trient,46.048003,6.993797,1300,2022,2022-05-04,124,0.2,10.5,89.0,324.4
Switzerland/Trient,46.048003,6.993797,1300,2023,2023-05-07,127,-0.01,9.6,89.0,371.4
