location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Unterseen,46.684958,7.854311,565,2007,2007-04-11,101,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2008,2008-04-20,111,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2009,2009-04-14,104,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2010,2010-04-19,109,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2011,2011-04-05,95,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2012,2012-04-08,99,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2013,2013-04-25,115,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2014,2014-04-04,94,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2015,2015-04-15,105,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2016,2016-04-13,104,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2017,2017-03-31,90,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2018,2018-04-17,107,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2019,2019-04-16,106,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2020,2020-04-05,96,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2021,2021-04-13,103,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2022,2022-04-10,100,,,,
Switzerland/Unterseen,46.684958,7.854311,565,2023,2023-04-12,102,,,,
