location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Vallorbe,46.712292,6.379286,850,1951,1951-05-25,145,0.15,0.0,90.0,385.0
Switzerland/Vallorbe,46.712292,6.379286,850,1958,1958-05-04,124,-0.34,4.8,90.0,517.3
Switzerland/Vallorbe,46.712292,6.379286,850,1959,1959-04-18,108,1.8,38.8,90.0,316.7
Switzerland/Vallorbe,46.712292,6.379286,850,1960,1960-04-25,116,1.24,25.8,90.0,342.8
Switzerland/Vallorbe,46.712292,6.379286,850,1961,1961-04-06,96,2.19,34.6,90.0,286.0
Switzerland/Vallorbe,46.712292,6.379286,850,1962,1962-05-08,128,-0.44,4.6,86.0,438.2
Switzerland/Vallorbe,46.712292,6.379286,850,1963,1963-05-12,132,-3.23,0.0,90.0,297.2
Switzerland/Vallorbe,46.712292,6.379286,850,1964,1964-05-07,128,0.6,8.6,89.0,275.4
Switzerland/Vallorbe,46.712292,6.379286,850,1965,1965-05-10,130,-0.94,10.0,90.0,324.0
Switzerland/Vallorbe,46.712292,6.379286,850,1966,1966-05-10,130,0.7,6.2,90.0,384.7
Switzerland/Vallorbe,46.712292,6.379286,850,1969,1969-05-28,148,-0.01,5.3,90.0,283.6
Switzerland/Vallorbe,46.712292,6.379286,850,1971,1971-05-06,126,-1.22,0.2,90.0,243.6
Switzerland/Vallorbe,46.712292,6.379286,850,1973,1973-05-08,128,-0.58,1.8,90.0,203.1
Switzerland/Vallorbe,46.712292,6.379286,850,1974,1974-05-08,128,2.73,63.2,90.0,295.3
Switzerland/Vallorbe,46.712292,6.379286,850,1976,1976-04-30,121,0.92,13.8,90.0,176.6
Switzerland/Vallorbe,46.712292,6.379286,850,1977,1977-05-01,121,2.21,44.6,90.0,505.3
Switzerland/Vallorbe,46.712292,6.379286,850,1978,1978-04-16,106,0.28,3.4,90.0,497.2
Switzerland/Vallorbe,46.712292,6.379286,850,1979,1979-05-05,125,-0.08,6.6,90.0,470.7
Switzerland/Vallorbe,46.712292,6.379286,850,1980,1980-05-09,130,1.04,8.2,89.0,394.4
Switzerland/Vallorbe,46.712292,6.379286,850,1982,1982-05-20,140,1.66,7.1,90.0,335.7
Switzerland/Vallorbe,46.712292,6.379286,850,1984,1984-06-10,162,-0.41,1.4,90.0,446.9
Switzerland/Vallorbe,46.712292,6.379286,850,1985,1985-05-25,145,-1.63,3.0,90.0,344.1
Switzerland/Vallorbe,46.712292,6.379286,850,1987,1987-04-30,120,-1.24,2.7,90.0,314.0
Switzerland/Vallorbe,46.712292,6.379286,850,1988,1988-05-03,124,1.45,9.5,87.0,587.3
Switzerland/Vallorbe,46.712292,6.379286,850,1989,1989-04-05,95,3.13,62.6,88.0,260.0
Switzerland/Vallorbe,46.712292,6.379286,850,1990,1990-04-02,92,3.89,92.3,79.0,351.5
Switzerland/Vallorbe,46.712292,6.379286,850,1991,1991-04-16,106,2.36,68.9,86.0,249.2
Switzerland/Vallorbe,46.712292,6.379286,850,1992,1992-04-22,113,1.59,23.3,90.0,249.4
Switzerland/Vallorbe,46.712292,6.379286,850,1993,1993-04-24,114,2.29,44.9,89.0,124.2
Switzerland/Vallorbe,46.712292,6.379286,850,1994,1994-05-02,122,3.14,69.1,87.0,327.7
Switzerland/Vallorbe,46.712292,6.379286,850,1995,1995-05-14,134,1.27,11.3,87.0,618.7
Switzerland/Vallorbe,46.712292,6.379286,850,1996,1996-05-20,141,1.07,22.5,90.0,226.5
Switzerland/Vallorbe,46.712292,6.379286,850,1997,1997-04-19,109,3.19,62.4,89.0,241.8
Switzerland/Vallorbe,46.712292,6.379286,850,1998,1998-04-30,120,2.84,50.5,86.0,216.2
Switzerland/Vallorbe,46.712292,6.379286,850,1999,1999-05-06,126,1.1,21.7,90.0,479.3
Switzerland/Vallorbe,46.712292,6.379286,850,2002,2002-05-30,150,2.84,53.7,90.0,243.9
Switzerland/Vallorbe,46.712292,6.379286,850,2003,2003-05-03,123,1.1,59.2,88.0,230.3
Switzerland/Vallorbe,46.712292,6.379286,850,2004,2004-05-05,126,1.13,37.8,89.0,391.6
Switzerland/Vallorbe,46.712292,6.379286,850,2010,2010-05-01,121,-0.29,29.5,89.0,259.0
Switzerland/Vallorbe,46.712292,6.379286,850,2019,2019-04-23,113,1.69,21.6,89.0,245.8
Switzerland/Vallorbe,46.712292,6.379286,850,2020,2020-04-17,108,2.66,46.4,84.0,264.7
Switzerland/Vallorbe,46.712292,6.379286,850,2021,2021-05-01,121,1.86,38.8,87.0,321.2
Switzerland/Vallorbe,46.712292,6.379286,850,2022,2022-04-22,112,2.29,47.6,86.0,192.6
Switzerland/Vallorbe,46.712292,6.379286,850,2023,2023-04-28,118,2.27,50.3,86.0,262.1
