location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Vals,46.622889,9.182461,1250,1956,1956-05-27,148,,,,
Switzerland/Vals,46.622889,9.182461,1250,1957,1957-05-25,145,,,,
Switzerland/Vals,46.622889,9.182461,1250,1958,1958-05-25,145,,,,
Switzerland/Vals,46.622889,9.182461,1250,1959,1959-05-15,135,,,,
Switzerland/Vals,46.622889,9.182461,1250,1962,1962-05-27,147,,,,
Switzerland/Vals,46.622889,9.182461,1250,1963,1963-06-10,161,,,,
Switzerland/Vals,46.622889,9.182461,1250,1964,1964-06-01,153,,,,
Switzerland/Vals,46.622889,9.182461,1250,1966,1966-05-25,145,,,,
Switzerland/Vals,46.622889,9.182461,1250,1967,1967-05-06,126,,,,
Switzerland/Vals,46.622889,9.182461,1250,1970,1970-06-05,156,,,,
Switzerland/Vals,46.622889,9.182461,1250,1971,1971-05-18,138,,,,
Switzerland/Vals,46.622889,9.182461,1250,1972,1972-05-20,141,,,,
Switzerland/Vals,46.622889,9.182461,1250,1973,1973-06-04,155,,,,
Switzerland/Vals,46.622889,9.182461,1250,1976,1976-05-30,151,,,,
Switzerland/Vals,46.622889,9.182461,1250,1977,1977-06-01,152,,,,
Switzerland/Vals,46.622889,9.182461,1250,1978,1978-06-03,154,,,,
Switzerland/Vals,46.622889,9.182461,1250,1979,1979-06-07,158,,,,
Switzerland/Vals,46.622889,9.182461,1250,1980,1980-06-09,161,,,,
Switzerland/Vals,46.622889,9.182461,1250,1981,1981-06-04,155,,,,
Switzerland/Vals,46.622889,9.182461,1250,1982,1982-05-25,145,,,,
Switzerland/Vals,46.622889,9.182461,1250,1983,1983-05-29,149,,,,
Switzerland/Vals,46.622889,9.182461,1250,1984,1984-06-10,162,,,,
Switzerland/Vals,46.622889,9.182461,1250,1985,1985-06-05,156,,,,
Switzerland/Vals,46.622889,9.182461,1250,1986,1986-05-22,142,,,,
Switzerland/Vals,46.622889,9.182461,1250,1987,1987-05-28,148,,,,
Switzerland/Vals,46.622889,9.182461,1250,1988,1988-05-11,132,,,,
Switzerland/Vals,46.622889,9.182461,1250,1989,1989-05-10,130,,,,
Switzerland/Vals,46.622889,9.182461,1250,1990,1990-05-15,135,,,,
Switzerland/Vals,46.622889,9.182461,1250,1991,1991-05-26,146,,,,
Switzerland/Vals,46.622889,9.182461,1250,1992,1992-05-16,137,,,,
Switzerland/Vals,46.622889,9.182461,1250,1993,1993-05-14,134,,,,
Switzerland/Vals,46.622889,9.182461,1250,1994,1994-05-07,127,,,,
Switzerland/Vals,46.622889,9.182461,1250,1995,1995-05-12,132,,,,
Switzerland/Vals,46.622889,9.182461,1250,1996,1996-05-17,138,,,,
Switzerland/Vals,46.622889,9.182461,1250,1997,1997-05-16,136,,,,
Switzerland/Vals,46.622889,9.182461,1250,1998,1998-05-15,135,,,,
Switzerland/Vals,46.622889,9.182461,1250,1999,1999-05-13,133,,,,
Switzerland/Vals,46.622889,9.182461,1250,2000,2000-05-10,131,,,,
Switzerland/Vals,46.622889,9.182461,1250,2001,2001-05-13,133,,,,
Switzerland/Vals,46.622889,9.182461,1250,2002,2002-05-16,136,,,,
Switzerland/Vals,46.622889,9.182461,1250,2003,2003-05-06,126,,,,
Switzerland/Vals,46.622889,9.182461,1250,2004,2004-05-18,139,,,,
Switzerland/Vals,46.622889,9.182461,1250,2005,2005-05-19,139,,,,
Switzerland/Vals,46.622889,9.182461,1250,2006,2006-05-16,136,,,,
Switzerland/Vals,46.622889,9.182461,1250,2007,2007-04-25,115,,,,
Switzerland/Vals,46.622889,9.182461,1250,2008,2008-05-16,137,,,,
Switzerland/Vals,46.622889,9.182461,1250,2009,2009-05-12,132,,,,
Switzerland/Vals,46.622889,9.182461,1250,2010,2010-05-21,141,,,,
Switzerland/Vals,46.622889,9.182461,1250,2011,2011-04-29,119,,,,
Switzerland/Vals,46.622889,9.182461,1250,2012,2012-05-12,133,,,,
Switzerland/Vals,46.622889,9.182461,1250,2013,2013-05-12,132,,,,
Switzerland/Vals,46.622889,9.182461,1250,2014,2014-05-06,126,,,,
Switzerland/Vals,46.622889,9.182461,1250,2015,2015-05-07,127,,,,
Switzerland/Vals,46.622889,9.182461,1250,2016,2016-05-21,142,,,,
Switzerland/Vals,46.622889,9.182461,1250,2017,2017-05-16,136,,,,
Switzerland/Vals,46.622889,9.182461,1250,2018,2018-05-07,127,,,,
Switzerland/Vals,46.622889,9.182461,1250,2019,2019-05-16,136,,,,
Switzerland/Vals,46.622889,9.182461,1250,2020,2020-04-29,120,,,,
Switzerland/Vals,46.622889,9.182461,1250,2021,2021-05-26,146,,,,
Switzerland/Vals,46.622889,9.182461,1250,2022,2022-05-11,131,,,,
Switzerland/Vals,46.622889,9.182461,1250,2023,2023-05-07,127,,,,
