location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Versoix,46.290431,6.137128,440,1952,1952-03-10,70,0.79,15.9,90.0,374.6
Switzerland/Versoix,46.290431,6.137128,440,1953,1953-04-09,99,-0.11,22.9,89.0,145.6
Switzerland/Versoix,46.290431,6.137128,440,1954,1954-04-15,105,0.38,33.1,82.0,294.9
Switzerland/Versoix,46.290431,6.137128,440,1955,1955-04-14,104,1.72,32.5,89.0,608.3
Switzerland/Versoix,46.290431,6.137128,440,1956,1956-04-17,108,-0.5,54.7,90.0,203.3
Switzerland/Versoix,46.290431,6.137128,440,1957,1957-03-28,87,3.38,110.7,90.0,356.5
Switzerland/Versoix,46.290431,6.137128,440,1958,1958-04-24,114,1.06,14.8,89.0,543.9
Switzerland/Versoix,46.290431,6.137128,440,1959,1959-04-08,98,3.13,76.6,90.0,300.3
Switzerland/Versoix,46.290431,6.137128,440,1960,1960-04-07,98,2.71,53.2,88.0,399.5
Switzerland/Versoix,46.290431,6.137128,440,1961,1961-03-31,90,3.32,48.3,90.0,302.0
Switzerland/Versoix,46.290431,6.137128,440,1962,1962-04-24,114,1.02,8.4,84.0,479.7
Switzerland/Versoix,46.290431,6.137128,440,1963,1963-04-22,112,-1.69,0.9,90.0,403.6
Switzerland/Versoix,46.290431,6.137128,440,1964,1964-04-19,110,1.97,31.0,88.0,295.6
Switzerland/Versoix,46.290431,6.137128,440,1965,1965-04-14,104,0.44,16.1,90.0,363.2
Switzerland/Versoix,46.290431,6.137128,440,1966,1966-04-09,99,1.99,12.3,89.0,462.6
Switzerland/Versoix,46.290431,6.137128,440,1967,1967-04-13,103,2.2,28.5,90.0,388.1
Switzerland/Versoix,46.290431,6.137128,440,1968,1968-04-15,106,1.6,22.5,90.0,385.5
Switzerland/Versoix,46.290431,6.137128,440,1969,1969-04-20,110,1.41,14.0,90.0,336.5
Switzerland/Versoix,46.290431,6.137128,440,1970,1970-04-29,119,0.99,2.2,90.0,674.1
Switzerland/Versoix,46.290431,6.137128,440,1971,1971-04-18,108,0.18,4.4,90.0,300.6
Switzerland/Versoix,46.290431,6.137128,440,1972,1972-04-02,93,3.29,60.4,90.0,286.2
Switzerland/Versoix,46.290431,6.137128,440,1973,1973-04-29,119,0.69,6.4,90.0,201.1
Switzerland/Versoix,46.290431,6.137128,440,1974,1974-04-02,92,3.95,84.4,89.0,315.4
Switzerland/Versoix,46.290431,6.137128,440,1975,1975-04-17,107,3.16,13.6,90.0,313.9
Switzerland/Versoix,46.290431,6.137128,440,1976,1976-04-09,100,2.16,31.3,90.0,194.1
Switzerland/Versoix,46.290431,6.137128,440,1977,1977-03-30,89,3.34,54.6,90.0,573.4
Switzerland/Versoix,46.290431,6.137128,440,1978,1978-04-12,102,1.89,13.0,90.0,616.1
Switzerland/Versoix,46.290431,6.137128,440,1979,1979-04-14,104,1.66,23.8,90.0,542.9
Switzerland/Versoix,46.290431,6.137128,440,1980,1980-04-10,101,2.72,21.0,86.0,463.2
Switzerland/Versoix,46.290431,6.137128,440,1981,1981-04-09,99,0.98,59.9,90.0,492.4
Switzerland/Versoix,46.290431,6.137128,440,1982,1982-04-16,106,3.45,20.7,89.0,327.9
Switzerland/Versoix,46.290431,6.137128,440,1983,1983-04-16,106,2.55,36.0,85.0,352.0
Switzerland/Versoix,46.290431,6.137128,440,1984,1984-04-25,116,1.71,11.9,89.0,522.9
Switzerland/Versoix,46.290431,6.137128,440,1985,1985-04-21,111,0.02,7.7,90.0,415.1
Switzerland/Versoix,46.290431,6.137128,440,1986,1986-05-02,122,0.94,14.4,90.0,472.8
Switzerland/Versoix,46.290431,6.137128,440,1987,1987-04-24,114,0.63,13.9,90.0,361.1
Switzerland/Versoix,46.290431,6.137128,440,1988,1988-04-14,105,3.26,31.3,85.0,645.9
Switzerland/Versoix,46.290431,6.137128,440,1989,1989-03-31,90,4.63,104.1,85.0,276.0
Switzerland/Versoix,46.290431,6.137128,440,1990,1990-03-20,79,5.02,139.3,76.0,398.3
Switzerland/Versoix,46.290431,6.137128,440,1991,1991-04-07,97,3.87,113.9,86.0,290.4
Switzerland/Versoix,46.290431,6.137128,440,1992,1992-04-10,101,3.16,62.6,89.0,237.7
Switzerland/Versoix,46.290431,6.137128,440,1993,1993-04-12,102,3.44,71.7,88.0,93.6
Switzerland/Versoix,46.290431,6.137128,440,1994,1994-03-24,83,4.8,119.1,86.0,317.6
Switzerland/Versoix,46.290431,6.137128,440,1995,1995-03-27,86,2.84,36.7,84.0,670.8
Switzerland/Versoix,46.290431,6.137128,440,1996,1996-04-16,107,2.95,41.3,87.0,273.7
Switzerland/Versoix,46.290431,6.137128,440,1997,1997-04-09,99,4.58,101.5,88.0,242.4
Switzerland/Versoix,46.290431,6.137128,440,1998,1998-04-03,93,4.19,83.9,80.0,226.3
Switzerland/Versoix,46.290431,6.137128,440,1999,1999-04-10,100,2.5,47.3,90.0,486.8
Switzerland/Versoix,46.290431,6.137128,440,2000,2000-04-09,100,3.44,59.7,90.0,304.2
Switzerland/Versoix,46.290431,6.137128,440,2001,2001-04-18,108,4.64,101.2,88.0,593.7
Switzerland/Versoix,46.290431,6.137128,440,2002,2002-03-30,89,4.36,102.1,83.0,274.5
Switzerland/Versoix,46.290431,6.137128,440,2003,2003-04-06,96,3.04,102.5,88.0,259.7
Switzerland/Versoix,46.290431,6.137128,440,2004,2004-04-05,96,2.94,55.6,89.0,403.1
Switzerland/Versoix,46.290431,6.137128,440,2005,2005-04-13,103,2.1,93.4,90.0,268.2
Switzerland/Versoix,46.290431,6.137128,440,2006,2006-04-30,120,2.09,34.4,90.0,427.4
Switzerland/Versoix,46.290431,6.137128,440,2008,2008-04-30,121,4.01,52.6,83.0,398.7
Switzerland/Versoix,46.290431,6.137128,440,2010,2010-04-11,101,1.58,46.3,88.0,327.2
Switzerland/Versoix,46.290431,6.137128,440,2011,2011-04-01,91,4.38,101.7,88.0,202.1
Switzerland/Versoix,46.290431,6.137128,440,2012,2012-04-28,119,2.86,119.5,88.0,201.2
Switzerland/Versoix,46.290431,6.137128,440,2013,2013-04-18,108,1.71,19.5,90.0,372.6
Switzerland/Versoix,46.290431,6.137128,440,2014,2014-03-28,87,4.96,99.8,89.0,405.6
Switzerland/Versoix,46.290431,6.137128,440,2021,2021-04-02,92,4.75,123.2,72.0,332.8
Switzerland/Versoix,46.290431,6.137128,440,2022,2022-04-06,96,4.95,116.0,81.0,170.6
Switzerland/Versoix,46.290431,6.137128,440,2023,2023-04-06,96,5.04,127.6,75.0,280.3
