location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Villnachern,47.470556,8.154928,415,1970,1970-05-07,127,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1971,1971-04-15,105,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1972,1972-04-05,96,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1973,1973-05-01,121,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1974,1974-04-03,93,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1975,1975-04-20,110,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1976,1976-04-10,101,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1977,1977-03-24,83,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1978,1978-04-20,110,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1979,1979-04-17,107,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1980,1980-04-20,111,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1981,1981-04-08,98,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1982,1982-04-21,111,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1983,1983-04-19,109,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1984,1984-04-25,116,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1985,1985-04-15,105,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1986,1986-05-04,124,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1987,1987-04-25,115,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1988,1988-04-22,113,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1989,1989-03-30,89,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1990,1990-04-05,95,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1991,1991-04-07,97,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1992,1992-04-13,104,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1993,1993-04-12,102,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1994,1994-03-26,85,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1995,1995-04-15,105,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1996,1996-04-21,112,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1997,1997-04-02,92,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1998,1998-04-05,95,,,,
Switzerland/Villnachern,47.470556,8.154928,415,1999,1999-04-26,116,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2000,2000-04-15,106,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2001,2001-04-18,108,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2002,2002-03-25,84,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2003,2003-04-15,105,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2004,2004-04-10,101,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2005,2005-04-12,102,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2006,2006-04-23,113,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2007,2007-04-10,100,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2008,2008-04-18,109,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2009,2009-04-15,105,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2010,2010-04-16,106,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2011,2011-04-04,94,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2012,2012-04-01,92,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2013,2013-04-26,116,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2014,2014-03-31,90,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2015,2015-04-13,103,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2016,2016-04-05,96,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2017,2017-04-01,91,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2018,2018-04-16,106,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2019,2019-04-02,92,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2020,2020-03-31,91,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2021,2021-04-02,92,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2022,2022-03-30,89,,,,
Switzerland/Villnachern,47.470556,8.154928,415,2023,2023-04-07,97,,,,
