location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1975,1975-04-13,103,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1976,1976-04-03,94,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1977,1977-03-30,89,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1978,1978-04-16,106,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1979,1979-04-15,105,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1980,1980-04-12,103,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1981,1981-04-07,97,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1982,1982-04-11,101,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1983,1983-04-13,103,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1984,1984-04-18,109,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1985,1985-04-15,105,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1986,1986-04-20,110,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1987,1987-04-15,105,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1988,1988-04-08,99,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1989,1989-03-30,89,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1990,1990-03-25,84,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1991,1991-04-06,96,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1992,1992-04-10,101,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1993,1993-04-15,105,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1994,1994-03-19,78,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1995,1995-04-02,92,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1997,1997-03-18,77,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1998,1998-03-20,79,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,1999,1999-04-05,95,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2000,2000-03-25,85,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2001,2001-03-29,88,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2002,2002-03-30,89,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2003,2003-04-07,97,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2004,2004-04-08,99,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2005,2005-04-05,95,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2006,2006-04-18,108,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2007,2007-04-02,92,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2009,2009-04-06,96,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2010,2010-04-19,109,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2011,2011-04-02,92,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2012,2012-03-30,90,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2015,2015-04-12,102,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2016,2016-04-07,98,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2018,2018-04-17,107,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2019,2019-04-02,92,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2020,2020-04-03,94,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2021,2021-04-05,95,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2022,2022-04-03,93,,,,
Switzerland/Vira / Gambarogno,46.143428,8.841697,210,2023,2023-04-07,97,,,,
