location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Visp,46.293494,7.892842,650,1992,1992-04-09,100,,,,
Switzerland/Visp,46.293494,7.892842,650,1993,1993-04-09,99,,,,
Switzerland/Visp,46.293494,7.892842,650,1994,1994-03-15,74,,,,
Switzerland/Visp,46.293494,7.892842,650,1995,1995-04-08,98,,,,
Switzerland/Visp,46.293494,7.892842,650,1996,1996-04-14,105,,,,
Switzerland/Visp,46.293494,7.892842,650,1997,1997-04-06,96,,,,
Switzerland/Visp,46.293494,7.892842,650,1998,1998-04-04,94,,,,
Switzerland/Visp,46.293494,7.892842,650,1999,1999-04-09,99,,,,
Switzerland/Visp,46.293494,7.892842,650,2000,2000-04-16,107,,,,
Switzerland/Visp,46.293494,7.892842,650,2001,2001-03-31,90,,,,
Switzerland/Visp,46.293494,7.892842,650,2002,2002-04-04,94,,,,
Switzerland/Visp,46.293494,7.892842,650,2003,2003-04-10,100,,,,
Switzerland/Visp,46.293494,7.892842,650,2004,2004-04-06,97,,,,
Switzerland/Visp,46.293494,7.892842,650,2005,2005-04-13,103,,,,
Switzerland/Visp,46.293494,7.892842,650,2006,2006-04-18,108,,,,
Switzerland/Visp,46.293494,7.892842,650,2019,2019-04-06,96,,,,
Switzerland/Visp,46.293494,7.892842,650,2021,2021-03-26,85,,,,
Switzerland/Visp,46.293494,7.892842,650,2022,2022-03-29,88,,,,
Switzerland/Visp,46.293494,7.892842,650,2023,2023-04-04,94,,,,
