location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
"Switzerland/Wald, ZH",47.277122,8.916314,620,1955,1955-04-29,119,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1962,1962-05-03,123,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1973,1973-05-05,125,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1974,1974-04-13,103,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1975,1975-04-29,119,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1976,1976-04-22,113,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1977,1977-04-21,111,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1978,1978-05-01,121,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1979,1979-05-10,130,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1980,1980-05-11,132,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1981,1981-04-13,103,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1982,1982-05-05,125,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1983,1983-04-26,116,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1984,1984-05-05,126,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1985,1985-05-03,123,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1986,1986-05-06,126,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1987,1987-04-30,120,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1988,1988-04-30,121,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1989,1989-04-07,97,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1990,1990-04-07,97,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1991,1991-04-25,115,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1992,1992-04-23,114,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1993,1993-04-21,111,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1994,1994-04-24,114,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1995,1995-04-22,112,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1996,1996-04-24,115,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,1999,1999-04-25,115,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2000,2000-04-21,112,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2001,2001-05-02,122,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2002,2002-04-22,112,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2003,2003-04-24,114,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2004,2004-04-24,115,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2005,2005-04-21,111,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2006,2006-05-01,121,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2007,2007-04-17,107,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2008,2008-04-27,118,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2009,2009-04-19,109,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2010,2010-04-22,112,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2019,2019-04-08,98,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2020,2020-04-08,99,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2021,2021-04-11,101,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2022,2022-04-10,100,,,,
"Switzerland/Wald, ZH",47.277122,8.916314,620,2023,2023-04-14,104,,,,
