location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1952,1952-04-25,116,-1.31,6.7,90.0,325.4
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1953,1953-04-21,111,-2.13,6.9,90.0,138.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1954,1954-05-06,126,-1.72,7.8,90.0,215.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1955,1955-05-04,124,-0.95,15.8,90.0,350.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1956,1956-05-09,130,-3.11,19.3,90.0,223.4
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1957,1957-04-23,113,1.19,66.6,89.0,261.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1958,1958-05-10,130,-1.03,1.8,90.0,396.3
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1959,1959-04-15,105,0.19,18.0,90.0,251.0
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1960,1960-04-20,111,0.42,22.3,90.0,249.0
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1961,1961-04-08,98,1.47,30.2,90.0,249.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1962,1962-05-08,128,-1.41,4.9,86.0,345.4
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1963,1963-05-09,129,-4.42,0.0,90.0,234.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1964,1964-05-06,127,-0.76,3.4,90.0,243.1
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1965,1965-05-12,132,-1.43,2.9,90.0,266.5
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1966,1966-05-01,121,0.13,6.9,90.0,342.2
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1967,1967-05-10,130,0.38,8.6,90.0,335.5
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1968,1968-04-22,113,-0.29,12.8,90.0,352.2
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1969,1969-05-08,128,-0.92,0.3,90.0,228.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1970,1970-05-20,140,-1.09,0.0,90.0,466.5
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1971,1971-04-29,119,-2.82,0.0,90.0,219.9
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1972,1972-04-29,120,1.93,37.6,90.0,111.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1973,1973-05-14,134,-1.22,0.0,90.0,234.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1974,1974-04-10,100,2.39,60.1,90.0,237.9
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1975,1975-05-08,128,1.4,2.9,88.0,243.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1976,1976-04-27,118,0.27,9.1,90.0,218.4
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1977,1977-04-22,112,1.84,49.1,90.0,337.0
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1978,1978-05-04,124,-0.57,3.8,90.0,383.3
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1979,1979-05-13,133,-0.6,14.2,90.0,308.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1980,1980-05-13,134,0.33,11.7,88.0,265.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1981,1981-04-13,103,-0.57,39.3,90.0,338.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1982,1982-05-08,128,0.05,2.7,90.0,293.2
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1983,1983-04-23,113,0.9,20.9,88.0,291.3
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1984,1984-05-05,126,-0.6,2.3,89.0,287.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1985,1985-05-05,125,-2.29,4.6,90.0,261.7
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1986,1986-05-07,127,-1.15,7.3,90.0,309.3
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1987,1987-04-29,119,-2.0,5.9,90.0,280.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1988,1988-04-29,120,1.18,6.1,88.0,497.2
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1989,1989-04-12,102,2.87,58.9,90.0,173.0
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1990,1990-04-20,110,3.32,83.6,84.0,290.4
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1991,1991-05-05,125,0.87,48.6,90.0,179.8
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1992,1992-04-26,117,1.25,16.3,90.0,283.8
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1993,1993-04-23,113,1.31,29.4,89.0,175.8
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1994,1994-04-15,105,2.97,78.5,88.0,303.3
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1995,1995-04-29,119,1.22,8.6,87.0,428.4
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1996,1996-05-07,128,-0.13,15.4,90.0,162.9
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1997,1997-05-03,123,2.31,47.6,89.0,186.2
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1998,1998-05-07,127,2.15,37.7,89.0,221.6
"Switzerland/Wattwil, SG",47.289853,9.104422,625,1999,1999-05-04,124,0.81,21.5,90.0,410.0
"Switzerland/Wattwil, SG",47.289853,9.104422,625,2000,2000-04-29,120,1.54,23.1,90.0,371.2
"Switzerland/Wattwil, SG",47.289853,9.104422,625,2001,2001-05-03,123,2.38,44.3,89.0,397.8
"Switzerland/Wattwil, SG",47.289853,9.104422,625,2002,2002-04-21,111,2.68,59.2,89.0,216.4
