location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wengen,46.603731,7.921556,1300,1993,1993-05-03,123,,,,
Switzerland/Wengen,46.603731,7.921556,1300,1994,1994-05-02,122,,,,
Switzerland/Wengen,46.603731,7.921556,1300,1995,1995-05-16,136,,,,
Switzerland/Wengen,46.603731,7.921556,1300,1996,1996-05-22,143,,,,
Switzerland/Wengen,46.603731,7.921556,1300,1998,1998-04-29,119,,,,
Switzerland/Wengen,46.603731,7.921556,1300,1999,1999-05-10,130,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2000,2000-05-05,126,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2001,2001-05-10,130,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2002,2002-04-30,120,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2003,2003-05-03,123,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2004,2004-05-05,126,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2006,2006-05-10,130,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2009,2009-05-09,129,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2010,2010-05-05,125,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2011,2011-04-20,110,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2012,2012-05-03,124,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2015,2015-05-06,126,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2016,2016-05-06,127,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2017,2017-04-16,106,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2018,2018-04-23,113,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2019,2019-04-22,112,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2020,2020-04-17,108,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2022,2022-05-04,124,,,,
Switzerland/Wengen,46.603731,7.921556,1300,2023,2023-05-07,127,,,,
