location,lat,long,alt,year,bloom_date,bloom_doy,spring_temp,spring_gdd,winter_chill_days,spring_precip
Switzerland/Wetzikon,47.320664,8.814333,555,1993,1993-04-22,112,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,1994,1994-04-09,99,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,1995,1995-04-30,120,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,1996,1996-04-22,113,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,1997,1997-04-04,94,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,1999,1999-04-26,116,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2000,2000-04-21,112,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2001,2001-04-28,118,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2002,2002-04-16,106,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2003,2003-04-18,108,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2004,2004-04-20,111,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2005,2005-04-15,105,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2006,2006-04-28,118,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2007,2007-04-15,105,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2008,2008-04-19,110,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2009,2009-04-14,104,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2010,2010-04-19,109,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2011,2011-04-09,99,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2012,2012-04-10,101,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2013,2013-04-26,116,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2014,2014-04-16,106,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2015,2015-04-17,107,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2016,2016-04-20,111,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2017,2017-04-05,95,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2018,2018-04-14,104,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2019,2019-04-17,107,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2020,2020-04-12,103,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2021,2021-04-19,109,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2022,2022-04-08,98,,,,
Switzerland/Wetzikon,47.320664,8.814333,555,2023,2023-04-18,108,,,,
